,Unnamed: 0,ticker,name,website,headquarter,employees,industry,type,source
36,36,SCPPF,S4 Capital plc,http://www.s4capital.com,12 St. James's Place London SW1A 1NX United Kingdom 44 20 3793 0003 http://www.s4capital.com,5751,Advertising Agencies,,yahoo
37,37,KGTHY,Krungthai Card Public Company Limited,http://www.ktc.co.th,"United Business Center II Building 14th Floor 591 Sukhumvit Road Klongton Nua, Wattana Bangkok 10110 Thailand 66 2 123 5000 http://www.ktc.co.th",0,Credit Services,,yahoo
38,38,PHPPY,Signify N.V.,http://www.signify.com,High Tech Campus 48 Eindhoven 5656 AE Netherlands 31 20 609 1000 http://www.signify.com,37069,Electrical Equipment & Parts,,yahoo
39,39,PHOJY,Public Joint-Stock Company PhosAgro,http://www.phosagro.com,"Building 1 55/1, Leninsky prospekt Moscow 119333 Russia 7 495 232 9689 http://www.phosagro.com",0,Agricultural Inputs,,yahoo
40,40,SQNXF,"Square Enix Holdings Co., Ltd.",http://www.hd.square-enix.com,Shinjuku Eastside Square 6-27-30 Shinjuku Shinjuku-ku Tokyo 160-8430 Japan 81 3 5292 8000 http://www.hd.square-enix.com,5550,Electronic Gaming & Multimedia,,yahoo
41,41,MDDNF,Meridian Energy Limited,http://www.meridianenergy.co.nz,55 Lady Elizabeth Lane Level 2 Wellington Central Wellington 6011 New Zealand 64 4 381 1200 http://www.meridianenergy.co.nz,1001,,,yahoo
42,42,MPFRF,"Mapfre, S.A.",http://www.mapfre.com,Carretera de Pozuelo Majadahonda 28222 Spain 34 91 581 23 18 http://www.mapfre.com,32466,Insurance—Diversified,,yahoo
43,43,ABCM,Abcam plc,http://www.abcam.com,Discovery Drive Cambridge Biomedical Campus Cambridge CB2 0AX United Kingdom 44 1223 696 000 http://www.abcam.com,1650,Biotechnology,,yahoo
44,44,SITIY,SITC International Holdings Company Limited,http://www.sitc.com,World Trade Centre 21st Floor 280 Gloucester Road Causeway Bay Hong Kong 852 2850 0302 http://www.sitc.com,1765,Integrated Freight & Logistics,,yahoo
45,45,SHPMF,"Shanghai Pharmaceuticals Holding Co., Ltd",http://www.sphchina.com,Shanghai Pharmaceutical Building No. 200 Taicang Road Shanghai 200020 China 86 21 6373 0908 http://www.sphchina.com,48136,Medical Distribution,,yahoo
46,46,PILBF,Pilbara Minerals Limited,http://www.pilbaraminerals.com.au,"88 Colin Street Level 2 West Perth, WA 6005 Australia 61 8 6266 6266 http://www.pilbaraminerals.com.au",0,Other Industrial Metals & Mining,,yahoo
47,47,TSYHY,TravelSky Technology Limited,http://www.travelskyir.com,TravelSky High-Tech Industrial Park Houshayu Town Shunyi District Beijing 101308 China 86 10 5765 0696 http://www.travelskyir.com,6760,Information Technology Services,,yahoo
48,48,VLEEY,Valeo SA,http://www.valeo.com,"43, Rue Bayen Paris 75017 France 33 1 40 55 20 20 http://www.valeo.com",110300,Auto Parts,,yahoo
49,49,OBYCF,Obayashi Corporation,http://www.obayashi.co.jp,"Shinagawa Intercity Tower B 2-15-2, Konan Minato-ku Tokyo 108-8502 Japan 81 3 5769 1701 http://www.obayashi.co.jp",15267,Engineering & Construction,,yahoo
50,50,HNP,"Huaneng Power International, Inc.",http://www.hpi.com.cn,Huaneng Building 6 Fuxingmennei Street Xicheng District Beijing 100031 China 86 10 6322 6999 http://www.hpi.com.cn,57874,Utilities—Independent Power Producers,,yahoo
51,51,GGDVY,Guangdong Investment Limited,http://www.gdi.com.hk,Guangdong Investment Tower 28th and 29th Floors 148 Connaught Road Central Hong Kong 852 2860 4368 http://www.gdi.com.hk,7858,Utilities—Regulated Water,,yahoo
52,52,OLMIY,Olam International Limited,http://www.olamgroup.com,No. 20-01 Marina One East Tower 7 Straits View Singapore 018936 Singapore 65 6339 4100 http://www.olamgroup.com,39192,Food Distribution,,yahoo
53,53,DXC,DXC Technology Company,http://www.dxc.technology,"1775 Tysons Boulevard Tysons, VA 22102 United States 703 245 9675 http://www.dxc.technology",134000,Information Technology Services,,yahoo
54,54,EEFT,"Euronet Worldwide, Inc.",http://www.euronetworldwide.com,"11400 Tomahawk Creek Parkway Suite 300 Leawood, KS 66211-2672 United States 913-327-4200 http://www.euronetworldwide.com",8100,Software—Infrastructure,,yahoo
55,55,SKSBF,Skanska AB (publ),http://www.skanska.com,Warfvinges vÃ¤g 25 Stockholm 112 74 Sweden 46 1 04 48 00 00 http://www.skanska.com,29584,Engineering & Construction,,yahoo
56,56,BYDIF,BYD Electronic (International) Company Limited,http://electronics.byd.com,No. 3001 Bao He Road Baolong Industrial Park Longgang District Shenzhen 518116 China 86 755 8988 8888 http://electronics.byd.com,101300,Communication Equipment,,yahoo
57,57,FNMFM,Federal National Mortgage Association,http://www.fanniemae.com,"Midtown Center 1100 15th Street, NW Washington, DC 20005 United States 800 232 6643 http://www.fanniemae.com",7700,Mortgage Finance,,yahoo
58,58,AMBBY,Ambu A/S,http://www.ambu.com,Baltorpbakken 13 Ballerup 2750 Denmark 45 72 25 20 00 http://www.ambu.com,4584,Medical Instruments & Supplies,,yahoo
59,59,ORPEF,Orpea SA,http://www.orpea-corp.com,"12, rue Jean-JaurÃ¨s CS 10032 Cedex Puteaux 92813 France 33 1 47 75 78 07 http://www.orpea-corp.com",39957,Medical Care Facilities,,yahoo
60,60,JBFCY,Jollibee Foods Corporation,http://www.jollibee.com.ph,Jollibee Plaza Building 10th Floor No. 10 F. Ortigas Jr. Avenue Ortigas Center Pasig 1605 Philippines 63 2 8634 1111 http://www.jollibee.com.ph,11819,Restaurants,,yahoo
61,61,IDA,"IDACORP, Inc.",http://www.idacorpinc.com,"1221 West Idaho Street Boise, ID 83702-5627 United States 208 388 2200 http://www.idacorpinc.com",1943,Utilities—Regulated Electric,,yahoo
62,62,CWQXF,Castellum AB (publ),http://www.castellum.se,Ãstra Hamngatan 16 Gothenburg Sweden 46 31 60 74 00 http://www.castellum.se,404,Real Estate—Development,,yahoo
63,63,SAIL,"SailPoint Technologies Holdings, Inc.",http://www.sailpoint.com,"11120 Four Points Drive Suite 100 Austin, TX 78726 United States 512 346 2000 http://www.sailpoint.com",1394,Software—Infrastructure,,yahoo
64,64,AETUF,ARC Resources Ltd.,http://www.arcresources.com,"308 - 4th Avenue South West Suite 1200 Calgary, AB T2P 0H7 Canada 403 503 8600 http://www.arcresources.com",0,Oil & Gas E&P,,yahoo
65,65,GIGNF,Genting Singapore Limited,http://www.gentingsingapore.com,10 Sentosa Gateway Resorts World Sentosa Singapore 098270 Singapore 65 6577 8888 http://www.gentingsingapore.com,0,Resorts & Casinos,,yahoo
66,66,EXPO,"Exponent, Inc.",http://www.exponent.com,"149 Commonwealth Drive Menlo Park, CA 94025 United States 650 326 9400 http://www.exponent.com",883,Consulting Services,,yahoo
67,67,WH,"Wyndham Hotels & Resorts, Inc.",http://www.wyndhamhotels.com,"22 Sylvan Way Parsippany, NJ 07054 United States 973 753 6000 http://www.wyndhamhotels.com",9000,Lodging,,yahoo
68,68,CLH,"Clean Harbors, Inc.",http://www.cleanharbors.com,"42 Longwater Drive Norwell, MA 02061-9149 United States 781 792 5000 http://www.cleanharbors.com",13500,Waste Management,,yahoo
69,69,BHC,Bausch Health Companies Inc.,http://www.bauschhealth.com,"2150 St. ElzEar Boulevard West Laval, QC H7L 4A8 Canada 514 744 6792 http://www.bauschhealth.com",21600,Drug Manufacturers—Specialty & Generic,,yahoo
70,70,ARVL,Arrival,http://arrival.com,"1, rue Peternelchen Howald 2370 Luxembourg 352 621 266 815 http://arrival.com",2438,Auto Manufacturers,,yahoo
71,71,THQQF,Embracer Group AB (publ),http://www.embracer.com,Aelvgatan 1 Karlstad 652 25 Sweden  http://www.embracer.com,6462,Electronic Gaming & Multimedia,,yahoo
72,72,ORA,"Ormat Technologies, Inc.",http://www.ormat.com,"6140 Plumas Street Reno, NV 89519-6075 United States 775 356 9029 http://www.ormat.com",1402,Utilities—Renewable,,yahoo
73,73,QTWO,"Q2 Holdings, Inc.",http://www.q2.com,"13785 Research Boulevard Suite 150 Austin, TX 78750 United States 512 275 0072 http://www.q2.com",1749,Software—Application,,yahoo
74,74,RHP,"Ryman Hospitality Properties, Inc.",http://www.rymanhp.com,"One Gaylord Drive Nashville, TN 37214 United States 615-316-6000 http://www.rymanhp.com",476,REIT—Hotel & Motel,,yahoo
75,75,SSAAF,SSAB AB (publ),http://www.ssab.com,"Klarabergsviadukten 70, D6 PO Box 70 Stockholm 101 21 Sweden 46 84 54 57 00 http://www.ssab.com",14130,Steel,,yahoo
76,76,SPSC,"SPS Commerce, Inc.",http://www.spscommerce.com,"333 South Seventh Street Suite 1000 Minneapolis, MN 55402 United States 612 435 9400 http://www.spscommerce.com",1572,Software—Infrastructure,,yahoo
77,77,SNPHF,"Santen Pharmaceutical Co., Ltd.",http://www.santen.com,Grand Front Osaka Tower A 4-20 Ofuka-cho Kita-ku Osaka 530-8552 Japan 81 6 7664 8621 http://www.santen.com,4229,Drug Manufacturers—General,,yahoo
78,78,FSR,Fisker Inc.,http://www.fiskerinc.com,"1888 Rosecrans Avenue Manhattan Beach, CA 90266 United States 833 434 7537 http://www.fiskerinc.com",300,Auto Manufacturers,,yahoo
79,79,FIVN,"Five9, Inc.",http://www.five9.com,"3001 Bishop Drive Suite 350 San Ramon, CA 94583 United States 925 201 2000 http://www.five9.com",1549,Software—Infrastructure,,yahoo
80,80,BKKLY,Bangkok Bank Public Company Limited,http://www.bangkokbank.com,333 Silom Road Bangrak Bangkok 10500 Thailand 66 2 645 5555 http://www.bangkokbank.com,0,Banks—Regional,,yahoo
81,81,SPKKY,Spark New Zealand Limited,http://www.sparknz.co.nz,Spark City Level 2 167 Victoria Street West Auckland 1010 New Zealand 64 4 471 1638 http://www.sparknz.co.nz,5083,Telecom Services,,yahoo
82,82,PLNT,"Planet Fitness, Inc.",http://www.planetfitness.com,"4 Liberty Lane West Hampton, NH 03842 United States 603 750 0001 http://www.planetfitness.com",1616,Leisure,,yahoo
83,83,CEVMF,CTS Eventim AG & Co. KGaA,http://www.eventim.de,Contrescarpe 75 A Bremen 28195 Germany 49 421 36 660 http://www.eventim.de,2451,Entertainment,,yahoo
84,84,SF,Stifel Financial Corp.,http://www.stifel.com,"One Financial Plaza 501 North Broadway Saint Louis, MO 63102-2188 United States 314 342 2000 http://www.stifel.com",8407,Capital Markets,,yahoo
85,85,TOPPY,"Toppan Printing Co., Ltd.",http://www.toppan.co.jp,"1-3-3, Suido Bunkyo-ku Tokyo 112-8531 Japan 81 3 3835 5111 http://www.toppan.co.jp",52401,Specialty Industrial Machinery,,yahoo
86,86,VST,Vistra Energy Corp.,http://www.vistracorp.com,"6555 Sierra Drive Irving, TX 75039 United States 214-812-4600 http://www.vistracorp.com",5365,Utilities—Independent Power Producers,,yahoo
87,87,ICUI,"ICU Medical, Inc.",http://www.icumed.com,"951 Calle Amanecer San Clemente, CA 92673 United States 949 366 2183 http://www.icumed.com",7900,Medical Instruments & Supplies,,yahoo
88,88,IAUGF,Insurance Australia Group Limited,http://www.iag.com.au,"Tower Two Level 13 Darling Park 201 Sussex Street Sydney, NSW 2000 Australia 61 2 9292 9222 http://www.iag.com.au",0,Insurance—Property & Casualty,,yahoo
89,89,SSLLF,Siltronic AG,http://www.siltronic.com,Einsteinstrasse 172 Munich 81677 Germany 49 89 8564 3000 http://www.siltronic.com,3900,Semiconductors,,yahoo
90,90,SIGI,"Selective Insurance Group, Inc.",http://www.selective.com,"40 Wantage Avenue Branchville, NJ 07890-1000 United States 973 948 3000 http://www.selective.com",2400,Insurance—Property & Casualty,,yahoo
91,91,KCDMY,"Kimberly-Clark de México, S. A. B. de C. V.",http://www.kimberly-clark.com.mx,"8 Jaime Balmes street 9th Floor Los Morales Polanco Mexico City, DF 11510 Mexico 52 55 52 82 73 00 http://www.kimberly-clark.com.mx",10326,Household & Personal Products,,yahoo
92,92,HLPPF,Hang Lung Properties Limited,http://www.hanglung.com,Standard Chartered Bank Building 28th Floor 4 Des Voeux Road Central Hong Kong 852 2879 0111 http://www.hanglung.com,4219,Real Estate Services,,yahoo
93,93,TFSL,TFS Financial Corp,http://www.thirdfederal.com,"7007 Broadway Avenue Cleveland, OH 44105 United States 216 441 6000 http://www.thirdfederal.com",1005,Banks—Regional,,yahoo
94,94,VOYA,"Voya Financial, Inc.",http://www.voya.com,"230 Park Avenue New York, NY 10169 United States 212-309-8200 http://www.voya.com",5940,Financial Conglomerates,,yahoo
95,95,RICOF,"Ricoh Company, Ltd.",http://www.ricoh.co.jp,1-3-6 Nakamagome Ohta-ku Tokyo 143-8555 Japan 81 3 3777 8111 http://www.ricoh.co.jp,81184,Business Equipment & Supplies,,yahoo
96,96,SZCRF,SCOR SE,http://www.scor.com,"5, Avenue KlEber Cedex 16 Paris 75795 France 33 1 58 44 70 00 http://www.scor.com",2945,Insurance—Reinsurance,,yahoo
97,97,INSP,"Inspire Medical Systems, Inc.",http://www.inspiresleep.com,"5500 Wayzata Boulevard Suite 1600 Golden Valley, MN 55416 United States 844 672 4357 http://www.inspiresleep.com",341,Medical Devices,,yahoo
98,98,TX,Ternium S.A.,http://www.ternium.com,26 Boulevard Royal 4th Floor Luxembourg City 2449 Luxembourg 352 26 68 31 52 http://www.ternium.com,20173,Steel,,yahoo
99,99,CYAGF,"CyberAgent, Inc.",http://www.cyberagent.co.jp,Abema Towers 40-1 Udagawacho Shibuya-ku Tokyo 150-0042 Japan 81 3 5459 0202 http://www.cyberagent.co.jp,0,Advertising Agencies,,yahoo
100,100,LEGN,Legend Biotech Corporation,http://www.legendbiotech.com,"2101 Cottontail Lane Somerset, NJ 08873 United States 732 317 5050 http://www.legendbiotech.com",882,Biotechnology,,yahoo
101,101,TWST,Twist Bioscience Corporation,http://www.twistbioscience.com,"681 Gateway Boulevard South San Francisco, CA 94080 United States 800 719 0671 http://www.twistbioscience.com",652,Diagnostics & Research,,yahoo
102,102,EVGRF,China Evergrande New Energy Vehicle Group Limited,http://health.evergrande.com,Evergrande International Center 28th Floor No. 78 Huangpu Avenue West Guangzhou 510620 China  http://health.evergrande.com,14493,Medical Care Facilities,,yahoo
103,103,PNXGF,Phoenix Group Holdings plc,http://www.thephoenixgroup.com,Juxon House 100 St Paulâs Churchyard London EC4M 8BU United Kingdom  http://www.thephoenixgroup.com,7653,Insurance—Life,,yahoo
104,104,DRKTF,Darktrace plc,http://www.darktrace.com,Maurice Wilkes Building St Johnâs Innovation Park Cowley Road Cambridge CB4 0DS United Kingdom 44 1223 394 100 http://www.darktrace.com,1605,Software—Infrastructure,,yahoo
105,105,BCAUY,Brilliance China Automotive Holdings Limited,http://www.brillianceauto.com,Chater House Suites 1602-05 8 Connaught Road Central Hong Kong 852 2523 7227 http://www.brillianceauto.com,5390,Auto Manufacturers,,yahoo
106,106,RVLV,"Revolve Group, Inc.",http://www.revolve.com,"12889 Moore Street Cerritos, CA 90703 United States 562 677 9480 http://www.revolve.com",843,Internet Retail,,yahoo
107,107,AMEH,"Apollo Medical Holdings, Inc.",http://www.apollomed.net,"1668 South Garfield Avenue 2nd Floor Alhambra, CA 91801 United States 626 282 0288 http://www.apollomed.net",630,Medical Care Facilities,,yahoo
108,108,KPELY,Keppel Corporation Limited,http://www.kepcorp.com,No. 18-01 Keppel Bay Tower 1 HarbourFront Avenue Singapore 098632 Singapore 65 6270 6666 http://www.kepcorp.com,18452,Conglomerates,,yahoo
109,109,ATDRY,Auto Trader Group plc,http://www.autotrader.co.uk,1 Tony Wilson Place 4th Floor Manchester M15 4FN United Kingdom 44 16 1669 9888 http://www.autotrader.co.uk,980,Internet Content & Information,,yahoo
110,110,MSMKF,MatsukiyoCocokara & Co.,http://www.matsukiyococokara.com,9-1 Shinmatsudo-Higashi Matsudo 270-8511 Japan 81 47 344 5110 http://www.matsukiyococokara.com,6692,Pharmaceutical Retailers,,yahoo
111,111,GGNPF,PT Gudang Garam Tbk,http://www.gudanggaramtbk.com,Jl. Semampir II/1 Kediri 64121 Indonesia 62 35 468 2091 http://www.gudanggaramtbk.com,34544,Tobacco,,yahoo
112,112,LDSCY,Land Securities Group plc,http://www.landsec.com,100 Victoria Street London SW1E 5JL United Kingdom 44-20-74139000 http://www.landsec.com,530,REIT—Diversified,,yahoo
113,113,IVPAF,Ivanhoe Mines Ltd.,http://www.ivanhoemines.com,"999 Canada Place Suite 654 Vancouver, BC V6C 3E1 Canada 604-688-6630 http://www.ivanhoemines.com",710,Other Industrial Metals & Mining,,yahoo
114,114,DMZPY,Domino's Pizza Enterprises Limited,http://www.dominos.com.au,"KSD1 Level 1 485 Kingsford Smith Drive Hamilton Brisbane, QLD 4007 Australia 61 7 3633 3333 http://www.dominos.com.au",88000,Restaurants,,yahoo
115,115,EGRNY,China Evergrande Group,http://www.evergrande.com,No.1126 Haide 3rd Road Nanshan District Shenzhen 518054 China  http://www.evergrande.com,163119,Real Estate—Development,,yahoo
116,116,EXP,Eagle Materials Inc.,http://www.eaglematerials.com,"5960 Berkshire Lane Suite 900 Dallas, TX 75225 United States 214 432 2000 http://www.eaglematerials.com",2200,Building Materials,,yahoo
117,117,KOD,Kodiak Sciences Inc.,http://kodiak.com,"1200 Page Mill Road Palo Alto, CA 94304 United States 650 281 0850 http://kodiak.com",85,Biotechnology,,yahoo
118,118,NDBKY,Nedbank Group Limited,http://www.nedbank.co.za,Nedbank 135 Rivonia Campus 135 Rivonia Road Sandown Sandton Johannesburg 2196 South Africa 27 11 294 4444 http://www.nedbank.co.za,27561,Banks—Regional,,yahoo
119,119,INOV,"Inovalon Holdings, Inc.",http://www.inovalon.com,"4321 Collington Road Bowie, MD 20716 United States 301 809 4000 http://www.inovalon.com",1836,Health Information Services,,yahoo
120,120,MEJHF,"Meiji Holdings Co., Ltd.",http://www.meiji.com,"2-4-16, Kyobashi Chuo-ku Tokyo 104-0031 Japan 81 3 3273 4001 http://www.meiji.com",17832,Packaged Foods,,yahoo
121,121,KPELF,Keppel Corporation Limited,http://www.kepcorp.com,No. 18-01 Keppel Bay Tower 1 HarbourFront Avenue Singapore 098632 Singapore 65 6270 6666 http://www.kepcorp.com,18452,Conglomerates,,yahoo
122,122,PLTK,Playtika Holding Corp.,http://www.playtika.com,HaChoshlim Street 8 Herzliya Pituach Israel 972 73 316 3251 http://www.playtika.com,3800,Electronic Gaming & Multimedia,,yahoo
123,123,SEPJF,Spectris plc,http://www.spectris.com,Heritage House Church Road Egham TW20 9QD United Kingdom 44 17 8447 0470 http://www.spectris.com,7650,Scientific & Technical Instruments,,yahoo
124,124,UBSFF,Ubisoft Entertainment SA,http://www.ubisoft.com,"2, avenue Pasteur Saint-MandÃ© 94160 France 33 1 48 18 25 81 http://www.ubisoft.com",20754,Electronic Gaming & Multimedia,,yahoo
125,125,TKAGY,Telekom Austria Aktiengesellschaft,http://www.a1.group,Lassallestrasse 9 Vienna 1020 Austria 43 50 664 0 http://www.a1.group,17851,Telecom Services,,yahoo
126,126,DLO,DLocal Limited,http://www.dlocal.com,Dr. Luis Bonavita 1294 Suite 1294 Montevideo 11300 Uruguay 598 9921 2146 http://www.dlocal.com,532,Software—Infrastructure,,yahoo
127,127,UGI,UGI Corporation,http://www.ugicorp.com,"460 North Gulph Road King of Prussia, PA 19406 United States 610 337 1000 http://www.ugicorp.com",11300,Utilities—Regulated Gas,,yahoo
128,128,GLBE,Global-e Online Ltd.,http://www.global-e.com,25 Basel Street Petah Tikva 4951038 Israel 972 7 326 05078 http://www.global-e.com,289,Internet Retail,,yahoo
129,129,TOTDF,Toto Ltd.,http://jp.toto.com,"1-1, Nakashima 2-chome Kokurakita-ku Kitakyushu 802-8601 Japan  http://jp.toto.com",33800,Building Products & Equipment,,yahoo
130,130,LAZ,Lazard Ltd,http://www.lazard.com,Clarendon House 2 Church Street Hamilton HM11 Bermuda 441-295-1422 http://www.lazard.com,3161,Capital Markets,,yahoo
131,131,WU,The Western Union Company,http://www.westernunion.com,"7001 East Belleview Avenue Denver, CO 80237 United States 866-405-5012 http://www.westernunion.com",11000,Credit Services,,yahoo
