"Name","Address","Industry","Type","Est. of Ownership","National ID","SIC Code"
"ENGIE","1 PLACE SAMUEL DE CHAMPLAIN, COURBEVOIE, 92400, HAUTS DE SEINE, FRANCE","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1954","54210765113030 SIRET","Natural gas transmission (4922)"
"CMA CGM","4 BOULEVARD J SAADE, QUAI D ARENC, MARSEILLE, 13002, BOUCHES DU RHONE, FRANCE","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1956","56202442200486 SIRET","Water freight transportation (4449)"
"CAPGEMINI","11 RUE DE TILSITT, PARIS, 75017, PARIS, FRANCE","Finance, Insurance, and Real Estate","Corporation","1984","33070384400036 SIRET","Holding company (6719)"
"RENAULT","13 15, 13 QUAI ALPHONSE LE GALLO, BOULOGNE BILLANCOURT, 92100, HAUTS DE SEINE, FRANCE","Finance, Insurance, and Real Estate","Corporation","2002","44163946500018 SIRET","Holding company (6719)"
"SOCIETE CIVILE DES MOUSQUETAIRES","24 RUE AUGUSTE CHABRIERES, PARIS, 75015, PARIS, FRANCE","Finance, Insurance, and Real Estate","Corporation","1986","34409209300014 SIRET","Holding company (6719)"
"ADECCO FRANCE","SPRING RECRUTEMENT ET INTERIM DE CADRE, 4 B RUE HENRI LEGAY, VILLEURBANNE, 69100, RHONE, FRANCE","Services","Corporation","1969","99882350431782 SIRET","Help supply services (7363)"
"SNCF VOYAGEURS","9 RUE JEAN PHILIPPE RAMEAU, ST DENIS, 93200, SEINE SAINT DENIS, FRANCE","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2009","51903758408713 SIRET","Local/suburban transportation (4111)"
"ORANGE","111 QUAI DU PRESIDENT ROOSEVELT, ISSY LES MOULINEAUX, 92130, HAUTS DE SEINE, FRANCE","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1991","38012986648625 SIRET","Telephone communications (4813)"
"ELECTRICITE DE FRANCE","22 30, 22 AVENUE DE WAGRAM, PARIS, 75008, PARIS, FRANCE","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1955","55208131766522 SIRET","Electric services (4911)"
"ONET SERVICES","36 BOULEVARD DE L OCEAN, MARSEILLE, 13009, BOUCHES DU RHONE, FRANCE","Services","Corporation","1967","06780042503681 SIRET","Building maintenance services (7349)"
"CRIT","6 RUE TOULOUSE LAUTREC, PARIS, 75017, PARIS, FRANCE","Services","Corporation","2003","45132990806315 SIRET","Help supply services (7363)"
"SYNERGIE","11 AVENUE DU COLONEL BONNET, PARIS, 75016, PARIS, FRANCE","Services","Corporation","1983","32992501000012 SIRET","Help supply services (7363)"
"VOLKSWAGEN AG","Berliner Ring 2, Wolfsburg, 38440, Niedersachsen, GERMANY","Manufacturing","Corporation","1937","38100B100484 Handelsregister nr.","Mfg motor vehicle/car bodies (3711)"
"Daimler AG","Mercedesstr. 120, Stuttgart, 70372, Baden-Württemberg, GERMANY","Manufacturing","Corporation","1926","70190B19360 Handelsregister nr.","Mfg motor vehicle parts/accessories (3714)"
"Schwarz Beteiligungs-KG","Rötelstr. 35, Neckarsulm, 74172, Baden-Württemberg, GERMANY","Finance, Insurance, and Real Estate","Corporation","2006","70190A104705 Handelsregister nr.","Holding company (6719)"
"Deutsche Telekom AG","Friedrich-Ebert-Allee 140, Bonn, 53113, Nordrhein-Westfalen, GERMANY","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1994","53111B6794 Handelsregister nr.","Telephone communications (4813)"
"Bayerische Motoren Werke AG","Petuelring 130, München, 80788, Bayern, GERMANY","Manufacturing","Corporation","1916","80333B42243 Handelsregister nr.","Mfg motor vehicle parts/accessories (3714)"
"Robert Bosch Gesellschaft mit beschränkter Haftung","Robert-Bosch-Platz 1, Gerlingen, 70839, Baden-Württemberg, GERMANY","Manufacturing","Corporation","2020","70190B14000 Handelsregister nr.","Mfg motor vehicle parts/accessories (3714)"
"Uniper Global Commodities SE","Holzstr. 6, Düsseldorf, 40221, Nordrhein-Westfalen, GERMANY","Transportation, Communications, Electric, Gas, and Sanitary Services","Foreign Company","2015","40227B61123 Handelsregister nr.","Electric services (4911)"
"Deutsche Post AG","Charles-de-Gaulle-Str. 20, Bonn, 53113, Nordrhein-Westfalen, GERMANY","Services","Corporation","1949","53111B6792 Handelsregister nr.","Business services (7389)"
"E.ON SE","Brüsseler Platz 1, Essen, 45131, Nordrhein-Westfalen, GERMANY","Transportation, Communications, Electric, Gas, and Sanitary Services","Foreign Company","1929","45130B28196 Handelsregister nr.","Electric services (4911)"
"INA-Holding Schaeffler GmbH & Co. KG","Industriestr. 1-3, Herzogenaurach, 91074, Bayern, GERMANY","Services","Corporation","1999","90762A7016 Handelsregister nr.","Management services (8741)"
"VOLKSWAGEN AG","Berliner Ring 2, Wolfsburg, 38440, Niedersachsen, GERMANY","Manufacturing","Corporation","1937","38100B100484 Handelsregister nr.","Mfg motor vehicle/car bodies (3711)"
"INA-Holding Schaeffler GmbH & Co. KG","Industriestr. 1-3, Herzogenaurach, 91074, Bayern, GERMANY","Services","Corporation","1999","90762A7016 Handelsregister nr.","Management services (8741)"
"Deutsche Post AG","Charles-de-Gaulle-Str. 20, Bonn, 53113, Nordrhein-Westfalen, GERMANY","Services","Corporation","1949","53111B6792 Handelsregister nr.","Business services (7389)"
"Fresenius Management SE","Else-Kröner-Str. 1, Bad Homburg, 61352, Hessen, GERMANY","Finance, Insurance, and Real Estate","Foreign Company","2009","61352B11673 Handelsregister nr.","Holding company (6719)"
"Fresenius SE & Co. KGaA","Else-Kröner-Str. 1, Bad Homburg, 61352, Hessen, GERMANY","Manufacturing","Corporation","1912","61352B11852 Handelsregister nr.","Mfg electro-medical equipment (3845)"
"Siemens AG","Werner-von-Siemens-Str. 1, München, 80333, Bayern, GERMANY","Manufacturing","Corporation","1847","80333B6684 Handelsregister nr.","Mfg process control instruments (3823)"
"Daimler AG","Mercedesstr. 120, Stuttgart, 70372, Baden-Württemberg, GERMANY","Manufacturing","Corporation","1926","70190B19360 Handelsregister nr.","Mfg motor vehicle parts/accessories (3714)"
"Deutsche Bahn AG","Potsdamer Platz 2, Berlin, 10785, Berlin, GERMANY","Finance, Insurance, and Real Estate","Corporation","1992","10623B50000B Handelsregister nr.","Holding company (6719)"
"Continental AG","Vahrenwalder Str. 9, Hannover, 30165, Niedersachsen, GERMANY","Manufacturing","Corporation","1871","30175B3527 Handelsregister nr.","Mfg motor vehicle parts/accessories (3714)"
"Deutsche Telekom AG","Friedrich-Ebert-Allee 140, Bonn, 53113, Nordrhein-Westfalen, GERMANY","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1994","53111B6794 Handelsregister nr.","Telephone communications (4813)"
"Kni A/S","J M Jensenip Aqquserna 2, sal 319, SISIMIUT, 3911, Grønland, GREENLAND","Wholesale Trade","Corporation","1992","16607398 CVR","Whol durable goods (5099)"
"Pisiffik A/S","Imaneq 1, NUUK, 3900, Grønland, GREENLAND","Retail Trade","Corporation","1992","16607479 CVR","Ret groceries (5411)"
"Air Greenland A/S","Siaqqinneq 1, C/O B - 1842, NUUSSUAQ, 3905, Grønland, GREENLAND","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1960","56996710 CVR","Scheduled air transportation (4512)"
"Kalaallit Nunaanni Brugseni","Aqqusinersuaq 4, sal 2th, NUUK, 3900, Grønland, GREENLAND","Retail Trade","Cooperative","1990","15787406 CVR","Ret groceries (5411)"
"Royal Arctic Line A/S","Qeqertanut 46, NUUSSUAQ, 3905, Grønland, GREENLAND","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1992","16545538 CVR","Water freight transportation (4449)"
"Tele Greenland A/S","Farip Aqqutaa 8, NUUK, 3900, Grønland, GREENLAND","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1993","17516345 CVR","Telephone communications (4813)"
"Namminersorlutik Oqartussat","Aqqusinersuaq 5, C/O Grønlands Selvstyre, NUUK, 3900, Grønland, GREENLAND","Public Sector","Government Body","1979","19785289 CVR","General government (9199)"
"Polar Seafood Greenland A/S","Imaneq 24, NUUK, 3900, Grønland, GREENLAND","Wholesale Trade","Corporation","1984","11812910 CVR","Whol fish/seafood (5146)"
"Polar Raajat A/S","Imaneq 24, NUUK, 3900, Grønland, GREENLAND","Wholesale Trade","Corporation","1996","19650472 CVR","Whol fish/seafood (5146)"
"Kommune Qeqertalik","Niels Egedesvej 1, AASIAAT, 3950, Grønland, GREENLAND","Public Sector","Government Body","2018","37488895 CVR","General government (9199)"
"Air Greenland A/S","Siaqqinneq 1, C/O B - 1842, NUUSSUAQ, 3905, Grønland, GREENLAND","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1960","56996710 CVR","Scheduled air transportation (4512)"
"Namminersorlutik Oqartussat","Aqqusinersuaq 5, C/O Grønlands Selvstyre, NUUK, 3900, Grønland, GREENLAND","Public Sector","Government Body","1979","19785289 CVR","General government (9199)"
"Kommune Qeqertalik","Niels Egedesvej 1, AASIAAT, 3950, Grønland, GREENLAND","Public Sector","Government Body","2018","37488895 CVR","General government (9199)"
"Kommuneqarfik Sermersooq","Kuussuaq 2, NUUK, 3900, Grønland, GREENLAND","Public Sector","Local Government Body","2009","31290937 CVR","General government (9199)"
"Kommune Kujalleq","Anders Olsensvej, QAQORTOQ, 3920, Grønland, GREENLAND","Public Sector","Government Body","2009","31291321 CVR","General government (9199)"
"Avannaata Kommunia","Noah Mølgårdip Aqq 9, ILULISSAT, 3952, Grønland, GREENLAND","Public Sector","Government Body","2018","37488909 CVR","General government (9199)"
"Nukissiorfiit Grønlands Energiforsyning","NUUSSUAQ, 3905, Grønland, GREENLAND","Unknown industry","Unknown Type","","","Non classified establishment (9999)"
"Kalaallit Nunaanni Brugseni","Aqqusinersuaq 4, sal 2th, NUUK, 3900, Grønland, GREENLAND","Retail Trade","Cooperative","1990","15787406 CVR","Ret groceries (5411)"
"Formandens Departement","Imaneq 1A, C/O Grønlands Selvstyre, NUUK, 3900, Grønland, GREENLAND","Public Sector","Government Body","1979","39951347 CVR","General government (9199)"
"Skattestyrelsen","Indaleeqqap Aqqutaa 1, C/O Grønlands Selvstyre, NUUK, 3900, Grønland, GREENLAND","Public Sector","Government Body","1979","19785386 CVR","General government (9199)"
"APPLE OPERATIONS INTERNATIONAL LIMITED","Hollyhill Industrial Estate, Cork, T23 YK84, CO CORK, IRELAND","Manufacturing","Corporation","1980","76941 CRN","Mfg electronic computers (3571)"
"GOOGLE IRELAND LIMITED","Gordon House, Barrow Street, Dublin, 4, CO DUBLIN, IRELAND","Services","Corporation","2003","368047 CRN","Custom computer programming (7371)"
"MICROSOFT IRELAND OPERATIONS LIMITED","ONE Microsoft Place, Dublin, D18 P521, CO DUBLIN, IRELAND","Services","Corporation","1996","256796 CRN","Computer related services (7379)"
"CHIRAC LIMITED","Gresham House, Marine Road, Dun Laoghaire, CO DUBLIN, IRELAND","Finance, Insurance, and Real Estate","Corporation","1998","286585 CRN","Real estate agent/manager (6531)"
"FACEBOOK IRELAND LIMITED","4 Grand Canal Place, Dublin, 2, CO DUBLIN, IRELAND","Services","Corporation","2008","462932 CRN","Computer related services (7379)"
"UNITED AIRLINES , INC.","61A South William Street, Dublin, 2, CO DUBLIN, IRELAND","Transportation, Communications, Electric, Gas, and Sanitary Services","Foreign Company","1980","904061 CRN","U.S. Postal Service (4311)"
"ACCENTURE LIMITED","1 Grand Canal Square Grand Canal Harbour, Dublin 2, Dublin, D02 P820, CO DUBLIN, IRELAND","Services","Corporation","2001","340745 CRN","Engineering services (8711)"
"ACCENTURE PUBLIC LIMITED COMPANY","1 Grand Canal Square, Dublin, D02 P820, CO DUBLIN, IRELAND","Services","Corporation","2009","471706 CRN","Management consulting services (8742)"
"MICROSOFT IRELAND RESEARCH","70 Sir John Rogerson's Quay, Dublin 2, Dublin, D02 R296, CO DUBLIN, IRELAND","Services","Corporation","2001","342235 CRN","Computer related services (7379)"
"MEDTRONIC PUBLIC LIMITED COMPANY","20 Lower Hatch Street, Dublin, D02 XH02, CO DUBLIN, IRELAND","Services","Corporation","2014","545333 CRN","Health/allied services (8099)"
"CHIRAC LIMITED","Gresham House, Marine Road, Dun Laoghaire, CO DUBLIN, IRELAND","Finance, Insurance, and Real Estate","Corporation","1998","286585 CRN","Real estate agent/manager (6531)"
"ACCENTURE PUBLIC LIMITED COMPANY","1 Grand Canal Square, Dublin, D02 P820, CO DUBLIN, IRELAND","Services","Corporation","2009","471706 CRN","Management consulting services (8742)"
"Southern Health Board","Wilton, Cork, CO CORK, IRELAND","Services","Unknown Type","2018","","Medical doctor's office (8011)"
"MEDTRONIC PUBLIC LIMITED COMPANY","20 Lower Hatch Street, Dublin, D02 XH02, CO DUBLIN, IRELAND","Services","Corporation","2014","545333 CRN","Health/allied services (8099)"
"HEALTH SERVICE EXECUTIVE","Oak House, Millennium Park, Naas, CO KILDARE, IRELAND","Services","Unknown Type","2019","","Museum/art gallery (8412)"
"EATON CORPORATION PUBLIC LIMITED COMPANY","Eaton House, 30 Pembroke Road, Dublin, D04 Y0C2, CO DUBLIN, IRELAND","Services","Corporation","2012","512978 CRN","Management consulting services (8742)"
"JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY","ONE Albert Quay, Cork, T12 X8N6, CO CORK, IRELAND","Wholesale Trade","Corporation","1960","543654 CRN","Whol electronic parts/equipment (5065)"
"LINDE PUBLIC LIMITED COMPANY","TEN Earlsfort Terrace, Dublin 2, Dublin, D02 T380, CO DUBLIN, IRELAND","Finance, Insurance, and Real Estate","Corporation","2017","602527 CRN","Trust management (6733)"
"CRH NORTH AMERICA LIMITED","42 Fitzwilliam Square, Dublin 2, Dublin, CO DUBLIN, IRELAND","Manufacturing","Corporation","1974","47622 CRN","Mfg brick/structural tile (3251)"
"CRH PUBLIC LIMITED COMPANY","Stonemasons Way, Dublin, D16 KH51, CO DUBLIN, IRELAND","Finance, Insurance, and Real Estate","Corporation","1949","12965 CRN","Holding company (6719)"
"AMAZON EU S.A RL","VIALE MONTE GRAPPA 3/5, MILANO, 20124, MILANO, ITALY","Retail Trade","Foreign Company","2011","IT08973230967 P.IVA","Ret mail-order house (5961)"
"SANTA SEDE","CITTA' DEL VATICANO, 00120, ROMA, ITALY","Services","Non Profit Organization","1100","","Religious organization (8661)"
"FCA ITALY SPA","CORSO GIOVANNI AGNELLI 200, TORINO, 10135, TORINO, ITALY","Manufacturing","Corporation","1978","IT07973780013 P.IVA","Mfg motor vehicle/car bodies (3711)"
"COMUNE DI PISTOIA","PIAZZA DEL DUOMO 1, PISTOIA, 51100, PISTOIA, ITALY","Public Sector","Non Profit Organization","1948","IT00108690470 P.IVA","General government (9199)"
"ENI SPA","PIAZZALE ENRICO MATTEI 1, ROMA, 00144, ROMA, ITALY","Manufacturing","Corporation","1953","IT00905811006 P.IVA","Petroleum refiner (2911)"
"GESTORE DEI MERCATI ENERGETICI SPA","VIALE MARESCIALLO PILSUDSKI 122/124, ROMA, 00197, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2000","IT06208031002 P.IVA","Electric services (4911)"
"POSTE VITA SPA","VIALE BEETHOVEN 11, ROMA, 00144, ROMA, ITALY","Finance, Insurance, and Real Estate","Corporation","1996","IT05927271006 P.IVA","Life insurance carrier (6311)"
"TOTAL PETROCHEMICALS & REFINING SA NV","VIA ROMBON 11, MILANO, 20134, MILANO, ITALY","Wholesale Trade","Foreign Company","2004","IT04488120967 P.IVA","Whol chemicals/products (5169)"
"GENERALI ITALIA SPA","VIA MAROCCHESA 14, MOGLIANO VENETO, 31021, TREVISO, ITALY","Finance, Insurance, and Real Estate","Corporation","1927","IT00885351007 P.IVA","Insurance carrier (6399)"
"GESTORE DEI SERVIZI ENERGETICI - GSE SPA","VIALE MARESCIALLO PILSUDSKI 92, ROMA, 00197, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1999","IT05754381001 P.IVA","Electric services (4911)"
"SANTA SEDE","CITTA' DEL VATICANO, 00120, ROMA, ITALY","Services","Non Profit Organization","1100","","Religious organization (8661)"
"POSTE ITALIANE SPA","VIALE EUROPA 190, ROMA, 00144, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1861","IT01114601006 P.IVA","U.S. Postal Service (4311)"
"ARMA DEI CARABINIERI","VIALE ROMANIA 45, ROMA, 00197, ROMA, ITALY","Public Sector","Non Profit Organization","1814","80236190585 CF","Police protection (9221)"
"STATO MAGGIORE DELL'ESERCITO","VIA VENTI SETTEMBRE 123/A, ROMA, 00187, ROMA, ITALY","Public Sector","Non Profit Organization","1946","80419490588 CF","General government (9199)"
"MINISTERO DELLA DIFESA","VIA XX SETTEMBRE 8, ROMA, 00187, ROMA, ITALY","Public Sector","Non Profit Organization","1861","80234710582 CF","General government (9199)"
"INTESA SANPAOLO SPA","VIA MONTE DI PIETA' 8, MILANO, 20121, MILANO, ITALY","Finance, Insurance, and Real Estate","Corporation","1925","IT10810700152 P.IVA","National commercial bank (6021)"
"GUARDIA DI FINANZA","VIALE VENTUNO APRILE 51, ROMA, 00162, ROMA, ITALY","Public Sector","Non Profit Organization","1774","80194230589 CF","Police protection (9221)"
"ADECCO ITALIA SPA","VIA TOLMEZZO 15, MILANO, 20132, MILANO, ITALY","Services","Corporation","1997","IT13366030156 P.IVA","Help supply services (7363)"
"RANDSTAD ITALIA SPA","VIA ROBERTO LEPETIT 8/10, MILANO, 20124, MILANO, ITALY","Services","Corporation","1999","IT12730090151 P.IVA","Help supply services (7363)"
"GI GROUP SPA","PIAZZA IV NOVEMBRE 5, MILANO, 20124, MILANO, ITALY","Services","Corporation","1995","IT11629770154 P.IVA","Help supply services (7363)"
"Hilti Aktiengesellschaft","Feldkircherstrasse 100, SCHAAN, 9494, FL, LIECHTENSTEIN","Manufacturing","Corporation","1941","FL00010115570 UID","Mfg power-driven handtools (3546)"
"Swisscom Re Aktiengesellschaft","Kirchstrasse 12, VADUZ, 9490, FL, LIECHTENSTEIN","Finance, Insurance, and Real Estate","Corporation","1997","FL00015410412 UID","Accident/health insurance carrier (6321)"
"Duferco International Trading Holding Ltd.","c/o Maretrade Anstalt, Pflugstrasse 32, VADUZ, 9490, FL, LIECHTENSTEIN","Finance, Insurance, and Real Estate","Unknown Type","2011","","Misc business credit institutions (6159)"
"Hilcona Aktiengesellschaft","Benderer Strasse 21, SCHAAN, 9494, FL, LIECHTENSTEIN","Finance, Insurance, and Real Estate","Corporation","1935","FL00025556637 UID","Holding company (6719)"
"ARGUS SICHERHEITSDIENST AKTIENGESELLSCHAFT","Wirtschaftspark 23, ESCHEN, 9492, FL, LIECHTENSTEIN","Public Sector","Corporation","1968","FL00010922122 UID","National security (9711)"
"Ospelt Petfood Anstalt","Schaanerstrasse 79, GAMPRIN-BENDERN, 9487, FL, LIECHTENSTEIN","Manufacturing","Corporation","2009","FL00023352711 UID","Mfg dog/cat food (2047)"
"IVOCLAR VIVADENT AKTIENGESELLSCHAFT","Bendererstrasse 2, SCHAAN, 9494, FL, LIECHTENSTEIN","Services","Corporation","1923","FL00010015957 UID","Dental laboratory (8072)"
"Ospelt Holding Anstalt","c/o Herbert Ospelt Anstalt, Schaaner Strasse 79, GAMPRIN-BENDERN, 9487, FL, LIECHTENSTEIN","Finance, Insurance, and Real Estate","Corporation","1993","FL00015117242 UID","Holding company (6719)"
"Internationale Möbel-Selection IMS Aktiengesellschaft","Industriering 10, RUGGELL, 9491, FL, LIECHTENSTEIN","Wholesale Trade","Corporation","1974","FL00010499979 UID","Whol furniture (5021)"
"PROCESS POINT SERVICE AKTIENGESELLSCHAFT","Unterfeld 14, TRIESEN, 9495, FL, LIECHTENSTEIN","Manufacturing","Corporation","2005","FL00021531437 UID","Mfg metal cans (3411)"
"Hilti Aktiengesellschaft","Feldkircherstrasse 100, SCHAAN, 9494, FL, LIECHTENSTEIN","Manufacturing","Corporation","1941","FL00010115570 UID","Mfg power-driven handtools (3546)"
"Swisscom Re Aktiengesellschaft","Kirchstrasse 12, VADUZ, 9490, FL, LIECHTENSTEIN","Finance, Insurance, and Real Estate","Corporation","1997","FL00015410412 UID","Accident/health insurance carrier (6321)"
"ISS Facility Services (Liechtenstein) AG","Im Äscherle 1, SCHAAN, 9494, FL, LIECHTENSTEIN","Unknown industry","Corporation","2002","FL00020591846 UID","Non classified establishment (9999)"
"Securitas (Liechtenstein) Aktiengesellschaft","Landstrasse 38, VADUZ, 9490, FL, LIECHTENSTEIN","Services","Corporation","2003","FL00020665153 UID","Detective/armored car services (7381)"
"ARGUS SICHERHEITSDIENST AKTIENGESELLSCHAFT","Wirtschaftspark 23, ESCHEN, 9492, FL, LIECHTENSTEIN","Public Sector","Corporation","1968","FL00010922122 UID","National security (9711)"
"Duferco International Trading Holding Ltd.","c/o Maretrade Anstalt, Pflugstrasse 32, VADUZ, 9490, FL, LIECHTENSTEIN","Finance, Insurance, and Real Estate","Unknown Type","2011","","Misc business credit institutions (6159)"
"Hilcona Aktiengesellschaft","Benderer Strasse 21, SCHAAN, 9494, FL, LIECHTENSTEIN","Finance, Insurance, and Real Estate","Corporation","1935","FL00025556637 UID","Holding company (6719)"
"PROCESS POINT SERVICE AKTIENGESELLSCHAFT","Unterfeld 14, TRIESEN, 9495, FL, LIECHTENSTEIN","Manufacturing","Corporation","2005","FL00021531437 UID","Mfg metal cans (3411)"
"Baloise Life (Liechtenstein) AG","Alte Landstrasse 6, BALZERS, 9496, FL, LIECHTENSTEIN","Finance, Insurance, and Real Estate","Corporation","2007","FL00022425864 UID","Life insurance carrier (6311)"
