name,marketcap,country,change (1 year),rank,change (1 day),categories,share price
bhp group,$147.49 b,australia,-9.41%,#89,1.12%,⛏️ mining,$57.70
royal bank of canada,$145.36 b,canada,23.06%,#90,-0.46%,🏦 banks💳 financial services,$102.02
ping an insurance,$143.52 b,china,-38.40%,#91,0.47%,🏦 insurance,$14.95
t-mobile us,$142.64 b,usa,-13.06%,#92,0.18%,📡 telecommunication,$114.20
honeywell,$142.46 b,usa,-2.94%,#93,0.46%,🇺🇸 dow jones🚀 aerospace🔫 defense contractors,$206.94
sea (garena),$140.73 b,singapore,25.72%,#94,-0.42%,🖥️ internet🎮 video games🛒 e-commerce💳 financial services entertainment,$253.74
dior,$140.59 b,france,n/a,#95,-0.86%,⌚ luxury goods👚 clothing,$779.31
blackrock,$139.62 b,usa,30.98%,#98,-0.52%,💰 investment,$919.08
philip morris,$140.47 b,usa,5.78%,#96,0.82%,🚬 tobacco,$90.23
petrochina,$139.31 b,china,51.08%,#99,-0.98%,🛢 oil&gas ⚡ energy,$45.43
applied materials,$140.45 b,usa,73.82%,#97,1.90%,📟 semiconductors👩‍💻 tech💻 tech hardware,$155.55
byd,$137.81 b,china,72.88%,#101,0.64%,🚗 automakers 🏭 manufacturing,$47.34
volkswagen,$137.33 b,germany,23.74%,#102,0.45%,🚗 automakers🇩🇪 dax 🏭 manufacturing,$206.98
siemens,$136.93 b,germany,23.61%,#103,-1.37%,👷 engineering🇩🇪 dax,$84.98
unilever,$136.14 b,netherlands,-9.93%,#104,0.26%,🍴 food🛍 consumer goods,$53.04
starbucks,$135.92 b,usa,14.89%,#105,0.44%,🥤 beverages,$115.86
goldman sachs,$132.81 b,usa,63.29%,#106,0.42%,🏦 banks🇺🇸 dow jones💳 financial services,$398.16
totalenergies,$131.47 b,france,n/a,#107,0.60%,🛢 oil&gas ⚡ energy🇫🇷 cac 40,$49.90
bank of china,$131.19 b,china,-1.43%,#108,0.00%,🏦 banks💳 financial services,$0.35
raytheon technologies,$130.18 b,usa,17.16%,#109,0.95%,🚀 aerospace🔫 defense contractors,$86.98
american express,$130.14 b,usa,38.07%,#110,-0.54%,🇺🇸 dow jones💳 financial services,$168.02
cvs health,$129.07 b,usa,32.34%,#111,0.48%,⚕️ healthcare💊 pharmaceuticals 💊 drugstore🛍️ retail,$97.78
servicenow,$128.83 b,usa,21.62%,#112,0.82%,👩‍💻 software🖥️ internet👩‍💻 tech,$647.43
aia,$128.58 b,hong kong,-7.46%,#113,-0.94%,🏦 insurance,$10.55
bristol-myers squibb,$127.93 b,usa,-5.55%,#114,0.17%,💊 pharmaceuticals🧬 biotech,$57.64
estee lauder,$127.89 b,usa,44.27%,#115,-0.15%,,$355.31
jingdong mall,$124.31 b,china,-2.75%,#116,-0.03%,🛒 e-commerce🖥️ internet🛍️ retail👩‍💻 tech,$79.55
american tower,$123.43 b,usa,23.52%,#117,0.00%,📡 telecommunication🏠 real estate 🏘️ reits🛣️ infrastructure,$271.05
sanofi,$123.38 b,france,-4.64%,#118,3.04%,🇫🇷 cac 40💊 pharmaceuticals🧬 biotech,$48.75
intuitive surgical,$122.78 b,usa,-54.83%,#119,0.99%,medical devices,$343.72
boeing,$122.73 b,usa,-10.56%,#120,0.62%,✈️ aircraft manufacturers🚀 aerospace🇺🇸 dow jones 🏭 manufacturing,$208.84
citigroup,$122.26 b,usa,5.41%,#121,-0.84%,🏦 banks💳 financial services,$61.62
diageo,$122.15 b,uk,30.65%,#122,0.79%,🍷 alcoholic beverages🥤 beverages,$209.70
hdfc bank,$121.81 b,india,-2.64%,#123,0.43%,🏦 banks💳 financial services,$65.96
china mobile,$121.28 b,china,n/a,#124,-0.75%,📡 telecommunication,$5.92
amgen,$119.84 b,usa,-7.52%,#125,0.09%,💊 pharmaceuticals🇺🇸 dow jones🧬 biotech,$212.77
commonwealth bank,$119.55 b,australia,18.26%,#126,-0.26%,🏦 banks💳 financial services,$70.06
hsbc,$118.39 b,uk,8.06%,#127,0.07%,🏦 banks,$29.10
prologis,$116.62 b,usa,63.39%,#128,0.11%,🏠 real estate💰 investment 🏘️ reits,$157.74
target,$113.82 b,usa,36.47%,#129,-0.85%,🛍️ retail 🛒 supermarket chains,$237.56
airbnb,$112.97 b,usa,25.40%,#130,-2.01%,🌴 travel🖥️ internet🌴 online travel👩‍💻 tech,$177.81
china life insurance,$112.88 b,china,-23.41%,#131,0.23%,🏦 insurance,$8.57
s&p global,$112.70 b,usa,42.89%,#132,-1.13%,💳 financial services,$467.66
deere & company,$112.38 b,usa,42.02%,#133,0.15%,,$362.45
ibm,$111.69 b,usa,-2.54%,#134,0.84%,👩‍💻 tech👩‍💻 software🇺🇸 dow jones,$124.61
snowflake,$111.66 b,usa,-2.68%,#135,0.89%,👩‍💻 tech👩‍💻 software,$364.55
caterpillar,$111.14 b,usa,13.36%,#136,0.65%,🇺🇸 dow jones,$205.46
macquarie,$110.81 b,australia,45.73%,#137,0.02%,🏦 banks💳 financial services💰 investment,$144.54
merck kgaa,$110.53 b,germany,65.62%,#138,0.27%,💊 pharmaceuticals🧪 chemicals🇩🇪 dax,$254.23
charter communications,$110.50 b,usa,-4.99%,#139,0.72%,📡 telecommunication,$616.37
zoetis,$108.79 b,usa,45.03%,#140,-0.09%,💊 pharmaceuticals🧬 biotech,$229.95
glaxosmithkline,$107.74 b,uk,13.11%,#141,0.06%,🧬 biotech💊 pharmaceuticals,$42.83
general electric,$107.72 b,usa,758.91%,#142,0.28%,🏙 conglomerate,$98.10
transurban,$107.58 b,australia,-1.79%,#143,-0.07%,🛣 toll road operators🛣️ infrastructure,$9.80
gazprom,$107.40 b,russia,78.84%,#144,-1.25%,🛢 oil&gas ⚡ energy,$9.09
recruit,$106.58 b,japan,64.82%,#145,0.94%,💼 staffing & employment services💼 professional services,$65.22
schneider electric,$105.95 b,france,35.60%,#146,-1.01%,🇫🇷 cac 40👩‍💻 tech💼 professional services👩‍💻 software,$188.08
rio tinto,$104.65 b,uk,-11.62%,#147,1.02%,⛏️ mining,$64.63
rivian,$102.51 b,usa,n/a,#148,0.56%,🚗 automakers 🏭 manufacturing🔋 electric vehicles,$116.05
3m,$102.16 b,usa,0.37%,#149,0.77%,🇺🇸 dow jones,$177.30
anthem,$102.15 b,usa,31.79%,#150,0.30%,⚕️ healthcare🏦 insurance,$420.91
anheuser-busch inbev,$101.38 b,belgium,-18.55%,#151,0.96%,🍷 alcoholic beverages🥤 beverages,$57.95
inditex,$99.93 b,spain,-2.98%,#152,-2.30%,👚 clothing🛍️ retail,$15.94
lam research,$99.74 b,usa,41.63%,#153,1.29%,📟 semiconductors👩‍💻 tech💻 tech hardware,$708.39
automatic data processing,$98.84 b,usa,33.88%,#154,0.79%,👩‍💻 software🖥️ it services💼 professional services👩‍💻 tech,$234.58
kering,$98.80 b,france,23.40%,#155,-0.51%,🇫🇷 cac 40⌚ luxury goods,$796.36
conocophillips,$98.79 b,usa,69.91%,#156,1.08%,🛢 oil&gas ⚡ energy,$73.33
stryker corporation,$98.45 b,usa,10.43%,#157,0.17%,medical devices,$260.98
infosys,$98.32 b,india,49.71%,#158,0.30%,💼 professional services🖥️ it services,$23.32
analog devices,$97.38 b,usa,29.55%,#159,0.92%,📟 semiconductors👩‍💻 tech 🏭 manufacturing,$185.37
csl,$97.28 b,australia,-1.11%,#160,-2.09%,🧬 biotech💊 pharmaceuticals,$213.49
blackstone group,$96.85 b,usa,114.76%,#161,1.15%,💰 investment,$135.53
atlassian,$96.11 b,australia,67.95%,#162,1.29%,👩‍💻 tech👩‍💻 software,$380.27
nippon telegraph & telephone,$95.61 b,japan,9.45%,#163,-2.25%,📡 telecommunication,$26.71
lockheed martin,$95.32 b,usa,-4.91%,#164,0.60%,🚀 aerospace🔫 defense contractors,$345.65
moderna,$95.21 b,usa,73.84%,#165,-13.73%,💊 pharmaceuticals🧬 mrna therapeutics🧬 biotech,$234.83
micron technology,$94.80 b,usa,18.93%,#166,-0.35%,👩‍💻 tech💻 tech hardware📟 semiconductors,$84.64
allianz,$94.45 b,germany,-3.27%,#167,-1.09%,🏦 insurance🇩🇪 dax,$230.71
airbus,$94.05 b,netherlands,5.50%,#168,-1.29%,✈️ aircraft manufacturers🚀 aerospace🇫🇷 cac 40 🏭 manufacturing,$118.74
booking.com,$93.34 b,usa,7.62%,#169,0.25%,🖥️ internet🌴 travel🌴 online travel👩‍💻 tech,"$2,273"
essilorluxottica,$92.53 b,france,36.07%,#170,-0.47%,🇫🇷 cac 40👓 glasses and contact lenses⌚ luxury goods,$208.53
canadian national railway,$91.32 b,canada,16.31%,#171,0.45%,🚂 railways transportation,$129.28
brookfield asset management,$91.24 b,canada,39.49%,#172,-0.84%,💰 investment💳 financial services,$57.89
bp,$90.97 b,uk,24.02%,#173,1.03%,🛢 oil&gas ⚡ energy,$27.44
sherwin-williams,$90.95 b,usa,-52.28%,#173,0.88%,🎨 paint & coating,$346.88
deutsche telekom,$90.39 b,germany,5.68%,#175,-0.13%,📡 telecommunication🇩🇪 dax,$17.95
al rajhi bank,$89.83 b,saudi arabia,82.16%,#176,-0.74%,🏦 banks💳 financial services,$35.93
daimler,$89.48 b,germany,49.83%,#177,-14.06%,🚗 automakers🇩🇪 dax 🏭 manufacturing,$83.65
tjx companies,$88.98 b,usa,10.94%,#178,0.78%,🛍️ retail👚 clothing,$74.60
gilead sciences,$88.20 b,usa,15.59%,#179,0.03%,💊 pharmaceuticals🧬 biotech,$70.32
sberbank,$87.90 b,russia,6.21%,#180,1.25%,🏦 banks💳 financial services,$16.25
general motors,$87.68 b,usa,34.19%,#181,1.30%,🚗 automakers 🏭 manufacturing,$60.40
compagnie financière richemont,$87.18 b,switzerland,87.65%,#183,0.18%,⌚ luxury goods,$154.13
marsh & mclennan companies,$86.76 b,usa,47.58%,#184,0.46%,🏦 insurance💼 professional services,$171.84
adyen,$86.72 b,netherlands,35.05%,#185,0.07%,💳 financial services👩‍💻 tech,"$2,800"
sabic,$86.68 b,saudi arabia,10.95%,#186,-1.28%,🧪 chemicals,$28.90
square,$87.19 b,usa,-9.80%,#182,1.22%,💳 financial services👩‍💻 tech ₿ bitcoin,$189.03
pnc financial services,$86.21 b,usa,40.10%,#187,1.63%,🏦 banks💳 financial services,$204.00
u.s. bancorp,$85.73 b,usa,24.78%,#188,1.07%,🏦 banks💳 financial services,$57.82
mondelez,$85.52 b,usa,5.67%,#189,0.52%,🍴 food,$61.31
siemens healthineers,$85.44 b,germany,71.21%,#190,0.06%,⚕️ healthcare,$75.81
snap,$84.73 b,usa,6.53%,#191,0.53%,🖥️ internet👩‍💻 tech,$52.64
equinor,$84.64 b,norway,57.10%,#192,-0.65%,⚡ energy🛢 oil&gas🔋 electricity,$26.16
british american tobacco,$83.13 b,uk,-9.31%,#194,1.66%,🚬 tobacco,$36.23
softbank,$83.16 b,japan,-31.04%,#193,0.22%,💰 investment💳 financial services📡 telecommunication🏙 conglomerate,$48.53
tokyo electron,$83.07 b,japan,49.56%,#195,-4.13%,🔌 electronics📟 semiconductors👩‍💻 tech💻 tech hardware,$534.09
air liquide,$82.91 b,france,14.85%,#196,-0.01%,🇫🇷 cac 40🧪 chemicals,$174.90
altria group,$82.60 b,usa,3.75%,#197,0.84%,🚬 tobacco,$44.97
chubb,$82.37 b,switzerland,24.29%,#198,0.54%,🏦 insurance,$191.23
scotiabank,$82.17 b,canada,26.39%,#199,0.21%,🏦 banks💳 financial services,$67.58
cme group,$81.87 b,usa,24.82%,#201,0.07%,🏛 stock exchanges💳 financial services🏛 stock/crypto exchanges,$227.80
csx corporation,$81.67 b,usa,-60.09%,#202,0.59%,🚂 railways transportation🛣️ infrastructure,$36.83
dassault systèmes,$81.32 b,france,-66.67%,#203,0.46%,👩‍💻 software🇫🇷 cac 40👩‍💻 tech,$62.32
bnp paribas,$80.37 b,france,19.72%,#204,-0.39%,🏦 banks💳 financial services🇫🇷 cac 40,$64.16
truist financial,$80.08 b,usa,24.52%,#205,0.62%,🏦 banks💳 financial services,$59.99
atlas copco,$79.45 b,sweden,23.79%,#206,-2.12%,🏭 manufacturing,$65.20
ford,$79.24 b,usa,107.09%,#207,1.33%,🚗 automakers 🏭 manufacturing,$19.83
pinduoduo,$78.91 b,china,-57.86%,#208,1.27%,🛒 e-commerce🖥️ internet👩‍💻 tech,$62.97
midea,$78.86 b,china,-13.57%,#209,-0.44%,🏠 home & kitchen appliances 🏭 manufacturing,$11.29
hikvision,$78.44 b,china,24.16%,#210,-1.42%,🔌 electronics,$8.40
duke energy,$77.29 b,usa,9.73%,#211,0.18%,⚡ energy🔋 electricity🛢 oil&gas🚰 utility companies,$100.47
enel,$77.25 b,italy,-22.90%,#212,-0.66%,🔋 electricity🚰 utility companies ⚡ energy,$7.51
marvell technology group,$77.19 b,usa,111.54%,#213,1.61%,👩‍💻 tech📟 semiconductors💻 tech hardware 🏭 manufacturing,$91.48
enbridge,$76.85 b,canada,12.61%,#214,0.40%,🛢 oil&gas ⚡ energy,$37.93
hong kong exchanges & clearing,$76.60 b,hong kong,19.12%,#215,-4.66%,🏛 stock exchanges💳 financial services🏛 stock/crypto exchanges,$58.32
sinopec,$76.50 b,china,9.83%,#216,0.00%,🛢 oil&gas ⚡ energy,$47.37
intercontinental exchange,$76.17 b,usa,22.17%,#217,0.45%,🏛 stock exchanges💳 financial services🏛 stock/crypto exchanges,$135.20
foshan haitian flavouring and food,$76.08 b,china,-36.50%,#218,-1.63%,🍴 food,$18.06
illinois tool works,$75.96 b,usa,16.96%,#219,0.16%,🛠️ tool manufacturers 🏭 manufacturing,$242.00
edwards lifesciences,$75.75 b,usa,41.53%,#220,0.82%,medical devices,$121.33
hca healthcare,$75.07 b,usa,50.97%,#221,-0.03%,⚕️ healthcare,$241.37
deutsche post,$75.03 b,germany,36.09%,#222,0.21%,📦 courier🇩🇪 dax,$60.56
investor ab,$74.76 b,sweden,n/a,#223,-0.09%,💰 investment🏙 conglomerate,$24.88
postal savings bank of china,$74.63 b,china,n/a,#224,-1.12%,🏦 banks💳 financial services,$0.83
rosneft,$74.03 b,russia,41.03%,#225,-0.58%,🛢 oil&gas ⚡ energy,$7.79
mitsubishi ufj financial,$73.84 b,japan,30.21%,#226,-1.59%,🏦 banks💳 financial services,$5.56
longi green energy technology,$73.80 b,china,23.73%,#227,2.13%,🔋 electricity ⚡ energy🌞 renewable energy,$13.63
moody's,$73.64 b,usa,42.89%,#228,0.70%,💳 financial services,$396.14
national commercial bank,$73.54 b,saudi arabia,45.84%,#229,0.00%,🏦 banks💳 financial services,$16.58
abb,$73.43 b,switzerland,36.35%,#230,-0.05%,👷 engineering,$36.70
uber,$73.06 b,usa,-30.21%,#231,0.32%,🚘 ridesharing🖥️ internet👩‍💻 tech transportation,$37.66
petrobras,$72.78 b,brazil,6.06%,#232,-0.36%,🛢 oil&gas ⚡ energy,$11.16
hindustan unilever,$72.29 b,india,2.07%,#233,-0.30%,🛍 consumer goods🍴 food,$30.76
equinix,$72.19 b,usa,17.75%,#234,0.37%,🖥️ internet👩‍💻 tech,$801.77
shin-etsu chemical,$71.93 b,japan,4.46%,#235,-0.90%,🧪 chemicals,$172.92
regeneron pharmaceuticals,$71.22 b,usa,36.24%,#236,-0.52%,🧬 biotech💊 pharmaceuticals,$662.26
netease,$71.08 b,china,16.05%,#237,1.07%,🎮 video games entertainment👩‍💻 tech,$104.41
workday,$70.96 b,usa,27.28%,#238,1.62%,👩‍💻 software👩‍💻 tech,$283.87
mindray,$70.75 b,china,8.12%,#239,-0.11%,medical devices 🏭 manufacturing,$58.20
cigna,$70.70 b,usa,-2.63%,#240,0.96%,🏦 insurance,$213.33
bank of montreal,$70.52 b,canada,41.27%,#241,0.32%,🏦 banks💳 financial services,$108.75
china tourism group duty free,$70.43 b,china,12.88%,#242,0.57%,🛍️ retail,$36.07
iberdrola,$70.18 b,spain,-18.83%,#243,-2.73%,🔋 electricity ⚡ energy,$11.06
sk hynix,$70.17 b,south korea,n/a,#244,-2.43%,📟 semiconductors👩‍💻 tech💻 tech hardware,$102.06
norfolk southern,$69.99 b,usa,19.14%,#245,0.24%,🚂 railways🛣️ infrastructure,$287.63
coinbase,$69.89 b,usa,n/a,#246,1.12%,🏛 stock/crypto exchanges👩‍💻 tech🖥️ internet💳 financial services,$266.86
china yangtze power,$69.75 b,china,-2.79%,#247,0.00%,🔋 electricity🚰 utility companies,$3.07
axa,$69.59 b,france,19.61%,#248,-0.59%,🏦 insurance🇫🇷 cac 40,$28.79
becton dickinson,$69.55 b,usa,2.15%,#249,-0.09%,medical devices,$244.88
icici bank,$69.19 b,india,43.16%,#250,-0.47%,🏦 banks💳 financial services,$19.91
waste management,$68.73 b,usa,39.64%,#251,0.94%,♻️ waste & recycling,$164.32
nidec,$68.71 b,japan,-1.73%,#252,-0.04%,,$117.03
southern company,$68.57 b,usa,6.25%,#253,0.22%,⚡ energy🛢 oil&gas🔋 electricity🚰 utility companies,$64.71
novatek,$68.49 b,russia,53.73%,#254,-0.98%,🛢 oil&gas ⚡ energy,$228.14
roblox,$68.37 b,usa,n/a,#255,1.56%,🎮 video games entertainment,$118.12
fiserv,$68.21 b,usa,-9.64%,#256,-0.20%,💳 financial services👩‍💻 tech,$103.32
nongfu spring,$68.12 b,china,n/a,#257,-0.21%,🥤 beverages,$6.06
eaton,$67.60 b,ireland,43.01%,#258,0.60%,🏙 conglomerate,$169.60
daikin,$67.58 b,japan,1.37%,#259,-0.56%,,$22.99
vale,$67.42 b,brazil,-16.10%,#260,-0.59%,⛏️ mining,$13.42
national australia bank,$67.04 b,australia,22.40%,#261,-0.21%,🏦 banks💳 financial services,$20.49
housing development finance corporation,$67.03 b,india,23.21%,#262,-1.17%,💳 financial services🏦 banks,$37.03
great wall motors,$67.00 b,china,125.09%,#263,0.25%,🚗 automakers 🏭 manufacturing,$8.91
ecolab,$66.37 b,usa,1.97%,#264,0.55%,,$231.62
kddi,$66.33 b,japan,3.69%,#265,0.00%,📡 telecommunication,$29.40
