"Name","World Rank (Sep-01-2021)","Annual Revenue in USD","Annual Net Income in USD","Market Value (Jan-01-2021)","Headquarters Country","Company Business","Number of Employees","Stock Category","CEO","Stock Exchange","Company Website"
"NESTLE AG","22","92,301 Million USD","13,242 Million USD","336.110 Billion USD","Switzerland","FMCG, Food Products, Consumer Defensive","291,000","S&P EUROPE 350","Ulf Mark Schneider","Switzerland","https://www.roche.com/"
"PROCTER & GAMBLE COMPANY","23","70,950 Million USD","13,030 Million USD","345.010 Billion USD","USA","FMCG, Consumer Non Durables, Consumer Defensive","99,000","S&P 500, Dow Jones Index (DJIA)","David S. Taylor","EURONEXT, NYSE","https://www.roche.com/"
"HOME DEPOT","24","110,220 Million USD","11,240 Million USD","285.970 Billion USD","USA","eCommerce, Construction Materials, Retail","415,000","S&P 500, Dow Jones Index (DJIA)","Craig Menear","NYSE","https://www.roche.com/"
"MASTERCARD","25","15,300 Million USD","6,410 Million USD","355.840 Billion USD","USA","Financial Services, Credit Cards, Digital Payment Solution Services","11,400","S&P 500","Ajaypal Singh Banga","NYSE","https://www.roche.com/"
"ASML HOLDING","26","16,485 Million USD","4,160 Million USD","205.120 Billion USD","Netherlands","Semiconductors, Electronics, Technology","28,000","EURONEXT 100, S&P EUROPE 350, Nasdaq 100","Peter Wennink","EURONEXT, Nasdaq","https://www.roche.com/"
"PAYPAL HOLDINGS","27","21,450 Million USD","4,200 Million USD","274.410 Billion USD","USA","Digital Payment Solution Services, Internet or Mobile App Based Business, Financial Services","26,500","Nasdaq 100, S&P 500","Daniel Schulman","Nasdaq","https://www.roche.com/"
"THE WALT DISNEY COMPANY","28","65,380 Million USD","-2,474 Million USD","328.020 Billion USD","USA","Broadcasting, Television Services, Communication Services","203,000","S&P 500, Dow Jones Index (DJIA)","Bob Chapek","NYSE","https://www.roche.com/"
"ADOBE","29","12,860 Million USD","5,260 Million USD","239.920 Billion USD","USA","Software and IT, Software Products, Technology","22,516","Nasdaq 100, S&P 500","Shantanu Narayen","Nasdaq","https://www.roche.com/"
"KWEICHOW MOUTAI","30","12,814 Million USD","6,372 Million USD","387.400 Billion USD","China","Beverages, Alcoholic Beverages, Consumer Defensive","27,000","","Li Bao Fang","Shanghai","https://www.roche.com/"
"PROSUS","31","3,330 Million USD","3,715 Million USD","176.280 Billion USD","Netherlands","Internet or Mobile App Based Business, eCommerce, Communication Services","23,874","S&P EUROPE 350","Bob van Dijk","Frankfurt","https://www.prosus.com/"
"COMCAST CORPORATION","32","103,560 Million USD","10,530 Million USD","239.750 Billion USD","USA","Television Services, Broadcasting, Communication Services","168,000","Nasdaq 100, S&P 500","Brian L. Roberts","Nasdaq","https://www.prosus.com/"
"L'OREAL","33","33,028 Million USD","4,172 Million USD","211.890 Billion USD","France","Cosmetics, Beauty and Personal Care, Consumer Defensive","88,000","EURONEXT 100, S&P EUROPE 350, CAC 40","Jean Paul Agon","Frankfurt, EURONEXT","https://www.prosus.com/"
"NIKE","34","37,420 Million USD","2,530 Million USD","222.080 Billion USD","USA","Shoes, Footwear, Consumer Cyclical","75,400","S&P 500, Dow Jones Index (DJIA)","John Donahoe","Bovespa Brazil, NYSE","https://www.prosus.com/"
"SALESFORCE.COM","35","21,252 Million USD","4,072 Million USD","204.220 Billion USD","USA","Cloud Services, Artificial Intelligence, Technology","49,000","Dow Jones Index (DJIA), S&P 500","Marc Benioff","Bovespa Brazil, NYSE","https://www.prosus.com/"
"PFIZER","36","41,910 Million USD","9,620 Million USD","204.600 Billion USD","USA","Pharmaceutical, HealthCare Products, Healthcare","88,300","S&P 500","Albert Bourla","NYSE","https://www.prosus.com/"
"NETFLIX","37","24,990 Million USD","2,760 Million USD","238.890 Billion USD","USA","Electronics, Internet or Mobile App Based Business, Communication Services","9,400","Nasdaq 100, S&P 500","Reed Hastings, Ted Sarandos","Nasdaq","https://www.prosus.com/"
"ORACLE CORPORATION","38","39,070 Million USD","10,135 Million USD","190.450 Billion USD","USA","Software and IT, Software Products, Technology","135,000","S&P 500","Safra A. Catz","NYSE","https://www.prosus.com/"
"CISCO SYSTEMS","39","49,300 Million USD","11,210 Million USD","189.090 Billion USD","USA","Network Hardware and Software, Telecom Equipment, Technology","77,500","S&P 500, Nasdaq 100, Dow Jones Index (DJIA)","Chuck Robbins","Nasdaq","https://www.prosus.com/"
"ELI LILLY AND COMPANY","40","24,530 Million USD","6,190 Million USD","161.510 Billion USD","USA","Pharmaceutical, Biotechnology, Healthcare","33,815","S&P 500","David A. Ricks","Bovespa Brazil, Switzerland, EURONEXT, NYSE","https://www.prosus.com/"
"TOYOTA MOTOR CORPORATION","41","272,360 Million USD","18,760 Million USD","215.720 Billion USD","Japan","Cars, Capital Goods, Automobile","370,870","Japan ADRs, NIKKEI 225","Akio Toyoda","Tokyo, LSE, NYSE","https://www.toyota-global.com/"
"ICBC","42","136,290 Million USD","48,851 Million USD","277.360 Billion USD","China","Banking Services, Investment Banking, Financial Services","445,106","","Nicolas Jimenez","HKeX, Shanghai","https://www.toyota-global.com/"
"COCA-COLA COMPANY","43","33,010 Million USD","7,750 Million USD","235.670 Billion USD","USA","Beverages, Non-Alcoholic Beverages, Consumer Defensive","86,200","S&P 500, Dow Jones Index (DJIA)","James Quincey","NYSE","https://www.toyota-global.com/"
"DANAHER CORPORATION","44","22,280 Million USD","3,510 Million USD","157.800 Billion USD","USA","Medical Equipment, HealthCare Products, Healthcare","60,000","S&P 500","Rainer M. Blair","NYSE","https://www.toyota-global.com/"
"TATA GROUP","44","103,000 Million USD","","","India","","750,000","","","","https://www.toyota-global.com/"
"EXXON MOBIL CORPORATION","45","181,500 Million USD","-22,440 Million USD","174.290 Billion USD","USA","Oil and Gas, Petrochemicals, Energy","74,900","S&P 500","Darren Woods","NYSE","https://www.toyota-global.com/"
"NOVO NORDISK A/S","46","20,310 Million USD","","163.070 Billion USD","Denmark","Pharmaceutical, Biotechnology, Healthcare","45,971","S&P EUROPE 350","Lars Fruergaard Jorgensen","NYSE","https://www.toyota-global.com/"
"VERIZON COMMUNICATIONS","47","128,290 Million USD","17,800 Million USD","243.110 Billion USD","USA","Telecom, Fixed Line Service, Communication Services","135,400","S&P 500, Dow Jones Index (DJIA)","Hans Vestberg","NYSE","https://www.toyota-global.com/"
"ABBOTT LABORATORIES","48","34,600 Million USD","4,490 Million USD","194.060 Billion USD","USA","Pharmaceutical, Biotechnology, Healthcare","107,000","S&P 500","Robert Ford","Switzerland, NYSE","https://www.toyota-global.com/"
"INTEL CORPORATION","49","77,860 Million USD","20,890 Million USD","204.160 Billion USD","USA","Software and IT, Technology Hardware and Instruments, Technology","110,600","S&P 500, Nasdaq 100, Dow Jones Index (DJIA)","Bob Swan","Nasdaq","https://www.toyota-global.com/"
"THERMO FISHER SCIENTIFIC","50","32,210 Million USD","6,370 Million USD","184.600 Billion USD","USA","Medical Equipment, Pharmaceutical, Healthcare","80,000","S&P 500","Marc N. Casper","Bovespa Brazil, NYSE","https://www.thermofisher.com/in/en/home.html"
"PEPSICO","51","70,370 Million USD","7,120 Million USD","204.940 Billion USD","USA","Beverages, Food Products, Consumer Defensive","263,000","Nasdaq 100, S&P 500","Ramon Laguarta","Nasdaq","https://www.thermofisher.com/in/en/home.html"
"RELIANCE INDUSTRIES","52","85,696 Million USD","6,205 Million USD","178.950 Billion USD","India","Conglomerate, Oil and Gas, Energy","195,618","S&P BSE ENERGY, BSE-100 Index, Nifty 50 Index, S&P BSE OIL and GAS","Mukesh Ambani","Frankfurt, NSE, BSE","https://www.thermofisher.com/in/en/home.html"
"ABBVIE","53","45,800 Million USD","4,610 Million USD","189.100 Billion USD","USA","Pharmaceutical, Biotechnology, Healthcare","47,000","S&P 500","Richard A. Gonzalez","NYSE","https://www.thermofisher.com/in/en/home.html"
"ACCENTURE","54","44,320 Million USD","5,100 Million USD","173.070 Billion USD","Ireland","Software and IT, Software Products, Technology","513,000","S&P 500","Julie Sweet","NYSE","https://www.thermofisher.com/in/en/home.html"
"NOVARTIS AG","55","49,890 Million USD","8,070 Million USD","217.770 Billion USD","Switzerland","Pharmaceutical, Biotechnology, Healthcare","110,000","S&P EUROPE 350","Vasant Narasimhan","Switzerland, NYSE","https://www.thermofisher.com/in/en/home.html"
"BROADCOM","56","23,880 Million USD","2,660 Million USD","178.080 Billion USD","USA","Electronics, Semiconductors, Technology","19,000","Nasdaq 100, S&P 500","Hock E. Tan","Nasdaq","https://www.thermofisher.com/in/en/home.html"
"MEITUAN DIANPING","57","115,070 Million USD","2,240 Million USD","222.110 Billion USD","China","Internet or Mobile App Based Business, Software and IT, Consumer Cyclical","54,580","","Wang Xing","HKeX","https://www.thermofisher.com/in/en/home.html"
"COSTCO WHOLESALE CORPORATION","58","166,760 Million USD","4,000 Million USD","166.900 Billion USD","USA","Retail, eCommerce, Consumer Defensive","273,000","Nasdaq 100, S&P 500","W. Craig Jelinek","Bovespa Brazil, Nasdaq","https://www.thermofisher.com/in/en/home.html"
"CHINA MERCHANTS BANK","59","40,185 Million USD","13,929 Million USD","162.140 Billion USD","China","Banking Services, Asset Management, Financial Services","90,867","","Huiyu Tian","HKeX, Shanghai","https://www.thermofisher.com/in/en/home.html"
"AT&T","60","171,760 Million USD","-5,370 Million USD","204.940 Billion USD","USA","Communication Services, Internet Providers, Telecom","243,350","S&P 500","John T. Stankey","NYSE","https://www.att.com/"
"TATA CONSULTANCY SERVICES (TCS)","61","20,404 Million USD","4,543 Million USD","150.000 Billion USD","India","Software and IT, Software Consulting Services, Technology","528,748","S&P BSE TECHNOLOGY, BSE-100 Index, Nifty 50 Index, NIFTY - IT Index, S&P BSE SOFTWARE and IT, S&P BSE SOFTWARE and IT","Rajesh Gopinathan","NSE, BSE","https://www.att.com/"
"MERCK & CO","62","47,990 Million USD","7,070 Million USD","206.960 Billion USD","USA","Pharmaceutical, Animal Healthcare Companies, Healthcare","74,000","S&P 500, S&P EUROPE 350, Dow Jones Index (DJIA)","Kenneth C. Frazier","EURONEXT, NYSE","https://www.att.com/"
"MORGAN STANLEY","63","45,260 Million USD","10,500 Million USD","123.970 Billion USD","USA","Banking Services, Trading, Financial Services","60,431","S&P 500","James P. Gorman","Bovespa Brazil, NYSE","https://www.att.com/"
"SHOPIFY","64","2,930 Million USD","319 Million USD","137.410 Billion USD","Canada","Software and IT, Software Products, Technology","5,000","TSX 60","Tobias Lutke","TSX, NYSE","https://www.att.com/"
"WELLS FARGO & COMPANY","65","72,340 Million USD","17,100 Million USD","124.780 Billion USD","USA","Banking Services, Insurance, Financial Services","258,700","S&P 500","Charles W. Scharf","NYSE","https://www.att.com/"
"CHEVRON CORPORATION","66","94,470 Million USD","-5,540 Million USD","162.570 Billion USD","USA","Oil and Gas, Chemicals, Energy","44,679","S&P 500, Dow Jones Index (DJIA)","Michael Wirth","NYSE","https://www.att.com/"
"CHINA CONSTRUCTION BANK CORPORATION","67","105,750 Million USD","40,005 Million USD","187.290 Billion USD","China","Banking Services, Financial Services","347,156","","","HKeX","https://www.att.com/"
"SEA LIMITED","68","2,170 Million USD","1,462 Million USD","101.750 Billion USD","Singapore","Gaming, Software Products, Communication Services","29,800","Singapore ADRs","","NYSE","https://www.att.com/"
"ASTRAZENECA","69","26,617 Million USD","3,144 Million USD","130.990 Billion USD","UK","Pharmaceutical, Biopharmaceutical, Healthcare","70,600","S&P EUROPE 350, FTSE 100","Pascal Soriot","Stockholm, LSE, NYSE","https://www.att.com/"
"HUAWEI","69","128,820 Million USD","","","China","Telecom Equipment, Technology, Telecom","194,000","","","","https://www.huawei.com/en/"
"MEDTRONIC","70","28,910 Million USD","4,780 Million USD","157.670 Billion USD","Ireland","Medical Equipment, Biotechnology, Healthcare","104,950","S&P 500","Geoffrey S. Martha","Bovespa Brazil, NYSE","https://www.huawei.com/en/"
"SAP SE","71","32,249 Million USD","6,178 Million USD","155.850 Billion USD","Germany","Software and IT, Software Products, Technology","102,430","S&P EUROPE 350","Christian Klein","Deutsche Borse, NYSE","https://www.huawei.com/en/"
"MCDONALD'S CORPORATION","72","19,200 Million USD","4,730 Million USD","159.890 Billion USD","USA","Restaurants, Food Products, Consumer Cyclical","205,000","S&P 500, Dow Jones Index (DJIA)","Chris Kempczinski","NYSE","https://www.huawei.com/en/"
"TEXAS INSTRUMENTS","73","14,460 Million USD","5,590 Million USD","150.660 Billion USD","USA","Semiconductors, Electronics, Technology","30,000","Nasdaq 100, S&P 500","Richard K. Templeton","Nasdaq","https://www.huawei.com/en/"
"T-MOBILE US","74","68,390 Million USD","3,060 Million USD","167.370 Billion USD","USA","Telecom, Mobile Services, Communication Services","53,000","Nasdaq 100, S&P 500","Mike Sievert","Mexico, Nasdaq","https://www.huawei.com/en/"
"CONTEMPORARY AMPEREX TECHNOLOGY","75","6,868 Million USD","684 Million USD","125.190 Billion USD","China","Batteries, Automobile Parts, Industries","24,875","","Zeng Yuqun","Shenzhen","https://www.huawei.com/en/"
"UNITED PARCEL SERVICE (UPS)","76","84,630 Million USD","1,427 Million USD","145.560 Billion USD","USA","Courier, Logistics, Industries","495,000","S&P 500","Carol B. Tome","Bovespa Brazil, NYSE","https://www.huawei.com/en/"
"BHP GROUP","77","42,930 Million USD","7,950 Million USD","165.000 Billion USD","Australia","Metals, Mining, Basic Materials","80,000","FTSE 100, Australia ADRs, S&P EUROPE 350, ASX 100","Mike Henry","ASX, Frankfurt, LSE, NYSE","https://www.huawei.com/en/"
"QUALCOMM","78","23,530 Million USD","5,190 Million USD","172.300 Billion USD","USA","Semiconductors, Electronics, Technology","41,000","Nasdaq 100, S&P 500","Cristiano R. Aman","Nasdaq","https://www.huawei.com/en/"
"NEXTERA ENERGY","79","17,990 Million USD","2,920 Million USD","151.140 Billion USD","USA","Electricity Generation, Electric Utilities, Utilities","14,800","S&P 500","James L Robo","Frankfurt, NYSE","http://www.nexteraenergy.com/"
"LINDE AG","80","27,240 Million USD","2,500 Million USD","136.550 Billion USD","UK","Chemicals, Industrial Gases, Basic Materials","74,207","S&P 500","Steve Angel","NYSE, Deutsche Borse","http://www.nexteraenergy.com/"
"AGRICULTURAL BANK OF CHINA","81","94,080 Million USD","31,815 Million USD","164.070 Billion USD","China","Banking Services, Financial Services","467,631","","Zhou Mubing","HKeX, Shanghai","http://www.nexteraenergy.com/"
"PHILIP MORRIS INTERNATIONAL","82","28,690 Million USD","8,030 Million USD","128.930 Billion USD","USA","Tobacco Products, Cigarettes, Consumer Defensive","71,000","S&P 500","Jacek Olczak","Switzerland, NYSE","http://www.nexteraenergy.com/"
"HONEYWELL INTERNATIONAL","83","32,630 Million USD","4,770 Million USD","149.250 Billion USD","USA","Software Products, Technology Hardware and Instruments, Industries","113,000","Dow Jones Index (DJIA), S&P 500","Darius Adamczyk","LSE, NYSE","http://www.nexteraenergy.com/"
"HERMES INTERNATIONAL","84","8,122 Million USD","1,788 Million USD","112.040 Billion USD","France","Luxury Goods, Retail, Consumer Cyclical","14,284","EURONEXT 100, S&P EUROPE 350, CAC 40","Axel Dumas","Frankfurt, EURONEXT","http://www.nexteraenergy.com/"
"ROYAL DUTCH SHELL","85","180,640 Million USD","-21,680 Million USD","136.150 Billion USD","Netherlands","Oil and Gas, Chemicals, Energy","86,000","EURONEXT 100, S&P EUROPE 350, FTSE 100","Ben van Beurden","NYSE, LSE, EURONEXT","http://www.nexteraenergy.com/"
"INTUIT","86","7,670 Million USD","1,826 Million USD","104.100 Billion USD","USA","Software and IT, Software Products, Technology","10,600","Nasdaq 100, S&P 500","Sasan K. Goodarzi","Nasdaq","http://www.nexteraenergy.com/"
"MODERNA","87","803 Million USD","-747 Million USD","41.340 Billion USD","USA","Biotechnology, Biopharmaceutical, Healthcare","830","S&P 500","","Nasdaq, Frankfurt","http://www.nexteraenergy.com/"
"CHARTER COMMUNICATIONS","88","48,090 Million USD","3,220 Million USD","132.230 Billion USD","USA","Telecom, Internet Providers, Communication Services","95,100","Nasdaq 100, S&P 500","Thomas M. Rutledge","Nasdaq","http://www.nexteraenergy.com/"
"BRISTOL-MYERS SQUIBB COMPANY","89","42,510 Million USD","-9,010 Million USD","140.170 Billion USD","USA","Pharmaceutical, Biopharmaceutical, Healthcare","30,250","S&P 500","Giovanni Caforio","Bovespa Brazil, NYSE","https://www.bms.com/"
"KEYENCE CORPORATION","90","5,021 Million USD","17,829 Million USD","136.020 Billion USD","Japan","Sensors, Machinery Manufacturing, Technology","7,941","","Yu Nakata","Tokyo","https://www.bms.com/"
"ANT GROUP","90","17,820 Million USD","","","China","Technology, Software and IT, Digital Payment Solution Services","16,800","","Xiaoming Hu","","https://www.bms.com/"
"AIA GROUP","91","50,360 Million USD","5,780 Million USD","152.330 Billion USD","Hong Kong","Insurance, Financial Services","23,000","","Lee Yuan Siong","HKeX","https://www.bms.com/"
"VOLKSWAGEN","92","298,100 Million USD","16,251 Million USD","99.864 Billion USD","Germany","Automobile, Cars, Consumer Cyclical","662,600","S&P EUROPE 350","Herbert Diess","Switzerland, Deutsche Borse","https://www.bms.com/"
"ROYAL BANK OF CANADA","93","37,367 Million USD","9,035 Million USD","116.720 Billion USD","Canada","Banking Services, Wealth Management, Financial Services","83,842","TSX 60","David I. McKay","TSX, NYSE","https://www.bms.com/"
"PING AN INSURANCE (GROUP) COMPANY OF CHINA","94","166,950 Million USD","21,465 Million USD","233.340 Billion USD","China","Banking Services, Insurance, Financial Services","376,900","","Ma Mingzhe","HKeX, Shanghai","https://www.bms.com/"
"CITI GROUP","95","74,290 Million USD","11,370 Million USD","128.380 Billion USD","USA","Banking Services, Asset Management, Financial Services","210,000","S&P 500","Michael Corbat","NYSE","https://www.bms.com/"
"UNILEVER GROUP","96","59,850 Million USD","6,529 Million USD","157.180 Billion USD","Netherlands","FMCG, Beauty and Personal Care, Consumer Defensive","149,000","EURONEXT 100, S&P EUROPE 350, FTSE 100","Alan Jope","EURONEXT, LSE, NYSE","https://www.bms.com/"
"BLACKROCK","97","14,540 Million USD","4,476 Million USD","110.040 Billion USD","USA","Asset Management, Investments, Financial Services","16,500","S&P 500","Laurence D. Fink","NYSE","https://www.bms.com/"
"LOWE'S COMPANIES","98","89,590 Million USD","5,830 Million USD","117.610 Billion USD","USA","Retail, Home Furnishing, Consumer Cyclical","300,000","S&P 500","Marvin Ellison","Bovespa Brazil, NYSE","https://www.lowes.com/"
"UNION PACIFIC CORPORATION","99","19,530 Million USD","5,350 Million USD","140.310 Billion USD","USA","Freight Transport, Transportation, Industries","30,960","S&P 500","Lance M. Fritz","Bovespa Brazil, NYSE","https://www.lowes.com/"
"THE GOLDMAN SACHS GROUP","100","33,290 Million USD","8,466 Million USD","90.734 Billion USD","USA","Banking Services, Asset Management, Financial Services","40,900","S&P 500, Dow Jones Index (DJIA)","David M. Solomon","NYSE","https://www.lowes.com/"
"CHRISTIAN DIOR","101","63,331 Million USD","3,437 Million USD","99.873 Billion USD","France","Retail, Luxury Goods, Consumer Cyclical","163,309","EURONEXT 100","Pietro Beccari","Frankfurt, EURONEXT","https://www.lowes.com/"
"STARBUCKS CORPORATION","102","23,510 Million USD","928 Million USD","125.560 Billion USD","USA","Restaurants, Retail, Consumer Cyclical","349,000","Nasdaq 100, S&P 500","Kevin Johnson","Bovespa Brazil, Nasdaq","https://www.lowes.com/"
"THE CHARLES SCHWAB CORPORATION","103","10,720 Million USD","3,704 Million USD","99.666 Billion USD","USA","Banking Services, Brokerage Services, Financial Services","32,000","S&P 500","Paul V. Woolway","Bovespa Brazil, NYSE","https://www.lowes.com/"
"SCHWARZ GROUP","103","123,070 Million USD","","","Germany","Super Markets, Hypermarkets, Retail","458,000","","","","https://www.lowes.com/"
"ADVANCED MICRO DEVICES (AMD)","104","6,730 Million USD","341 Million USD","110.420 Billion USD","USA","Technology Hardware and Instruments, Processors / Chips, Technology","12,600","Nasdaq 100, S&P 500","Lisa Su","Nasdaq","https://www.lowes.com/"
"AMERICAN TOWER CORPORATION (REIT)","105","7,580 Million USD","1,880 Million USD","99.708 Billion USD","USA","Cell Towers Infrastructure, Infrastructure, Real Estate","5,454","S&P 500","Tom Bartlett","Mexico, NYSE","https://www.lowes.com/"
"COMMONWEALTH BANK OF AUSTRALIA","106","16,923 Million USD","7,033 Million USD","112.000 Billion USD","Australia","Banking Services, Financial Services","43,585","ASX 100","Matt Comyn","ASX","https://www.lowes.com/"
"AMERICAN EXPRESS COMPANY","108","30,890 Million USD","6,750 Million USD","97.357 Billion USD","USA","Banking Services, Credit Cards, Financial Services","64,500","S&P 500, Dow Jones Index (DJIA)","Stephen Squeri","Bovespa Brazil, NYSE","https://www.americanexpress.com/"
"SIEMENS","109","102,480 Million USD","6,049 Million USD","114.390 Billion USD","Germany","Infrastructure, Technology Hardware and Instruments, Industries","385,000","S&P EUROPE 350","Joe Kaeser","Mexico, Deutsche Borse","https://www.americanexpress.com/"
"SANOFI","110","44,097 Million USD","14,403 Million USD","120.410 Billion USD","France","Pharmaceutical, HealthCare Products, Healthcare","100,409","EURONEXT 100, S&P EUROPE 350, CAC 40","Paul Hudson","Frankfurt, Nasdaq, Frankfurt, EURONEXT","https://www.americanexpress.com/"
"BANK OF CHINA","111","82,215 Million USD","28,110 Million USD","129.250 Billion USD","China","Banking Services, Insurance, Financial Services","309,384","","Gao Yingxin","HKeX, Shanghai","https://www.americanexpress.com/"
"SONY CORPORATION","112","75,164 Million USD","5,240 Million USD","123.210 Billion USD","Japan","Electronics, Mobiles, Technology","114,400","Japan ADRs, NIKKEI 225","Kenichiro Yoshida","NYSE, Tokyo","https://www.americanexpress.com/"
"PETROCHINA COMPANY","113","298,550 Million USD","2,934 Million USD","109.360 Billion USD","China","Oil and Gas, Petrochemicals, Energy","506,000","","Wang Dongjin","HKeX, Shanghai, NYSE","https://www.americanexpress.com/"
"YOUTUBE","113","","","","USA","Internet or Mobile App Based Business, Technology, Social Media","","","Susan Wojcicki","","https://www.americanexpress.com/"
"BOEING COMPANY","114","58,160 Million USD","11,870 Million USD","120.840 Billion USD","USA","Aeroplane, Defense Products, Industries","141,014","S&P 500, Dow Jones Index (DJIA)","Dave Calhoun","LSE, NYSE","https://www.americanexpress.com/"
"AMGEN","115","25,420 Million USD","7,260 Million USD","133.850 Billion USD","USA","Pharmaceutical, Biopharmaceutical, Healthcare","22,000","Nasdaq 100, Dow Jones Index (DJIA), S&P 500","Robert A. Bradway","Mexico, Nasdaq","https://www.americanexpress.com/"
"RAYTHEON TECHNOLOGIES CORPORATION","116","77,040 Million USD","5,540 Million USD","108.600 Billion USD","USA","Aerospace and Defense, Aerospace Products, Industries","181,000","S&P 500","Gregory Hayes","Frankfurt, NYSE","https://www.americanexpress.com/"
