active_group_links,active_group_names,active_group_periods,active_years,age,albums,awards,birthday,bloodtype,company_links,company_names,company_periods,country,debut,debut_to_1st_win,education,fandom,former_group_links,former_group_names,former_group_periods,full_name,fun_facts,gender,height,hometown,introduction,korean_stage_name,kpopping_rank,languages,native_name,personality_type,profile_link,socials,stage_name,training_period,weight,zodiac_sign
https://kpopping.com/profiles/group/CRAVITY,CRAVITY,(2020-2021),2020-2021,22 years old,0,0,"April 26, 1999",A,,,"April 14, 2020,140 days,2020-2021,English, Korean and Mandarin,2 years,Glen.A Wilson High School,ISFJ,523rd,LUVITY",Taiwan,"April 14, 2020",140 days,Glen.A Wilson High School,LUVITY,,,,Allen Ma,"He is good friends with all the Stray Kids members.,He is Chinese, but he was raised in Los Angeles, California, USA.,He was in Stray Kids Survival Show. He was replaced for Minho in Stray Kids Survival Show.,He is very close to Bang Chan of Stray Kids as they trained together.,He and IZ*ONE‘s Chaeyeon are friends.,He can speak fluent English and Korean and Mandarin.,He joined JYP in 2016 but left in 2018.,He was supposed to debut in Stray Kids, but in the end, he did not make it to the lineup. Lee Know replaced him.,One of his strengths is that he can speak in different languages to communicate with friends from different countries.,When he was in his first year of middle school, he did a dance cover of SHINee's ""Lucifer"" which inspired him to become a Kpop idol.",M,"5'7"" (170 cm)",Taipei,,앨런,523rd,"English,Korean,Mandarin",马莳权,ISFJ,https://kpopping.com/profiles/idol/Allen,,Allen,2 years,,Taurus
,,,2001-2012,42 years old,0,0,"September 2, 1979",,,,"May 14, 2004,2001-2012,4716th",Canada,"May 14, 2004",,,,https://kpopping.com/profiles/group/Clazziquai-Project,Clazziquai Project,(? - ?),Chu Hun-gon,,M,,"Vancouver, British Columbia","Alex Chu (알렉스 추), known simply as Alex (알렉스), is a Korean-Canadian singer and actor. He is the male vocalist of the South Korean electropop band Clazziquai Project.",알렉스 추,4716th,,추훈곤,,https://kpopping.com/profiles/idol/Alex-Chu,,Alex Chu,,,Virgo
,,,2014-2021,31 years old,0,0,"September 7, 1990",A,,,"2014-2021,English, Korean, Japanese,2576th",South Korea,,,,,https://kpopping.com/profiles/group/High4,High4,(2014-2021),Alexander Kim,,M,"5'9"" (176 cm)",,"Alex is a Korean pop singer. He is the rapper, visual and main dancer for HIGH4.",,2576th,"English,Korean,Japanese",알렉스 김,,https://kpopping.com/profiles/idol/Alex2,"https://twitter.com/_imlxx?lang=en,https://www.instagram.com/_imlxx/,https://soundcloud.com/imlxx",Alex,,123.5 lbs (56 kg),Virgo
https://kpopping.com/profiles/group/DIP-MX,DIP.MX,(2016-2021),2018-2021,28 years old,0,0,"July 17, 1993",,https://kpopping.com/company/INTER-BD-Entertainment,INTER BD Entertainment,"November 1, 2018 - present,2018-2021,5437th",South Korea,,,,,,,,Choi Euncheol,,M,,"Jeju City, Jeju","Allan (앨런), formelly known as Euncheol (은철) is a South Korean singer, member of the co-ed group DIP.MX. He joined the group in November 2018. He was a dancer in the dance crew Maxxam.",앨런,5437th,,최은철,,https://kpopping.com/profiles/idol/Allan,https://www.instagram.com/eunchul_choi,Allan,,,Cancer
https://kpopping.com/profiles/group/DRIPPIN,DRIPPIN,(2020-2021),2020-2021,17 years old,0,0,"October 6, 2004",,,,"October 28, 2020,2020-2021,English, Korean, German, French,Deutsche Schule Seoul International,ENTP,318th,DREAMIN",Germany,"October 28, 2020",,Deutsche Schule Seoul International,DREAMIN,,,,Alexander Vincent Schmidt,,M,"5'9"" (176 cm)","Mainz, Rhineland-Palatinate",,알렉스,318th,"English,Korean,German,French",,ENTP,https://kpopping.com/profiles/idol/Alex3,,Alex,,,Libra
https://kpopping.com/profiles/group/TST,TST,(2017-2021),2013-2021,27 years old,0,0,"February 15, 1994",0,,,"September 4, 2013,2013-2021,Korean,1884th",South Korea,"September 4, 2013",,,,,,,Kim A-in,,M,"5'12"" (182 cm)","Asan, Chungcheong",,아인,1884th,Korean,김아인,,https://kpopping.com/profiles/idol/Ain,"https://www.instagram.com/ainismxx/,https://www.youtube.com/channel/UCm4cCjsw3cG-IZoBz8maJcw",Ain,,141.1 lbs (64 kg),Aquarius
https://kpopping.com/profiles/group/AWEEK,AWEEK,(2019-2021),2018-2021,25 years old,0,0,"October 8, 1996",A,,,"January 31, 2019,2018-2021,1681st",South Korea,"January 31, 2019",,,,,,,Choi Jiwoong,"In AWEEK he represents, Monday.",M,"5'12"" (182 cm)",,Aiden (에이든) is a South Korean singer and rapper under Illusion Entertainment and Oneworld Entertainment. He is a member of the boy group AWEEK.,에이든,1681st,,최지웅,,https://kpopping.com/profiles/idol/Aiden,https://www.instagram.com/wooooongss_/,Aiden,,138.9 lbs (63 kg),Libra
,,,2018-2021,30 years old,0,0,"December 17, 1991",,https://kpopping.com/company/Evermore-Music,Evermore Music,"January 1, 2018 - present,July 15, 2018,2018-2021,Korean, English,Yonsei University,1678th",South Korea,"July 15, 2018",,Yonsei University,,,,,Lee Yohan,"Due to his status as Korean-Canadian, he’s exempt from military service.,Aivan was a contestant on “Problematic Men” and won, and was selected as an intern along with SF9’s Inseong.,Aivan composed “Romantically” for Block B.,He loves dogs and puppies and wants to adopt one.,Wanna One’s Yoon Jisung was AIVAN’s first friend he made in Korea.,On VLive he has done his own viewable radio called “FM 121.7” where he reads stories sent in by fans and plays some of his current favourite songs.,His favourite guitar is named Brownie and he brings it with him most places he goes.,At the beginning of 2018, he took the Mensa exam and landed in the top 1% percentile with an IQ of 156.,He is currently doing a Master’s in Communication in Yonsei University.,He was born in Seoul but lived in Canada for most of his life, as well as time in England and the Philippines.",M,,Seoul,"Aivan is a solo artist under Evermore Music. He started off doing covers on YouTube and promoting his music in Japan. He debuted on July 5th, 2018 with his single ‘Tell The World’.",아이반,1678th,"Korean,English",이요한,,https://kpopping.com/profiles/idol/Aivan,"https://mobile.twitter.com/Aivan_Official,http://channels.vlive.tv/ED423D/video,https://www.instagram.com/aivan_yl/,https://www.youtube.com/channel/UCuX89P4LAXwLCmeFy-z8qyA",Aivan,,,Sagittarius
,,,2006-2021,34 years old,0,0,"July 13, 1987",,,,"2006-2021,2445th",South Korea,,,,,https://kpopping.com/profiles/group/Supernova,Supernova,(? - ?),Song Hunyong,"Jihyuk was cast as Yoon Ho-jae in the drama ""Bachelor's Vegetable Store""",M,,,Jihyuk is a member of the South Korean boy group Supernova.,,2445th,,송헌용,,https://kpopping.com/profiles/idol/Acrux-Jihyuk,,Acrux Jihyuk,,,Cancer
https://kpopping.com/profiles/group/AFOS,AFOS,(2016-2021),,26 years old,0,0,"June 27, 1995",,,,2962nd,South Korea,,,,,,,,Do Sang Seung,Aknow and fellow AFOS member Jooen are roommates.,M,,Seoul,Aknow is a member of the 4-member group AFOS.,에이노,2962nd,,도상승,,https://kpopping.com/profiles/idol/Aknow,https://twitter.com/Dio_sangseung95,Aknow,,,Cancer
https://kpopping.com/profiles/group/Vanner,Vanner,(2018-2021),2019-2021,25 years old,0,0,"March 27, 1996",AB,,,"February 14, 2019,2019-2021,Korean,2897th",South Korea,"February 14, 2019",,,,,,,Park Sung Kook,"His hobbies are reading, shopping.,Ahxian came up with his stage name because he wants to represent Asia.",M,"5'10"" (177 cm)",,"Ahxian, born as Park Sung Kook (박성국), is the Lead Rapper and Dancer of the boy group Vanner under VT Entertainment.",아시안,2897th,Korean,박성국,,https://kpopping.com/profiles/idol/Ahxian,,Ahxian,,132.3 lbs (60 kg),Aries
https://kpopping.com/profiles/group/BECZ,BECZ,(2020),,22 years old,0,0,"April 7, 1999",,https://kpopping.com/company/H-H-Entertainment,H&H Entertainment,"January 1, 2019 - September 2, 2020,3377th",South Korea,,,,,,,,Park Seong Soo,"He was announced as the second member on November 26, 2019.",M,,,,,3377th,,,,https://kpopping.com/profiles/idol/ALEK,https://www.instagram.com/alek_su0407/,ALEK,,,Aries
https://kpopping.com/profiles/group/MASC,MASC,(2016-2021),2016-2021,31 years old,0,0,"May 11, 1990",,,,"2016-2021,Korean,2064th",South Korea,,,,,,,,Kim Dae Sung,,M,"5'9"" (176 cm)",Seoul,"Kim Dae Sung, also known as ACE, is a South Korean rapper and songwriter. He used to be a member of the boy group",,2064th,Korean,김대성,,https://kpopping.com/profiles/idol/ACE2,"https://twitter.com/ACESEAAIITE,https://www.instagram.com/aceseaaiite/",ACE,,,Taurus
https://kpopping.com/profiles/group/VAV,VAV,(2015-2021),2015-2021,29 years old,0,0,"August 28, 1992",AB,,,"2015-2021,Korean, English,1105th",South Korea,,,,,,,,Jang Woo Young,"He likes playing soccer.,He can play the guitar.,He can speak English.,He loves Jay Park.,His favorite colors are red and black.,His favorite animal is the cat.,His hobbies are weight training and watching movies.,He has an older sister.,His favorite movie is “Titanic”.",M,"5'10"" (177 cm)",Anyang,"Jang Wooyoung (장우영), known for his stage name ACE, is a member of the boy group VAV (Very Awesome Voice) under A Team Entertainment. ACE is also known for his songs covers posted on the group's Youtube Channel.",에이스,1105th,"Korean,English",장우영,,https://kpopping.com/profiles/idol/ACE,https://www.instagram.com/ace.vav/,ACE,,138.9 lbs (63 kg),Virgo
https://kpopping.com/profiles/group/W24,W24,(2018-2021),2018-2021,26 years old,0,0,"June 19, 1995",B,,,"March 8, 2018,2018-2021,Korean, Spanish,Seoul Institute of Arts,1387th",South Korea,"March 8, 2018",,Seoul Institute of Arts,,,,,Park Aaron,,M,"5'9"" (175 cm)",,Park Aaron (박아론; or simply Aaron) is a South Korean musician under JARMY Entertainment. He is the keyboardist of the boy band W24 and was a member of the worship band AGAPAO Worship.,아론,1387th,"Korean,Spanish",박아론,,https://kpopping.com/profiles/idol/Aaron,,Aaron,,121.3 lbs (55 kg),Gemini
https://kpopping.com/profiles/group/LIMITLESS,LIMITLESS,(2019-2021),2019-2021,24 years old,0,0,"December 31, 1996",A,,,"July 9, 2019,2019-2021,Korean,5 years,ENJT-A,2401st",South Korea,"July 9, 2019",,,,,,,Seong Hyun Woo,"A.M's stage name stands for Astrum.,A.M competed in Produce 101 Season 2 as a trainee of The Vibe Label.",M,"5'11"" (181 cm)",,"Seong Hyun Woo (성현우) is the Leader, Lead Rapper, and Main Dancer of the boy group LIMITLESS under ONO Entertainment. He is first known for appearing in the hit survival show Produce 101 Season 2.",에이엠,2401st,Korean,성현우,ENJT-A,https://kpopping.com/profiles/idol/A-M,https://www.instagram.com/a_stru_m/,A.M,5 years,134.5 lbs (61 kg),Capricorn
https://kpopping.com/profiles/group/EPEX,EPEX,(2021),2021,17 years old,0,0,"May 22, 2004",,https://kpopping.com/company/C9-Entertainment,C9 Entertainment,"January 1, 2021 - present,June 8, 2021,2021,Korean,1109th",South Korea,"June 8, 2021",,,,,,,Cho Min Woo,,M,"5'9"" (175 cm)",,A-Min (아민) is a South Korean trainee under C9 Entertainment. He is a member of the pre-debut boy group C9ROOKIES. He is the main dancer and vocalist in the group.,아민,1109th,Korean,조민우,,https://kpopping.com/profiles/idol/A-Min2,,A-Min,,119 lbs (54 kg),Gemini
,,,2018,23 years old,0,0,"April 7, 1998",,,,"January 19, 2018,2018,Korean,5518th",South Korea,"January 19, 2018",,,,,,,Eo Taehyun,,M,,,"A'byss is a Korean rapper who debuted on Jan 19th 2018 with the track ""they say""",어태현,5518th,Korean,,,https://kpopping.com/profiles/idol/A-byss,https://www.instagram.com/abyss_tae/,A'byss,,,Aries
,,,,36 years old,0,0,"June 8, 1985",,,,"January 3, 2019,Korean,5522nd",South Korea,"January 3, 2019",,,,,,,Ham byung-sun,,M,,Seoul,9z is a south Korean Singer under big wav Music who made his solo debut on Jan 3rd 2019,함병선,5522nd,Korean,,,https://kpopping.com/profiles/idol/9z,https://www.instagram.com/9zxx9z/,9z,,,Gemini
,,,2011-2021,33 years old,0,0,"May 18, 1988",,,,"2011-2021,3163rd",South Korea,,,,,,,,Kim Han-Jun,,M,"5'10"" (178 cm)",Seoul,"Kim Han-Jun (김한준), best known by his stage name 40 (포티), is a South Korean singer formerly under YNB Entertainment.",포티,3163rd,,김한준,,https://kpopping.com/profiles/idol/40,"https://m.facebook.com/rnb40,https://mobile.twitter.com/40Number,https://www.instagram.com/real40/,https://m.youtube.com/user/fortylivetv,http://www.40company.com/",40,,143.3 lbs (65 kg),Taurus
,,,2017-2021,,0,0,,,,,"2017-2021,1867th",,,,,,,,,,,M,,,365Lit is a South Korean rapper who debuted independently in 2019. He was a contestant on Show Me the Money 9.,,1867th,,,,https://kpopping.com/profiles/idol/365Lit,"https://www.instagram.com/365lit,https://soundcloud.com/365lit",365Lit,,,
,,,2017-2021,24 years old,0,0,"September 10, 1997",0,,,"March 16, 2017,2017-2021,Korean,Baekseok High School,2095th,R.O.S.e",South Korea,"March 16, 2017",,Baekseok High School,R.O.S.e,https://kpopping.com/profiles/group/Seven-O-Clock,Seven O’Clock,(2017-2021),Kim Young Hoon,"He’s in charge of ‘cuteness’ in the group, he was always told that he is filled with lovely/aegyo-like charms,His personal style is loose,His favorite color is pastel,Songs he likes is Taeyeon’s “Fine”, and Park Yerin’s “Lay me Down”.,His favorite food is Korean food,His hobby is singing,In 7OC he’s the happy virus,His favorite 7OC song is “Echo”,His favorite sport is Baseball. (After School Club),He thinks a game character that describes him is Patamon from Digimom",M,"5'8"" (172 cm)",Seoul,,이솔,2095th,Korean,김영훈,,https://kpopping.com/profiles/idol/2Soul,https://instagram.com/2soul.soc?igshid=zg2fvns978iu,2Soul,,121.3 lbs (55 kg),Virgo
https://kpopping.com/profiles/group/MASC,MASC,(2016-2021),2016-2021,31 years old,0,0,"February 22, 1990",A,,,"2016-2021,Korean,Directing at Seoul Institute of the Arts,1918th",South Korea,,,Directing at Seoul Institute of the Arts,,,,,Kim Jihoon,,M,"5'10"" (178 cm)",,26 is a Korean rapper and dancer. He is a member of the Korean pop/hip-hop boy group MASC.,,1918th,Korean,김지훈,,https://kpopping.com/profiles/idol/26,"https://mobile.twitter.com/KayJi90,https://www.instagram.com/j1hoon_k/",26,,127.9 lbs (58 kg),Pisces
,,,2013-2021,34 years old,2,0,"February 16, 1987",A,,,"2013-2021,Korean,1794th",South Korea,,,,,,,,Hwang Dae Hyun,,M,6' (183 cm),,20 Years of Age (스무살) is a South Korean singer-songwriter under Shofar Music.,,1794th,Korean,황대현,,https://kpopping.com/profiles/idol/20-Years-of-Age,,20 Years of Age,,158.7 lbs (72 kg),Aquarius
,,,,27 years old,0,0,"September 28, 1994",,,,"August 10, 2020,Korean,5520th",South Korea,"August 10, 2020",,,,,,,Lee jinyoung,,M,,"Goyang, Gyeonggi-do","104(백사) is a south Korean rapper who officially debuted with the mini album ""wicked"" on Aug 10th 2020",이진영,5520th,Korean,,,https://kpopping.com/profiles/idol/104-baegsa,,104(백사),,,Libra
https://kpopping.com/profiles/group/TXT,TXT,(2019-2021),2019-2021,20 years old,0,0,"March 13, 2001",AB,,,"March 4, 2019,8 days,2019-2021,Korean, English (Basic),2 years,Hanlim Multi-Arts School,ENFJ,67th,MOA",South Korea,"March 4, 2019",8 days,Hanlim Multi-Arts School,MOA,,,,Choi Beomgyu,"Beomgyu has his own studio where he writes songs for the group.,Beomgyu has been composing songs for a long time. He also took part in producing their song ""Maze in the Mirror."",According to Beomgyu, he learned how to play the guitar from watching Youtube videos.,In an interview, Beomgyu stated that V is his role model. V used to give him lots of advice back when he was still a trainee.,According to Beomgyu, he is the mood maker of the group.,Beomgyu loves knitted clothes.,Beomgyu used to be in a rock band. He can play the Electric Guitar.,Beomgyu has a Satoori Accent since he is from Daegu.,According to Beomgyu, he is always the first to fall asleep in the group.,All TXT members have type A Blood, except for Beomgyu with blood type AB.",M,"5'11"" (179 cm)",Daegu,,범규,67th,"Korean,English (Basic)",최범규,ENFJ,https://kpopping.com/profiles/idol/Beomgyu,,Beomgyu,2 years,121.3 lbs (55 kg),Pisces
,,,2020-2021,,0,0,,,,,"2020-2021,Korean,4144th",South Korea,,,,,https://kpopping.com/profiles/group/Dustin,Dustin,(2020-2021),Choi Sung Hoon,,M,,,Bel (벨) is the Main Rapper of the boy group DUSTIN under LPA Entertainment.,벨,4144th,Korean,최성훈,,https://kpopping.com/profiles/idol/Bel,,Bel,,,
https://kpopping.com/profiles/group/B-I-G,B.I.G,(2014-2021),2014-2021,29 years old,1,0,"May 3, 1992",B,https://kpopping.com/company/GH-Entertainment,GH Entertainment,"July 9, 2014 - October 1, 2020,July 8, 2014,2014-2021,English, Korean,Julliard School,1202nd",United States,"July 8, 2014",,Julliard School,,,,,Benjamin Jaewook Bae,,M,6' (183 cm),Indiana,"Benji (벤지) is a Korean-American singer-songwriter, MC, DJ and musician. He is a former member of the boy group B.I.G and made his solo debut on August 29, 2019 with his first digital single ""Telephone"". On October 1, 2020 Benji has confirmed on his Instagram that he left the group.",벤지,1202nd,"English,Korean",배제욱,,https://kpopping.com/profiles/idol/Benji,https://www.instagram.com/baebenji92/?hl=en,Benji,,158.7 lbs (72 kg),Taurus
,,,2011-2021,34 years old,0,0,"September 12, 1987",AB,"https://kpopping.com/company/BANA,https://kpopping.com/company/Illionaire-Records","BANA,Illionaire Records","March 25, 2021 - present,January 1, 2011 - July 2, 2020,June 5, 2011,2011-2021,Korean, English,Seoul National University,683rd",New Zealand,"June 5, 2011",,Seoul National University,,,,,Im Sung-bin,,M,"5'11"" (180 cm)",Christchurch,"Lim Sung-bin (임성빈), better known by the stage name Beenzino (빈지노), is a South Korean rapper. His stage name is a play on that of Boston rapper Benzino, combined with ""빈"" (pronounced ""been"") from his birth name. Beenzino made his first official public appearance at Dok2's Hustle Real Hard Concert on June 5, 2011, and has since released three solo albums, as well as other works in collaboration with hip hop producers Primary and Shimmy Twice, and as the duo Hot Clip with South Korean rapper Beatbox DG. He is noted for his melodic style of rapping.",빈지노,683rd,"Korean,English",임성빈,,https://kpopping.com/profiles/idol/Beenzino,"https://twitter.com/isshoman,https://www.instagram.com/realisshoman/?hl=en",Beenzino,,,Virgo
https://kpopping.com/profiles/group/MVP,MVP,(? - ?),3-89,26 years old,0,0,"February 6, 1995",AB,,,"3-89,Korean,3027th",South Korea,,,,,,,,Park Young Bin,"His role model is BTS V,He’s the twin brother of Jin.",M,"5'10"" (177 cm)",Daejeon,Been (빈) is a South Korean artist under PH Entertainment. He is a sub-vocalist of the Korean pop boy group MVP.,,3027th,Korean,박영빈,,https://kpopping.com/profiles/idol/Been,,Been,,,Aquarius
,,,2006-2021,34 years old,0,0,"April 22, 1987",,,,"2006-2021,2811th",South Korea,,,,,https://kpopping.com/profiles/group/Supernova,Supernova,(? - ?),Kim Kwangsu,"Kwangsu and fellow Supernoev member Sungmo were both chosen as ""Kpop Zone"" MC by MNet Japan (2011).,Kwangsu was on the sitcom ""Real School"" together with U-Kiss's Dongho, Kiseop, and Eli.",M,,,Kwangsu is a member of the South Korean boy group Supernova.,,2811th,,김광수,,https://kpopping.com/profiles/idol/Becrux-Kwangsu,,Becrux Kwangsu,,,Taurus
,,,2019-2021,27 years old,0,0,"July 18, 1994",0,,,"March 27, 2019,2019-2021,Korean, English,1200th",United States,"March 27, 2019",,,,https://kpopping.com/profiles/group/1TEAM,1TEAM,(2019-2021),Jin Sung Ho,"BC is close to IN2IT's Inho.,He once was a backup dancer for the girl group Unicorn.,He has at least nine tattoos.,He has two younger sisters.,His hobbies are feeding his cats, listening to music, writing songs and driving.,BC first debuted in the boy group I-REX under the stage name Ra.E, but the group only released one song before disbanding. He then left Tarzan Entertainment shortly.,BC stands for Bryan Chin, his English name.,He works out a lot especially at night to relieve stress.,BC's favorite drink is Iced Americano.,He played the flute when he was nine years old and learnt how to play the saxophone when he was a child.",M,"5'9"" (174 cm)",Texas,"BC, also known as Sung Ho, is a member of the 1TEAM under Liveworks Company. He first appeared in ""Boys 24"" and eventually on JTBC's survival program ""Mixnine"".",진성호,1200th,"Korean,English",,,https://kpopping.com/profiles/idol/BC,,BC,,127.9 lbs (58 kg),Cancer
,,,2014-2021,31 years old,0,0,"July 20, 1990",,https://kpopping.com/company/Baljunso,Baljunso,"July 21, 2014 - August 1, 2015,July 21, 2014,2014-2021,4377th",South Korea,"July 21, 2014",,,,https://kpopping.com/profiles/group/Play-the-Siren,Play the Siren,(2014-2015),Jung Baek Bum,,M,,,BeckBum (백범) is a South Korean rapper. He was a member of he co-ed group Play the Siren.,백범,4377th,,정백범,,https://kpopping.com/profiles/idol/BeckBum,"https://www.facebook.com/people/%EC%A0%95%EB%B0%B1%EB%B2%94/100003115234621,https://twitter.com/BECKBUM90",BeckBum,,,Cancer
,,,2017-2021,,0,0,,,https://kpopping.com/company/Choon-Entertainment,Choon Entertainment,"January 1, 2017 - present,2017-2021,3806th",South Korea,,,,,,,,,,M,,,"Bay.P (베이피) is a singer and DJ under Freedom City. He made his debut on April 21, 2018 with the single ""Woo"".",베이피,3806th,,,,https://kpopping.com/profiles/idol/Bay-P,,Bay.P,,,
,,,2014-2021,26 years old,0,0,"February 7, 1995",B,https://kpopping.com/company/A-CONIC-Entertainment,A.CONIC Entertainment,"January 1, 2019 - present,2014-2021,English, Korean,2 years,1642nd",South Korea,,,,,"https://kpopping.com/profiles/group/A-FACT,https://kpopping.com/profiles/group/The-King","A:FACT,The King","(2019-2021),(2014-2021)",Kim Bawool,,M,"5'11"" (180 cm)",,Bawool is the maknae of The King.,바울,1642nd,"English,Korean",김바울,,https://kpopping.com/profiles/idol/Bawool,https://www.instagram.com/theking_wool/,Bawool,2 years,132.3 lbs (60 kg),Aquarius
