medical_specialty;doc_name;hospital;hospital_affiliations;doc_special_expertise;hospital_address;hospital_telephone
Cardiovascular Disease;Gordon J. Azar Jr., MD;Northside Heart; Northside Hospital, Northside Hospital Cherokee; interventional cardiology, invasive cardiology;1285 Upper Hembree Road, Roswell, 30076;770-343-8565
Child & Adolescent Psychiatry;Nora N. Hanna, MD;CARE of Greater Atlanta; anxiety and depression, bipolar/mood disorders, obsessive-compulsive disorder;;3455-A Lawrence­ville-Suwanee Road, Suwanee, 30024;678-288-5995
Child & Adolescent Psychiatry;Jennifer E. Holton, MD;Department of Psychiatry Emory Clinic; Emory University Hospital; child psychiatry, ADD/ADHD, anxiety and depression, psychotherapy and psychopharmacology;12 Executive Park Drive, Suite 200, Atlanta, 30329;404-778-5526
Allergy & Immu­nology;David D. Tanner, MD;Atlanta Allergy & Asthma; Northside Hospital; asthma and allergy;2045 Peachtree Road, Suite 800, Atlanta, 30309;404-351-5711
Allergy & Immu­nology;John D. Vickery, MD;Center for Allergy & Asthma of Georgia; Piedmont Newnan Hospital; asthma, allergy, immunology;1615 East Highway 34, Suite A, Newnan, 30265;770-285-5200
Cardiac Electrophysiology;Zoubin Alikhani, MD;Atlanta Heart Specialists; Emory Decatur Hospital, Emory Saint Joseph’s Hospital; syncope, arrhythmias, atrial fibrillation, pacemaker/defibrillators;2665 North Decatur Road, Suite 320, Decatur, 30033;404-856-3550
Cardiac Electrophysiology;Jacob N. Blatt, MD;Wellstar Cardiovascular Medicine; Wellstar Cobb Hospital, Wellstar Douglas Hospital; arrhythmias, pacemaker/defibrillators, catheter ablation;1700 Hospital South Drive, Suite 409, Austell, 30106;770-732-9100
Geriatric Medicine;Ihab M. Hajjar, MD;Emory Brain Health Center; Emory University Hospital; dementia, Alzheimer’s disease, cognitive loss in aging, memory disorders;12 Executive Park Drive NE, Atlanta, 30329;404-778-3444
Gastroenterology;Clive Albert, MD;Johns Creek Gastroenterology; Northside Hospital Forsyth, Emory Johns Creek Hospital; liver and biliary disease, colon cancer, gallbladder disease;1100 Northside Forsyth Drive, Suite 330, Cumming, 30041;770-889-9901
Gastroenterology;Girish Anand, MD;Atlanta Gastroenterology Associates; Northside Hospital, Northside Hospital Forsyth; endoscopic ultrasound, pancreatic/biliary endoscopy (ERCP), endoscopy and colonoscopy, colon polyps and cancer;5671 Peachtree Dunwoody Road, Suite 600, Atlanta, 30342;404-257-9000
Pediatrics;Lori A. Desoutter, MD;Pediatric Associates of North Atlanta; asthma, developmental disorders, autism spectrum disorders, ADD/ADHD;;5185 Peachtree Parkway, Suite 330, Peachtree Corners, 30092;770-476-9885
Internal Medicine;Sandra K. Banks, MD;Primary Care Physicians of Atlanta; Northside Hospital, Emory Saint Joseph’s Hospital; preventive medicine, integrative medicine;5670 Peachtree Dunwoody Road, Suite 1200, Atlanta, 30342;404-255-9100
Internal Medicine;Samantha B. Benson, MD;Internal Medicine Associates of Johns Creek; Northside Hospital, Emory Johns Creek Hospital;;3380 Paddocks Parkway, Suwanee, 30024;678-474-9633
Endocrinology, Diabetes & Metabolism;David B. Arkin, MD;North Atlanta Endocrinology & Diabetes; Northside Hospital Lawrenceville;;771 Old Norcross Road, Suite 200, Lawrence­­­ville, 30046;770-339-1387
Obstetrics & Gynecology;Betty L. Anthony, MD, PhD;Suburban Women’s Specialists; Emory Johns Creek Hospital, Northside Hospital Lawrenceville; gynecologic surgery, laparoscopic surgery, obstetrics, minimally invasive surgery;6300 Hospital Parkway, Suite 200, Johns Creek, 30097;770-476-1088
Obstetrics & Gynecology;E.J. Aspuru, MD;Northside/Northpoint OB-GYN; Northside Hospital, Northside Hospital Forsyth; robotic surgery;5780 Peachtree Dunwoody Road, Suite 295, Atlanta, 30342;404-255-3633
Cardiovascular Disease;Amol S. Bapat, MD;Northside Heart; Northside Hospital, Northside Hospital Cherokee; interventional cardiology, nuclear cardiology, congestive heart failure, peripheral vascular disease;1285 Upper Hembree Road, Roswell, 30076;770-343-8565
Cardiovascular Disease;Kunal Bhatt, MD;Emory Heart & Vascular Center; Emory University Hospital; heart failure, cardio-oncology, cardiomyopathy, ventricular assist device (VAD);1365 Clifton Road NE, Building A, Floor 2, Atlanta, 30322;404-778-5299
Child & Adolescent Psychiatry;Bernard B. Kahan, MD;; ADD/ADHD, anxiety and depression, obsessive-compulsive disorder, eating disorders;;3525 Piedmont Road NE, Building 7, Suite 407, Atlanta, 30305;404-237-3987
Diagnostic Radiology;Aravind Arepally, MD;Radiology Associates of Atlanta; Piedmont Atlanta Hospital, Piedmont Henry Hospital; interventional radiology;1984 Peachtree Road, Suite 505, Atlanta, 30309;404-352-1409
Developmental-Behavioral Pediatrics;Alan G. Weintraub, MD;Developmental and Child Behavioral Associates; autism spectrum disorders, ADD/ADHD, developmental and behavioral disorders, learning disorders;;5635 Peachtree Parkway, Suite 120, Peachtree Corners, 30092;770-416-6428
Allergy & Immu­nology;John A. Zora, MD;Atlanta Allergy & Asthma; Wellstar North Fulton Hospital, Northside Hospital; asthma and allergy;1357 Hembree Road, Suite 200, Roswell, 30076;770-953-3331
Orthopaedic Surgery;Mark Albritton, MD;Resurgens Orthopaedics; Piedmont Fayette Hospital; sports medicine, shoulder and knee surgery;1336 Highway 54 West Building 500, Fayetteville, 30214;770-461-1238
Vascular Surgery;Eyal Ben-Arie, MD;Piedmont Heart Institute; Piedmont Atlanta Hospital, Piedmont Mountainside Hospital;;95 Collier Road NW, Suite 2045, Atlanta, 30309;404-605-5110
Cardiac Electrophysiology;Thomas F. Deering, MD;Piedmont Heart Institute; Piedmont Atlanta Hospital, Piedmont Fayette Hospital; arrhythmias, congenital heart disease;275 Collier Road NW, Suite 500, Atlanta, 30309;404-605-2888
Cardiac Electrophysiology;David B. DeLurgio, MD;Emory Heart & Vascular Center; Emory Saint Joseph’s Hospital, Emory University Hospital; arrhythmias, atrial fibrillation, sudden death prevention, heart failure;5671 Peachtree Dunwoody Road, Suite 300, Atlanta, 30342;404-778-5299
Dermatology;Harold J.  Brody, MD;Atlanta Dermatology; Emory University Hospital; cosmetic dermatology, chemical peels, facial rejuvenation, dermatologic surgery;1218 West Paces Ferry Road NW, Suite 200, Atlanta, 30327;404-525-7409
Vascular & Interventional Radiology;David W. Allison, MD;South Atlanta Vascular Institute; Southern Regional Medical Center; arterial recanalization, arterial and venous stents, pelvic congestion syndrome, interventional radiology;7402 Davidson Circle West, Stockbridge, 30281;770-919-5238
Urology;John T. Abbott Jr., MD;Georgia Urology; Piedmont Fayette Hospital; robotic surgery, incontinence (urinary), prostate benign disease (BPH), kidney stones;1336 Highway 54 West, Building 200, Fayetteville, 30214;707-460-9777
Gastroenterology;Anthony Balistreri, MD;DeKalb Gastroenterology Associates; Emory Decatur Hospital; colon cancer screening, digestive disorders, liver disease;2675 North Decatur Road, Suite 506, Decatur, 30033;404-299-1639
Gastroenterology;Christopher A. Brown, MD;Atlanta Gastroenterology Associates; Piedmont Henry Hospital, Southern Regional Medical Center;;150 North Park Trail, Suite B, Stockbridge, 30281;770-507-0909
Pediatrics;Karen B. Dewling, MD;Johns Creek Pediatrics; Children’s Healthcare of Atlanta at Scottish Rite;;4395 Johns Creek Parkway, Suite 150, Suwanee, 30024;770-814-1160
Pediatrics;Terrence J. Gfroerer, MD;Dunwoody Pediatrics; Northside Hospital, Children’s Healthcare of Atlanta at Scottish Rite; infectious disease, newborn care vaccines, adolescent medicine;1428 Dunwoody Village Parkway, Dunwoody, 30338;770-394-2358
Pediatrics;Jodi M. Greenwald, MD;North Fulton Pediatrics;;;1285 Hembree Road, Suite 100, Roswell, 30076;770-442-1050
Internal Medicine;Sharon H. Bergquist, MD;Department of Internal Medicine; Emory University Hospital;;Emory Clinic, 1365A Clifton Road NE, Atlanta, 30322;404-778-0480
Internal Medicine;Christopher Borrego, DO;Tri-County Internal Medicine; Northside Hospital Forsyth, Emory Johns Creek Hospital;;4720 Nelson Brogdon Boulevard, Sugar Hill, 30518;770-945-1990
Endocrinology, Diabetes & Metabolism;Ernest W. Beasley III, MD;Endocrine Specialists of Atlanta; Northside Hospital; diabetes;975 Johnson Ferry Road NE, Suite 400, Atlanta, 30342;404-843-4000
Endocrinology, Diabetes & Metabolism;Patrick H. Bowen, MD;Department of Endocrinology; Emory University Hospital, Emory University Hospital Midtown; diabetes, osteoporosis, metabolic disorders;Emory Clinic, 1365 Clifton Road NE, Building A, Floor 3, Atlanta, 30322;404-778-3280
Obstetrics & Gynecology;Robert R. Barrett, MD;North Pointe Obstetrics/Gynecology; Northside Hospital Forsyth; pregnancy, menopause problems;1800 Northside Forsyth Drive, Suite 350, Cumming, 30041;770-886-3555
Obstetrics & Gynecology;Dale M. Bearman, MD;North Atlanta Women’s Specialists; Northside Hospital; laparoscopic surgery, vaginal surgery, gynecology only;5780 Peachtree Dunwoody Road, Suite 195, Atlanta, 30342;404-256-4667
Cardiovascular Disease;Marlene L. Blaise, MD;Alpharetta Cardiology; Northside Hospital, Emory Saint Joseph’s Hospital; cardiac catheterization, echocardiography;3400 Old Milton Parkway, Building C, Suite 325, Alpharetta, 30005;678-762-0910
Cardiovascular Disease;Wendy M.  Book, MD;Emory Heart & Vascular Center; Emory University Hospital; congenital heart disease, heart failure, telemedicine;1365 Clifton Road NE, Building A, Floor 2, Atlanta, 30322;404-778-5299
Diagnostic Radiology;Michael Kevin Collins, MD;Quantum Radiology; Wellstar Kennestone Hospital; musculoskeletal imaging;790 Church Street, Suite 400, Marietta, 30060;678-239-0420
Diagnostic Radiology;Steven G. Moss, MD;Northside Radiology Associates; Northside Hospital, Northside Hospital Forsyth; musculoskeletal imaging;1000 Johnson Ferry Road, Atlanta, 30342;404-851-6577
Orthopaedic Surgery;Dheera Ananthakrishnan, MD;Emory Orthopaedics & Spine Center; Emory University Hospital, Emory University Orthopaedic & Spine Hospital; spinal reconstructive surgery, scoliosis;59 Executive Park South NE, Atlanta, 30329;404-778-3350
Vascular Surgery;Arun Chervu, MD;Vascular Surgical Associates; Wellstar Cobb Hospital, Wellstar Kennestone Hospital, Wellstar North Fulton Hospital; minimally invasive surgery, endovascular surgery, aneurysm-aortic vein disorders;5755 North Point Parkway, Suite 214, Alpharetta, 30022;770-423-0595
Vascular Surgery;Michael D. Clark, MD;Emory Clinic Vascular Surgery; Emory Saint Joseph’s Hospital, Emory Johns Creek Hospital; vascular access, aneurysm, carotid artery surgery;5673 Peachtree Dunwoody Road, Suite 675, Atlanta, 30342;678-843-5400
Cardiac Electrophysiology;Mikhael F. El Chami, MD;Emory Heart & Vascular Center; Emory Saint Joseph’s Hospital, Emory University Hospital Midtown; atrial fibrillation, pacemaker/defibrillators, sudden death prevention, long QT interval syndrome;550 Peachtree Street NE, Floor 6, Suite 600, Atlanta, 30308;404-686-7878
Dermatology;Misty D. Caudell, MD;Georgia Skin Center; Northeast Georgia Medical Center; cosmetic dermatology, medical dermatology, laser surgery, skin cancer;1250 Jesse Jewell Parkway SE, Suite 500, Gainesville, 30501;770-535-7546
Dermatology;Johnathan L. Chappell, MD;Acworth Dermatology & Skin Cancer Center; Mohs surgery, skin cancer screening, acne, rosacea;;4450 Calibre Crossing, Suite 1208, Acworth, 30101;678-505-8030
Vascular & Interventional Radiology;Steven J. Citron, MD;Radiology Associates of Atlanta; Piedmont Atlanta Hospital, Piedmont Henry Hospital; uterine fibroid embolization, liver cancer/chemoembolization, interventional oncology, portal hypertension;1984 Peachtree Road, Suite 505, Atlanta, 30309;404-352-1409
Vascular & Interventional Radiology;Louis H. Jacobs, MD;Radiology Associates of Atlanta; Piedmont Atlanta Hospital, Piedmont Henry Hospital; uterine fibroid embolization, chemoembolization and tumor ablation, interventional oncology, dialysis access;1984 Peachtree Road, Suite 505, Atlanta, 30309;404-352-1409
Urology;Roosevelt Allen Jr., MD;Georgia Urology; Northside Hospital Lawrenceville, Eastside Medical Center; interstitial cystitis;500 Medical Center Boulevard, Suite 345, Lawrenceville, 30045;770-963-2451
Urology;James K. Bennett, MD;Midtown Urology; Emory University Hospital Midtown; prostate cancer;1924 Piedmont Road NE Floor 2, Atlanta, 30324;404-881-0966
Gastroenterology;Hitesh R. Chokshi, MD;Atlanta Gastroenterology Associates; Piedmont Henry Hospital, Southern Regional Medical Center; pancreatic and biliary disease, interventional endoscopy, pancreatic/biliary endoscopy (ERCP);150 North Park Trail, Suite B, Stockbridge, 30281;770-507-0909
Gastroenterology;Nader A. Dbouk, MD;Emory at Spivey Station; Piedmont Henry Hospital; transplant medicine (liver), chronic liver disease, hepatitis, cirrhosis;7823 Spivey Station Boulevard, Suite 100, Jonesboro, 30236;404-778-3184
Urogynecology/ Female Pelvic Medicine & Reconstructive Surgery;Michael J. Litrel, MD;Cherokee Women’s Health Specialists; Northside Hospital Cherokee; urogynecology;100 Stoneforest Drive, Suite 200, Woodstock, 30189;770-720-7733
Pediatrics;Laura E. Harris, MD;Piedmont Pediatrics; Piedmont Atlanta Hospital;;105 Collier Road, Suite 406, Atlanta, 30309;404-351-6662
Pediatrics;Jeffrey C. Hopkins, MD;Northside Pediatrics; Northside Hospital, Children’s Healthcare of Atlanta at Scottish Rite; child development, asthma, ADD/ADHD, infectious disease;6095 Barfield Road, Suite 200, Sandy Springs, 30328;404-256-2688
Internal Medicine;Ebon A. Bourne, MD;Wellstar Medical Group Acworth Family Practice; Wellstar Kennestone Hospital, Wellstar Cobb Hospital;;4550 Cobb Parkway NW, Suite 201A, Acworth, 30101;770-974-4655
