active_years,agency_links,agency_names,association_links,association_names,birth_name,birth_place,bloodtype,family,family_links,fandom,fandom_colors,group_debut,height,instruments,legal_name,link,name,occupation,partner_links,partners,socials,solo_debut,weight
2020–present,,,,,,South Korea,,,,,,,,,,https://kpop.fandom.com/wiki/Shin_Young_(trainee),Shin Young,Trainee,,,,,
2018–present,https://kpop.fandom.com//wiki/JYP_Entertainment,JYP Entertainment,,,Shin Ye-eun (신예은),South Korea,,,,,,,,,,https://kpop.fandom.com/wiki/Shin_Ye_Eun,Shin Ye Eun,Actress,,,https://www.instagram.com/__shinyeeun/,,
2019–present,https://kpop.fandom.com//wiki/MYSTIC89,MYSTIC89,"https://kpop.fandom.com//wiki/LUCY_(band),https://kpop.fandom.com/#cite_note-1","LUCY,[1]",Shin Ye-chan (신예찬),,,,,,,"May 8, 2020",,Violin,,https://kpop.fandom.com/wiki/Shin_Ye_Chan_(LUCY),Shin Ye Chan,"Musician, songwriter, producer",,,"https://www.instagram.com/ye___chani/,https://www.youtube.com/channel/UC23OtuIrtEy_M1vYgTuCJcA",,
2017–present,"https://kpop.fandom.com//wiki/Sublime_Artist_Agency,https://kpop.fandom.com//wiki/FAVE_Entertainment","Sublime Artist Agency,FAVE Entertainment","https://kpop.fandom.com//wiki/PlayM_GIRLS,https://kpop.fandom.com//wiki/MIXNINE,https://kpop.fandom.com//wiki/Produce_48","FAVE GIRLS,MIXNINE,Produce 48",Shin Su-hyun (신수현),"Ulsan, South Korea",B,,,,,,163 cm (5 ft 4 in),,,https://kpop.fandom.com/wiki/Shin_Su_Hyun,Shin Su Hyun,"Actress, model",,,https://www.instagram.com/xinsooo/,,45 kg (99 lb)
2016–present,"https://kpop.fandom.com//wiki/LUK_Factory,https://kpop.fandom.com//wiki/Zenith_Media_Contents","LUK Factory,Zenith Media Contents","https://kpop.fandom.com//wiki/NOIR_(group),https://kpop.fandom.com//wiki/ZEST","NOIR,ZEST",Shin Seung-hoon (신승훈),,O,,,,,"April 9, 2018",179 cm (5 ft 10 in),,,https://kpop.fandom.com/wiki/Shin_Seunghoon,Shin Seunghoon,"Rapper, songwriter, composer, producer",,,"https://www.instagram.com/9shin_xx3/,https://soundcloud.com/ykytz5bd0lm0","November 9, 2020",62 kg (137 lb)
2017–present,"https://kpop.fandom.com//wiki/IST_Entertainment,https://kpop.fandom.com//wiki/FAVE_Entertainment","IST Entertainment,FAVE Entertainment","https://kpop.fandom.com//wiki/Weeekly,https://kpop.fandom.com//wiki/MIXNINE","Weeekly,MIXNINE",Shin Ji-yoon (신지윤),"Bundang-gu, Seongnam, Gyeonggi-do, South Korea",B,,,,Yellow,"June 30, 2020",165 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/Shin_Jiyoon,Shin Jiyoon,"Singer, songwriter, rapper, composer, producer",,,,,48 kg (106 lb)
2017–present,https://kpop.fandom.com//wiki/The_Music_Works_Entertainment,The Music Works Entertainment,"https://kpop.fandom.com//wiki/MYTEEN,https://kpop.fandom.com//wiki/MIXNINE","MYTEEN,MIXNINE",Shin Jun Seop (신준섭),"Gongju, South Korea",A,,,,,"July 26, 2017",176 cm,,,https://kpop.fandom.com/wiki/Shin_Jun_Seop,Shin Jun Seop,"Actor, singer, rapper",,,https://www.instagram.com/junseop_zzang123/,,60 kg
2012-present,,,https://kpop.fandom.com//wiki/Tiny-G,"Tiny-G,Tiny-G M",Shin Min-jeong (신민정),"Seoul, South Korea",O,,,,,"August 3, 2012",155 cm (5 ft 1 in),,,https://kpop.fandom.com/wiki/Shin_Minjung,Shin Minjung,,,,"https://www.instagram.com/jmin_94/,https://www.youtube.com/channel/UCmAE_CueX-74dLYlBMm7rtQ","August 23, 2021",
2020–2021,,,https://kpop.fandom.com//wiki/AMX_NEWKIDS,AMX NEWKIDS,Shin Seo-yoon (신서유),South Korea,,,,,,,165.6 cm (5 ft 5.2 in),,,https://kpop.fandom.com/wiki/Shin_Seoyoon,Seoyoon,Trainee,,,"https://www.instagram.com/061019_yoon/,https://www.instagram.com/seo_yoon52/",,46 kg (101 lb)
2021–present,,,https://kpop.fandom.com//wiki/My_Teenage_Girl,My Teenage Girl,Shin Ye-seul (신예슬),South Korea,AB,,,,,,,,,https://kpop.fandom.com/wiki/Shin_Yeseul,Shin Yeseul,Trainee,,,,,
2020–present,https://kpop.fandom.com//wiki/IST_Entertainment,IST Entertainment,"https://kpop.fandom.com//wiki/Bandage,https://kpop.fandom.com//wiki/SuperBand","Bandage,SuperBand",Shin Hyun-bin (신현빈),South Korea,,,,,,"April 3, 2020",,Guitar,,https://kpop.fandom.com/wiki/Shin_Hyun_Bin,Shin Hyun Bin,"Musician, songwriter",,,https://www.instagram.com/_beeeeeeeen/,,
2018-present,,,https://kpop.fandom.com//wiki/THE_MAN_BLK,THE MAN BLK,Shin Jeong-you (신정유),,A,,,,Pink,"November 15, 2018",184 cm,,,https://kpop.fandom.com/wiki/Shin_Jeong_You,Shin Jeong You,"Singer, actor",,,https://www.instagram.com/jeonguuu97__/,,68 kg
1998–present,"https://kpop.fandom.com//wiki/Liveworks_Company,https://kpop.fandom.com//wiki/SM_Entertainment","Liveworks Company,SM Entertainment",https://kpop.fandom.com//wiki/SHINHWA,SHINHWA,Jung Pil-gyo (정필교),"Gangbuk-gu, Seoul, South Korea",A,,,,,"March 24, 1998",179cm,,,https://kpop.fandom.com/wiki/Shin_Hye_Sung,Shin Hye Sung,Singer-songwriter,,,"https://www.instagram.com/shinhyesung_official/,https://twitter.com/shinhs_official,https://channels.vlive.tv/F9CAD,https://twitter.com/alwayshyesungfc","May 6, 2005",65kg
2017–present,,,https://kpop.fandom.com//wiki/1NB,1NB,Shin Hye-rim (신혜림),South Korea,,,,,,,168 cm (5 ft 6 in),,,https://kpop.fandom.com/wiki/Shin_Hye_(1NB),Shin Hye,"Singer, model",,,https://www.instagram.com/helstagram__s2/,,47 kg (104 lb)
,https://kpop.fandom.com//wiki/MYSTIC89,MYSTIC89,https://kpop.fandom.com//wiki/LUCY_(band),LUCY,Shin Gwang-il (신광일),"Geoje, Gyeongsangnam-do, South Korea",,,,,,"May 8, 2020",174 cm (5 ft 9 in),"Guitar, drums, bass",,https://kpop.fandom.com/wiki/Shin_Gwang_Il,Shin Gwang Il,"Singer, songwriter, musician, producer",,,"https://www.instagram.com/gwangil_shin/,https://twitter.com/shingwangil,https://soundcloud.com/who-am-i-617722102,https://www.youtube.com/channel/UCFOIw-F6nf2hu5bpTah3qRQ",,
2021,,,https://kpop.fandom.com//wiki/LOUD,LOUD,Shin Hae–in (신해인),,,,,,,,,,,https://kpop.fandom.com/wiki/Shin_Hae_In,Shin Hae In,"Dancer, singer",,,,,
2020–present,https://kpop.fandom.com//wiki/Maroo_Entertainment,Maroo Entertainment,https://kpop.fandom.com//wiki/GHOST9,GHOST9,Kim Su-hyun (김수현),"Seoul, South Korea",,,,,,"September 23, 2020",,,,https://kpop.fandom.com/wiki/Shin_(GHOST9),Shin,Singer,,,,,
2020–2021,,,https://kpop.fandom.com//wiki/BLITZERS,BLITZERS,Shim Chan-woo (심찬우),,,,,,,,,,,https://kpop.fandom.com/wiki/Shim_Chan_Woo,Shim Chan Woo,Trainee,,,https://www.instagram.com/hoo_chanu/,,
2020–present,,,https://kpop.fandom.com//wiki/BOTOPASS,BOTOPASS,Kwon Su-bin (권수빈),"Seongbuk-gu, Seoul, South Korea",,,,,,"August 26, 2020",,,,https://kpop.fandom.com/wiki/Shiho,Shiho,Singer,,,,,
2017–present,https://kpop.fandom.com//wiki/Choon_Entertainment,Choon Entertainment,"https://kpop.fandom.com//wiki/WE_IN_THE_ZONE,https://kpop.fandom.com//wiki/Longguo_%26_Shihyun","WE IN THE ZONE,Longguo & Shihyun",Kim Won (김원),"Changwon, Gyeongsangnam-do, South Korea",A,,,,,"July 31, 2017",175 cm (5 ft 9 in),,Kim Shi-hyun (김시현),https://kpop.fandom.com/wiki/Shihyun,Shihyun,Singer,,,https://www.instagram.com/shihyun0506/,,58 kg (128 lb)
2012-present,,,https://kpop.fandom.com//wiki/CROSS_GENE,CROSS GENE,Shin Won-ho (신원호),South Korea,A,,,,,"June 11, 2012",186 cm (6 ft 1 in),,,https://kpop.fandom.com/wiki/Shin_(CROSS_GENE),Shin,"Singer, actor",,,https://www.instagram.com/cg__shinwonho/,"November 27, 2018",68 kg (150 lb)
2014–present,,,https://kpop.fandom.com//wiki/Year_7_Class_1,Year 7 Class 1,Kim Hyun A,"Cheongju, Chungcheongbuk-do, South Korea",,,,,,,157 cm (5’1′),,,https://kpop.fandom.com/wiki/Shin_Ee_Rang,Yirang,Singer,,,,,45 kg (99 lbs)
2021–present,"https://kpop.fandom.com//wiki/MYSTIC_Story,https://kpop.fandom.com//wiki/A_team_Entertainment","MYSTIC Story,A team Entertainment","https://kpop.fandom.com//wiki/Billlie,https://kpop.fandom.com//wiki/Girls_Planet_999","Billlie,Girls Planet 999",Kim Su-yeon (김수연),"Yeonsu-gu, Incheon, South Korea",,,,,Orange,"November 27, 2021",162 cm (5 ft 4 in),,,https://kpop.fandom.com/wiki/Sheon,Sheon,Singer,,,,,
2008-present,,,,,Jeon Sin-ae (전시내),"Busan, South Korea",A,,,,,,166 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/Shasa,Shasa,"Singer, model",,,"http://bj.afreecatv.com/v2nara,https://www.instagram.com/shasa_fly/",,48 kg (106 lb)
2013–present,,,https://kpop.fandom.com//wiki/CROSS_GENE,CROSS GENE,Lee Se-young (이세영),"Busan, South Korea",O,,,,,,180 cm (5 ft 11 in),,,https://kpop.fandom.com/wiki/Seyoung_(CROSS_GENE),Seyoung,Singer,,,"https://www.instagram.com/cg_seyoung/,https://www.instagram.com/coiblen/,https://soundcloud.com/coiblen,https://www.youtube.com/channel/UCEUt7yD1IRm5pLkvBPgCzrg",,60 kg (130 lb)
2019–present,https://kpop.fandom.com//wiki/Majesty_Entertainment,Majesty Entertainment,https://kpop.fandom.com//wiki/PURPLEBECK,PURPLEBECK,Park Se-yeon (박세연),South Korea,AB,,,,,"June 24, 2019",167 cm (5 ft 6 in),,,https://kpop.fandom.com/wiki/Seyeon_(PURPLEBECK),Seyeon,Singer,,,,,46 kg (101 lb)
2011–present,https://kpop.fandom.com//wiki/H2media,H2media,"https://kpop.fandom.com//wiki/MYNAME,https://kpop.fandom.com//wiki/The_Unit","MYNAME,The Unit",Kim Seyong (김세용),"Busan, South Korea",O,,,,,,177 cm (5 ft 10 in),,,https://kpop.fandom.com/wiki/Seyong,Seyong,"Singer, rapper",,,"https://www.instagram.com/sy_911120/,https://twitter.com/MYNAME_KYong,https://www.youtube.com/channel/UCciJlizXzdDbjTavLaNRHRg",,59 kg (130 lb)
2019–present,,,https://kpop.fandom.com//wiki/LABELUP,LABELUP,,South Korea,B,,,,,,164.5 cm (5 ft 4.8 in),,,https://kpop.fandom.com/wiki/Seyeon_(LABELUP),Seyeon,Singer,,,"https://www.instagram.com/labelup_seyeon/,https://twitter.com/LABELUP_SeYeon",,47 kg (104 lb)
2012–present,https://kpop.fandom.com//wiki/DSP_Media,DSP Media,https://kpop.fandom.com//wiki/A-JAX,A-JAX,Lee Seung-yeop (이승엽),"Ilsan, Goyang, Gyeonggi, South Korea",B,,,,,"June 1, 2012",185 cm,,,https://kpop.fandom.com/wiki/Seungyeop,Seungyeop,"Singer, actor",,,,,67 kg
2020–present,https://kpop.fandom.com//wiki/Shine_E%26M,Shine E&M,https://kpop.fandom.com//wiki/Clip,Clip,Ahn Seung-won (안승원),South Korea,,,,,,,,,,https://kpop.fandom.com/wiki/Seungwon_(Clip),Seungwon,Trainee,,,"https://www.instagram.com/dnjs_tnd_dl04/,https://www.instagram.com/monkey_one_04/",,
2017–present,https://kpop.fandom.com//wiki/JYP_Entertainment,JYP Entertainment,https://kpop.fandom.com//wiki/Stray_Kids,Stray Kids,Kim Seung-min (김승민),"Seoul, South Korea",A,,,,,"March 25, 2018",178 cm (5 ft 10 in),,,https://kpop.fandom.com/wiki/Seungmin_(Stray_Kids),Seungmin,"Singer, songwriter, composer, host",,,,,
2006–2019,https://kpop.fandom.com//wiki/YG_Entertainment,YG Entertainment,"https://kpop.fandom.com//wiki/BIGBANG,https://kpop.fandom.com//wiki/YG_Family","BIGBANG,YG Family",Lee Seung-hyun (이승현),"Gwangju, South Korea",,,,,,,,,,https://kpop.fandom.com/wiki/Seungri,Seungri,"Singer, actor",,,,,
2017–present,https://kpop.fandom.com//wiki/LUK_Factory,LUK Factory,"https://kpop.fandom.com//wiki/Hashtag,https://kpop.fandom.com//wiki/PURPLE_(group)","Hashtag,PURPLE",Lee Seung-min (이승민),South Korea,,,,,,"October 11, 2017",162 cm (5 ft 4 in),,,https://kpop.fandom.com/wiki/Seungmin_(Hashtag),Seungmin,Singer,,,,,
2015–present,https://kpop.fandom.com//wiki/Pledis_Entertainment,Pledis Entertainment,"https://kpop.fandom.com//wiki/SEVENTEEN,https://kpop.fandom.com//wiki/BSS","SEVENTEEN,BSS",Boo Seung-kwan (부승관),"Busan, South Korea",B,,,,,"May 26, 2015",174 cm (5 ft 9 in),,,https://kpop.fandom.com/wiki/Seungkwan,Seungkwan,Singer,,,https://www.instagram.com/pledis_boos/,,60 kg (130 lb)
2015–present,https://kpop.fandom.com//wiki/Cube_Entertainment,Cube Entertainment,https://kpop.fandom.com//wiki/CLC,CLC,Jang Seung-yeon (장승연),"Seongnam, Gyeonggi-do, South Korea",A,,,,,"March 19, 2015",163 cm (5 ft 4 in),,,https://kpop.fandom.com/wiki/Seungyeon_(CLC),Seungyeon,Singer,,,"https://www.instagram.com/seung_monkey/,https://www.tiktok.com/@seung_monkey,https://www.youtube.com/channel/UCPBnTm5J5ghObC9xFh5pq3w",,49 kg (108 lb)
2017-present,,,https://kpop.fandom.com//wiki/PARADISE,PARADISE,Lee Seung-jin (이승진),,,,,,,"April 18, 2017",178 cm,,,https://kpop.fandom.com/wiki/Seungjin_(PARADISE),Seungjin,Singer,,,https://www.instagram.com/lsj6967/,,65 kg
2016–present,https://kpop.fandom.com//wiki/DSP_Media,DSP Media,"https://kpop.fandom.com//wiki/A-JAX,https://kpop.fandom.com//wiki/The_Unit","A-JAX,The Unit",Ham Seung-jin (함승진),"Busan, South Korea",B,,,,,,176 cm,,,https://kpop.fandom.com/wiki/Seungjin,Seungjin,Singer,,,,,60 kg
2017–present,,,"https://kpop.fandom.com//wiki/Limesoda,https://kpop.fandom.com//wiki/AQUA","Limesoda,AQUA",Na Seung-ji (나승지),South Korea,B,,,,,"July 12, 2017",158 cm (5 ft 2 in),,,https://kpop.fandom.com/wiki/Seungji_(Limesoda),Seungji,"Rapper, singer",,,"https://www.instagram.com/ssj_3725/,https://twitter.com/xseungjix",,43 kg (95 lb)
2015–present,,,https://kpop.fandom.com//wiki/ROMEO_(group),ROMEO,Lee Seung Hwan (이승환),,A,,,,,,,,,https://kpop.fandom.com/wiki/Seunghwan_(ROMEO),Seunghwan,Singer,,,,,
2015–present,https://kpop.fandom.com//wiki/Cube_Entertainment,Cube Entertainment,https://kpop.fandom.com//wiki/CLC,CLC,Oh Seung-hee (오승희),"Gwangju, South Korea",A,,,,,"March 19, 2015",163 cm (5 ft 4 in),"Guitar, piano",,https://kpop.fandom.com/wiki/Seunghee_(CLC),Seunghee,Singer,,,"https://www.instagram.com/ohseunghee_official_/,https://www.youtube.com/channel/UCz8AcyS6eJvTWNdPGx57pEQ",,50 kg (110 lb)
2015–present,https://kpop.fandom.com//wiki/WM_Entertainment,WM Entertainment,https://kpop.fandom.com//wiki/OH_MY_GIRL,OH MY GIRL,Hyun Seung-hee (현승희),"Chuncheon, Gangwon-do, South Korea",B,Hyun Chae-hee,[None],,,"April 20, 2015",159 cm (5 ft 3 in),Guitar,,https://kpop.fandom.com/wiki/Seunghee_(OH_MY_GIRL),Seunghee,Singer,,,https://www.instagram.com/hyun_maxiang/,,44 kg (97 lb)
2017–2018,https://kpop.fandom.com//wiki/PR_Entertainment,PR Entertainment,https://kpop.fandom.com//wiki/BaBa,BaBa,Chae Seung-ha (채승하),,A,,,,,"July 3, 2018",165 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/Seungha,Seungha,"Singer, rapper, actress",,,https://www.instagram.com/seungha_s2/,,44 kg (97 lb)
2019–present,https://kpop.fandom.com//wiki/MNH_Entertainment,MNH Entertainment,"https://kpop.fandom.com//wiki/BVNDIT,https://kpop.fandom.com//wiki/Girls_Planet_999","BVNDIT,Girls Planet 999",Sim Seung-eun (심승은),,B,,,,,"April 10, 2019",166 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/Seungeun_(BVNDIT),Seungeun,Singer,,,,,48 kg (106 lb)
2019–present,https://kpop.fandom.com//wiki/E_Entertainment,E Entertainment,"https://kpop.fandom.com//wiki/E%27LAST,https://kpop.fandom.com//wiki/E%27LAST_U","E'LAST,E'LAST U",Choi Seung-yeop (최승엽),,B,,,,,"June 9, 2020",176 cm (5 ft 9 in),,,https://kpop.fandom.com/wiki/Seung_Yeop,Seung Yeop,Singer,,,,,60 kg (130 lb)
2018–present,,,https://kpop.fandom.com//wiki/Sugar_Tint,Sugar Tint,,South Korea,,,,,,"September 28, 2018",158 cm (5 ft 2 in),,,https://kpop.fandom.com/wiki/Seunga_(Sugar_Tint),Seunga,Singer,,,,,45 kg (99 lb)
2019-present,https://kpop.fandom.com//wiki/Chrome_Entertainment,Chrome Entertainment,https://kpop.fandom.com//wiki/Bz-Boys,Bz-Boys,Jeong Seung-hyun (정승현),"Daejeon, South Korea",A,,,,,"June 17, 2019",178 cm (5 ft 10 in),,,https://kpop.fandom.com/wiki/Seung_Hyun,Seung Hyun,Singer,,,,,60 kg (130 lb)
2017–present,https://kpop.fandom.com//wiki/Woollim_Entertainment,Woollim Entertainment,https://kpop.fandom.com//wiki/Golden_Child,Golden Child,Bae Seung-min (배승민),"Gwangju, South Korea",A,,,,,"August 28, 2017",,,,https://kpop.fandom.com/wiki/Seung_Min_(Golden_Child),Seung Min,Singer,,,,,
2019-present,,,https://kpop.fandom.com//wiki/DUSTIN,DUSTIN,Lee Seung-han (이승한),,,,,,,"January 6, 2020",,,,https://kpop.fandom.com/wiki/Seung_Han,Seung Han,Singer,,,,,
2018–present,,,https://kpop.fandom.com//wiki/MIDNIGHT_(group),MIDNIGHT,Kim Seung-eun (김승은),South Korea,,,,,,,162 cm (5 ft 4 in),,,https://kpop.fandom.com/wiki/Seungeun_(MIDNIGHT),Seungeun,"Singer, Actress, Model",,,https://www.instagram.com/se.0211/,,48 kg (106 lb)
2016–present,,,https://kpop.fandom.com//wiki/Various,Various,,,,,,,,,,,,https://kpop.fandom.com/wiki/Seulki_(Various),Seulki,Singer,,,,,
2017–present,https://kpop.fandom.com//wiki/DAM_Entertainment,DAM Entertainment,"https://kpop.fandom.com//wiki/Daydream_(2019_group),https://kpop.fandom.com//wiki/Switch_Berry","Daydream,Switch Berry",Ji-eun (지은),South Korea,,,,,,"February 23, 2020",157 cm (5 ft 2 in),,,https://kpop.fandom.com/wiki/Sarang_(Daydream),Sarang,Singer,,,https://www.instagram.com/d_d._.s2/,,
2015–2016,,,https://kpop.fandom.com//wiki/Cupid_(group),Cupid,Kim Sa-rang (김사랑),"Jeonju, Jeollabuk-do, South Korea",A,,,,,"April 29, 2015",165 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/Sarang_(Cupid),Sarang,Actress,,,,,
2019–present,,,https://kpop.fandom.com//wiki/Honey_Popcorn,"Honey Popcorn,bitter chocolate,Yanchan Gakuen Ongakubu,Idoling!!!",Hashimoto Kaede (橋本 楓),"Kanagawa, Japan",A,Hashimoto Ruka,[None],,Pastel Blue,March 2009,161 cm (5 ft 3 in),,,https://kpop.fandom.com/wiki/Sara_Izumi,Sara Izumi,Singer,,,,,
2015–2016,,,https://kpop.fandom.com//wiki/VIVIDIVA,VIVIDIVA,Jeon Sa-ra (전사라),South Korea,,,,,,,,,,https://kpop.fandom.com/wiki/Sara_(VIVIDIVA),Sara,Singer,,,,,
2020–present,,,https://kpop.fandom.com//wiki/HeyGirls,HeyGirls,,South Korea,,,,,,"April 29, 2021",,,,https://kpop.fandom.com/wiki/Sara_(HeyGirls),Sara,singer,,,,,
2017–present,"https://kpop.fandom.com//wiki/IST_Entertainment,https://kpop.fandom.com//wiki/Cre.ker_Entertainment","IST Entertainment,Cre.ker Entertainment",https://kpop.fandom.com//wiki/THE_BOYZ,THE BOYZ,Lee Sang-yeon (이상연),"Seoul, South Korea",A,,,,,"December 6, 2017",176 cm (5 ft 9 in),,,https://kpop.fandom.com/wiki/Sangyeon,Sangyeon,Singer,,,,,61 kg (134 lb)
2015–present,https://kpop.fandom.com//wiki/2ABLE_Company,2ABLE Company,"https://kpop.fandom.com//wiki/MustB,https://kpop.fandom.com//wiki/Underdog,https://kpop.fandom.com//wiki/BLAST,https://kpop.fandom.com//wiki/PUREBOY","MustB,Underdog,BLAST,PUREBOY",Oh Sang-woo (오상우),,,,,,,,177 cm,,,https://kpop.fandom.com/wiki/Sangwoo_(MustB),Sangwoo,"Singer, rapper",,,,,
2021–present,https://kpop.fandom.com//wiki/Bluedot_Entertainment,Bluedot Entertainment,https://kpop.fandom.com//wiki/JUST_B,JUST B,Kim Sang-woo (김상우),"Jeju Island, South Korea",A,,,,,"June 30, 2021",,,,https://kpop.fandom.com/wiki/Sangwoo_(JUST_B),Sangwoo,Singer,,,,,
2013–present,https://kpop.fandom.com//wiki/Hunus_Entertainment,Hunus Entertainment,https://kpop.fandom.com//wiki/XENO-T,XENO-T,Seo Sang-won (서상원),"Seoul, South Korea",A,,,,,"October 22, 2013",178 cm (5 ft 10 in),,,https://kpop.fandom.com/wiki/Sangwon_(XENO-T),Sangwon,"Rapper, singer, producer",,,https://www.instagram.com/sangwonseo95/,,
2018–present,"https://kpop.fandom.com//wiki/C9_Entertainment,https://kpop.fandom.com//wiki/YG_Entertainment,https://kpop.fandom.com//wiki/Cube_Entertainment","C9 Entertainment,YG Entertainment,Cube Entertainment","https://kpop.fandom.com//wiki/CIX,https://kpop.fandom.com//wiki/YG_Treasure_Box","CIX,YG Treasure Box",Kim Seung-hun (김승훈),"Cheongju, North Chungcheong, South Korea",B,,,,,"July 23, 2019",181 cm (5 ft 11 in),,,https://kpop.fandom.com/wiki/Seung_Hun_(CIX),Seung Hun,"Singer, actor",,,,,69 kg (152 lb)
2015-2018,,,"https://kpop.fandom.com//wiki/O_My_Jewel,https://kpop.fandom.com//wiki/Melody_Pink,https://kpop.fandom.com//wiki/H2L,https://kpop.fandom.com//wiki/H2L","O My Jewel,The Singing Girls,H2L,SUS4",Kim San-ha (김산하),"Changwon, South Korea",,,,,,"November 15, 2017",168 cm (5 ft 6 in),,,https://kpop.fandom.com/wiki/Sanha_(O_My_Jewel),Sanha,Singer,,,https://www.instagram.com/sanha_4us/,,
2013–2015,,,https://kpop.fandom.com//wiki/TINT,TINT,Lee Sang-mi (이상미),,O,,,,,,162 cm (5 ft 4 in),,,https://kpop.fandom.com/wiki/Sangmi,Sangmi,"Singer, actress",,,,,45 kg (99 lb)
2012–present,,,https://kpop.fandom.com//wiki/CROSS_GENE,CROSS GENE,Kim Sang-min (김상민),South Korea,O,,,,,,178 cm (5 ft 10 in),,,https://kpop.fandom.com/wiki/Sangmin_(CROSS_GENE),Sangmin,Rapper,,,"https://www.instagram.com/charming7700/,https://www.instagram.com/cg_sangmin/,https://www.tiktok.com/@pearljjang,https://www.youtube.com/channel/UCzU3hS5Dmf1sjzAm1y7e_iw",,68 kg (150 lb)
2012-2013,https://kpop.fandom.com//wiki/TOP_Media,TOP Media,https://kpop.fandom.com//wiki/100%25_(group),100%,Lee Sang-hoon (이상훈),,,,,,,"September 18, 2012",,,,https://kpop.fandom.com/wiki/Sanghoon_(100%25),Sanghoon,Singer,,,https://www.instagram.com/danielllsh/,,
2015–present,,,https://kpop.fandom.com//wiki/SNUPER,SNUPER,Shin Sang-il (심상일),"Seoul, South Korea",O,,,,,,179 cm,,,https://kpop.fandom.com/wiki/Sang_Il,Sang Il,Singer,,,https://www.instagram.com/sang2ru_/,,56 kg
2013–present,https://kpop.fandom.com//wiki/Hunus_Entertainment,Hunus Entertainment,https://kpop.fandom.com//wiki/XENO-T,XENO-T,Yu Sang-do (유상도),"Incheon, South Korea",,,,,,"October 22, 2013",181 cm,,,https://kpop.fandom.com/wiki/Sangdo,Sangdo,Singer,,,https://www.instagram.com/ssddrr/,,
2013–present,"https://kpop.fandom.com//wiki/Star_Road_Entertainment,https://kpop.fandom.com/#cite_note-1,https://kpop.fandom.com//wiki/Hunus_Entertainment","Star Road Entertainment,[1],Hunus Entertainment","https://kpop.fandom.com//wiki/JBJ95,https://kpop.fandom.com//wiki/JBJ,https://kpop.fandom.com//wiki/ToppDogg,https://kpop.fandom.com//wiki/Produce_101_Season_2","JBJ95,JBJ,ToppDogg,Produce 101 Season 2",Kim Sang-gyun (김상균),"Gwangju, South Korea",O,,,,,"October 24, 2013",173 cm (5 ft 8 in),,,https://kpop.fandom.com/wiki/Sanggyun,Sanggyun,"Rapper, singer, lyricist",,,"https://www.instagram.com/8eomatom/,https://twitter.com/kimsanggyun_twt",,55 kg (121 lb)
2012–present,,,https://kpop.fandom.com//wiki/A.cian,A.cian,Im Sang Hyeon (임상현),South Korea,B,,,,,,178 cm,,,https://kpop.fandom.com/wiki/Sang_Hyeon,Sang Hyeon,Singer,,,https://www.instagram.com/sanghyeon_0630/,,62 kg
2016–present,,,https://kpop.fandom.com//wiki/INX,INX,Lee Sang Ho (이상호),"Busan, South Korea",AB,,,,,,183 cm,,,https://kpop.fandom.com/wiki/Sang_Ho_(INX),Sang Ho,Singer,,,,,64 kg
2016-present,"https://kpop.fandom.com//wiki/UPVOTE_Entertainment,https://kpop.fandom.com//wiki/MYSTIC_Entertainment,https://kpop.fandom.com//wiki/YGX","UPVOTE Entertainment,MYSTIC Entertainment,YGX",,,Ha Seon-ho (하선호),"Seoul, South Korea",,,,,,,157 cm (5 ft 2 in),,,https://kpop.fandom.com/wiki/Sandy_(rapper),Sandy,Rapper,,,"https://www.instagram.com/sandybeach0205/,https://soundcloud.com/sandybeach0205,https://www.youtube.com/channel/UCeBMiOzwyxXVIrk5nNJljiA","September 28, 2019",
2017–2018,https://kpop.fandom.com//wiki/GH_Entertainment,GH Entertainment,"https://kpop.fandom.com//wiki/Apple.B,https://kpop.fandom.com//wiki/The_Unit","Apple.B,The Unit",Sandra Victoria Seo,"Vancouver, Canada",O,,,,,"August 1, 2017",162 cm (5 ft 4 in),,,https://kpop.fandom.com/wiki/Sandy_(Apple.B),Sandy (Apple.B),Singer,,,,,46 kg (101 lb)
2011–present,https://kpop.fandom.com//wiki/WM_Entertainment,WM Entertainment,https://kpop.fandom.com//wiki/B1A4,B1A4,Lee Jung-hwan (이정환),"Busan, South Korea",A,,,,,"April 23, 2011",178 cm (5 ft 10 in),,,https://kpop.fandom.com/wiki/Sandeul,Sandeul,Singer,,,"https://www.instagram.com/sandoriganatanatda/,https://twitter.com/SANDEUL920320","October 4, 2016",61 kg (134 lb)
2014–2015,,,https://kpop.fandom.com//wiki/BEATWIN,BEATWIN,An Sang-gyu (안상규),,A,,,,,,175 cm (5 ft 9 in),,,https://kpop.fandom.com/wiki/San_Gyu,San Gyu,Singer,,,,,63 kg (139 lb)
