,Unnamed: 0,name,title,company_ticker,source
10470,10470,Edmund Moriz Forster,Senior Independent Non-Executive Director,IMI,investing
10471,10471,James R. Ashton,Non-Executive Director,FGT,investing
10472,10472,Sandeep Jalan,Non-Independent Director,APAM,investing
10473,10473,Lawton Wehle Fitt,Independent Non-Executive Director,MCRO,investing
10474,10474,Sabine Beutert,Employee Representative Independent Member of Supervisory Board,DEZG,investing
10475,10475,Renato Arie,Independent Member of Supervisory Board,EUR,investing
10476,10476,Isobel Sharp,Independent Non-Executive Director,IMI,investing
10477,10477,Rosalind Rivaz,Lead Independent Director,APAM,investing
10478,10478,Amanda Brown,Independent Non-Executive Director,MCRO,investing
10479,10479,Hans-Joachim Koerber,Independent Chairman of Supervisory Board,EUR,investing
10480,10480,Caroline Dowling,Independent Non-Executive Director,IMI,investing
10481,10481,Rudolf Maier,Member of the Supervisory Board,DEZG,investing
10482,10482,Jorge Mora,Independent Member of Supervisory Board,EUR,investing
10483,10483,Thomas Thune Andersen,Senior Independent Non-Executive Director,IMI,investing
10484,10484,Edward Bouygues,Deputy CEO & Representative Director,BOUY,investing
10485,10485,Gilles Christian Gerard Pelisson,Chairman & CEO of TF1,BOUY,investing
10486,10486,Martin Bouygues,Chairman of the Board,BOUY,investing
10487,10487,Philippe Bonnave,Chairman & CEO of Bouygues Construction,BOUY,investing
10488,10488,Francisco José Valente Hipólito dos Santos,Member of Supervisory Board,EUR,investing
10489,10489,Ali Yener,Employee Representative Independent Member of Supervisory Board,DEZG,investing
10490,10490,Katie Jackson,Independent Non-Executive Director,IMI,investing
10491,10491,Cyril Bouygues,Director,BOUY,investing
10492,10492,Olivier Bouygues,Director,BOUY,investing
10493,10493,Roger Bostrom,Employee Representative Director,SCAb,investing
10494,10494,Richard Viel,CEO & Chairman of Bouygues Telecom SA,BOUY,investing
10495,10495,Peter Olsson,Employee Representative Deputy Director,SCAb,investing
10496,10496,Niclas Andersson,Employee Representative Director,SCAb,investing
10497,10497,Colette Lewiner,Independent Director,BOUY,investing
10498,10498,Ulf Larsson,"President, CEO & Director",SCAb,investing
10499,10499,Raphaëlle Deflesselle,Employee Representative Director,BOUY,investing
10500,10500,Ajai Puri,Non-Executive Director,IMI,investing
10501,10501,Bo Rydin,Honorary Chairman of the Board,SCAb,investing
10502,10502,Bert Ake Stefan Nordberg,Independent Director,SCAb,investing
10503,10503,Pascaline Peugeot de Dreuzy,Independent Director,BOUY,investing
10504,10504,Anders Sundstrom,Independent Director,SCAb,investing
10505,10505,Bernard Allain,Employee Representative Director,BOUY,investing
10506,10506,Lennart Evrell,Independent Director,SCAb,investing
10507,10507,Benoît Maes,Independent Director,BOUY,investing
10508,10508,Charlotte Bengtsson,Director,SCAb,investing
10509,10509,Rose-Marie Van Lerberghe,Independent Director,BOUY,investing
10510,10510,Maria Jonsson,Employee Representative Deputy Director,SCAb,investing
10511,10511,Michèle Vilain,Employee Representative Director,BOUY,investing
10512,10512,Johanna Viklund Linden,Employee Representative Director,SCAb,investing
10513,10513,Clara Gaymard,Independent Director,BOUY,investing
10514,10514,Stefan Lundkvist,Employee Representative Deputy Director,SCAb,investing
10515,10515,Robert H. Youngjohns,Independent Non-Executive Director,MCRO,investing
10516,10516,Béatrice Besombes,Employee Representative Director,BOUY,investing
10517,10517,Annemarie Gardshol,Independent Director,SCAb,investing
10518,10518,Frederic Gardes,CEO & Chairman of Colas,BOUY,investing
10519,10519,Carina Hakansson,Director,SCAb,investing
10520,10520,Par Boman,Independent Chairman of the Board,SCAb,investing
10521,10521,Barbara Rose Milian Thoralfsson,Independent Director,SCAb,investing
10522,10522,Martin Lindqvist,Independent Director,SCAb,investing
10523,10523,Gregory Lock,Non-Executive Chairman,MCRO,investing
10524,10524,Sophie Albrecht,Independent Member of Supervisory Board,DEZG,investing
10525,10525,Antal Gyorgy Kovacs,Deputy CEO of Retail Division & Executive Director,OTPB,investing
10526,10526,Pauline Campbell,Independent Non-Executive Director,MCRO,investing
10527,10527,Tamas Gyorgy Erdei,Independent Vice Chairman,OTPB,investing
10528,10528,Mihaly Baumstark,Independent Non-Executive Director,OTPB,investing
10529,10529,Gábor József Horváth,Deputy Chairman of the Supervisory Board,OTPB,investing
10530,10530,Marton Gellert Vagi,Director,OTPB,investing
10531,10531,István Gresa,Independent Non-Executive Director,OTPB,investing
10532,10532,Gyorgy Nagy,Director,OTPB,investing
10533,10533,Tibor Tolnay,Chairman of the Supervisory Board,OTPB,investing
10534,10534,Gabriella Balogh,Non-Executive Director,OTPB,investing
10535,10535,Jozsef Zoltan Voros,Independent Non-Executive Director,OTPB,investing
10536,10536,Yavuz Büyükdag,Employee Representative Independent Member of Supervisory Board,DEZG,investing
10537,10537,Klára Bella,Member of Supervisory Board,OTPB,investing
10538,10538,Tamas Gudra,Member of Supervisory Board,OTPB,investing
10539,10539,Olivier Pequeux,Member of the Supervisory Board,OTPB,investing
10540,10540,László Wolf,Deputy CEO of Commercial Banking Division & Executive Director,OTPB,investing
10541,10541,Jukka Pertola,Independent Chairman,ASTK,investing
10542,10542,Peter Csanyi,Deputy CEO of Digital Division & Director,OTPB,investing
10543,10543,András Michnai,Member of the Supervisory Board & MD,OTPB,investing
10544,10544,Jorgen Smidt,Independent Director,ASTK,investing
10545,10545,Bernd Bohr,Independent Supervisory Board Chairman,DEZG,investing
10546,10546,Sandor Csanyi,"Chairman, CEO & MD of Group Governance Directorate",OTPB,investing
10547,10547,Maria H. Hjorth,Independent Director,ASTK,investing
10548,10548,Patricia Geibel-Conrad,Independent Member of Supervisory Board,DEZG,investing
10549,10549,Erik Damsgaard,Independent Vice Chairman of the Board,ASTK,investing
10550,10550,Anne Worsøe,Director,PHO,investing
10551,10551,Alois Ludwig,Independent Member of Supervisory Board,DEZG,investing
10552,10552,Jan Hendrik Egberts,Independent Chairperson,PHO,investing
10553,10553,Peter Alan Cowgill,Executive Chairman,JD,investing
10554,10554,Neil Greenhalgh,CFO & Director,JD,investing
10555,10555,Corinna Töpfer-Hartung,Independent Deputy Chairwoman of Supervisory Board & Employee Representative Member,DEZG,investing
10556,10556,Heather Louise Jackson,Independent Non-Executive Director,JD,investing
10557,10557,Kath Smith,Independent Non-Executive Director,JD,investing
10558,10558,Johanna Holldack,Independent Director,PHO,investing
10559,10559,Hubertus Hoyt,Non-Executive Director,JD,investing
10560,10560,Andy M. Long,Non-Executive Director,JD,investing
10561,10561,Helen Jane Ashton,Non-Executive Director,JD,investing
10562,10562,Karl-Heinz Müller,Vice Chairman of Khd Humboldt Wedag Ag Cologne,DEZG,investing
10563,10563,Anders Tuv,Independent Director,PHO,investing
10564,10564,Fabian Dietrich,Employee Representative Member of Supervisory Board,DEZG,investing
10565,10565,Grannum R. Sant,Independent Director,PHO,investing
10566,10566,Anne H. Worsoe,Independent Director,PHO,investing
10567,10567,Adolfo Valderas Martínez,Chairman & CEO of Flatiron,ACS,investing
10568,10568,Juan Santamaria Cases,Chairman & CEO of CIMIC Group,ACS,investing
10569,10569,Pedro Jose Lopez Jimenez,External Director,ACS,investing
10570,10570,Anastassos Televantides,Independent Director,AGRODR,investing
10571,10571,Emilio García Gallego,Independent Director,ACS,investing
10572,10572,Giacomo Mareschi Danieli,"Group CEO, Member of Group Executive Board & Director",DANI,investing
10573,10573,Antonio Botella García,Independent Director,ACS,investing
10574,10574,Richard Andrew Smyth,Independent Director,AGRODR,investing
10575,10575,Maxim Dmitrievich Basov,CEO & Executive Director,AGRODR,investing
10576,10576,Florentino Pérez Rodríguez,Executive Chairman,ACS,investing
10577,10577,Gianpietro Benedetti,Chairman & Chairman of Group Executive Board,DANI,investing
10578,10578,Catherine Janet Glickman,Independent Non-Executive Director,RSW,investing
10579,10579,Sophie Tomasi Parise,Employee Representative Member of Supervisory Board & Tax Manager,MWDP,investing
10580,10580,Ganna Khomenko,"MD, Compliance Officer & Director",AGRODR,investing
10581,10581,Catalina Minarro Brugarolas,Independent Director,ACS,investing
10582,10582,Giulio Capocaccia,Independent Director,DANI,investing
10583,10583,John Jeans,Independent Non-Executive Director,RSW,investing
10584,10584,Vadim Moshkovich,Founder & Chairman,AGRODR,investing
10585,10585,Guylaine Saucier,Independent Member of Supervisory Board,MWDP,investing
10586,10586,José Eladio Seco Domínguez,Independent Director,ACS,investing
10587,10587,David Grant,Senior Independent Director,RSW,investing
10588,10588,Alessandro Brussi,"Vice Chairman, Vice Chairman of Group Executive Board & Group CFO",DANI,investing
10589,10589,Edouard de L'Espee,Member of Supervisory Board,MWDP,investing
10590,10590,Peter J. Davoren,Chairman & Chief Executive Officer of Turner Construction,ACS,investing
10591,10591,David John Deer,Co-Founder & Non-Executive Deputy Chairman,RSW,investing
10592,10592,Carla De Colle,"Chairwoman of Steelmaking, Member of Group Executive Board & Director",DANI,investing
10593,10593,Carol T. Chesney,Independent Non-Executive Director,RSW,investing
10594,10594,Carmen Fernández Rozado,Independent Director,ACS,investing
10595,10595,Humbert de Wendel,Member of Supervisory Board,MWDP,investing
10596,10596,Gaetano Terrin,Standing Auditor,DANI,investing
10597,10597,Sean Hymas,President & Representative Director of Renishaw KK,RSW,investing
10598,10598,Agustín Batuecas Torrego,Executive Director,ACS,investing
10599,10599,Jacqueline A. Tammenoms Bakker,Independent Member of Supervisory Board,MWDP,investing
10600,10600,Vincenza Bellettini,Standing Auditor,DANI,investing
10601,10601,William Lee,Chief Executive & Director,RSW,investing
10602,10602,Franca Bertagnin Benetton,Independent Member of Supervisory Board,MWDP,investing
10603,10603,Joan-David Grimà I Terré,External Director,ACS,investing
10604,10604,David R. McMurtry,Co-Founder & Executive Chairman,RSW,investing
10605,10605,Eugenio Llorente Gómez,Chairman & Chief Executive Officer of Industrial Services Division,ACS,investing
10606,10606,Olivier Legrain,Chairman of Materis Paints,MWDP,investing
10607,10607,Chiara Mio,Independent Director,DANI,investing
10608,10608,Herb D. Depp,Independent Member of the Supervisory Board,AMG,investing
10609,10609,Allen C. G. Roberts,Group Finance Director & Director,RSW,investing
10610,10610,Benedicte Coste,Member of Supervisory Board,MWDP,investing
10611,10611,Camilla Benedetti,"Vice Chairwoman, EVP of Human Resources & Member of Executive Board",DANI,investing
10612,10612,Jose Javier Echenique Landiribar,Proprietary Director,ACS,investing
10613,10613,Willem G. van Hassel,Independent Vice Chairman of the Supervisory Board,AMG,investing
10614,10614,Priscilla de Moustier,Member of Supervisory Board,MWDP,investing
10615,10615,Antonello Mordeglia,Director,DANI,investing
10616,10616,Jose-Luis del Valle Perez,General Secretary & Executive Director,ACS,investing
10617,10617,Miquel Roca I Junyent,External Director,ACS,investing
10618,10618,Cecilia Metra,Director,DANI,investing
10619,10619,Thomas de Villeneuve,Member of Supervisory Board,MWDP,investing
10620,10620,Warmolt Prins,Independent Member of Supervisory Board,AMG,investing
10621,10621,Mariano Hernández Herreros,Proprietary Director,ACS,investing
10622,10622,Rolando Paolone,"Group CEO, CTO, Member of Group Executive Board & Director",DANI,investing
10623,10623,Nicolas Ver Hulst,Chairman of the Supervisory Board,MWDP,investing
10624,10624,Dagmar Bottenbruch,Independent Member of the Supervisory Board,AMG,investing
10625,10625,María Del Carmen Ana Fernández Rozado,Member of the Advisory Board,ACS,investing
10626,10626,Davide Barbieri,President of Board of Statutory Auditors,DANI,investing
10627,10627,Nicholas Ferguson,Independent Member of Supervisory Board,MWDP,investing
10628,10628,Donatella Ceccarelli,Independent Member of the Supervisory Board,AMG,investing
10629,10629,Bernd Frank Sachse,Employee Representative Member of Supervisory Board,SZUG,investing
10630,10630,Antonio García Ferrer,Vice-Chairman,ACS,investing
10631,10631,Giulio Gallazzi,Director,DANI,investing
10632,10632,Harper Mates,MD & Employee Representative Member of Supervisory Board,MWDP,investing
10633,10633,Steve H. Hanke,Independent Chairman of the Supervisory Board,AMG,investing
10634,10634,Walter Manz,Member of Supervisory Board,SZUG,investing
10635,10635,José María Castillo Lacabex,Chairman of the Board of Dragados,ACS,investing
10636,10636,Gervais Gilles Pellissier,Independent Vice-Chairman & Lead Member of the Supervisory Board,MWDP,investing
10637,10637,Angela Nguyen,Employee Representative Member of Supervisory Board,SZUG,investing
10638,10638,María Soledad Pérez Rodríguez,Proprietary Director,ACS,investing
10639,10639,Sabine Moller,Employee Representative Member of Supervisory Board,SZUG,investing
10640,10640,Susanne Kunschert,Member of Supervisory Board,SZUG,investing
10641,10641,David Pirouet,Independent Non-Executive Director,GCPI,investing
10642,10642,Michael Mckenzie Gray,Non-Executive Director,GCPI,investing
10643,10643,Julia Anne Jennifer Chapman,Non-Executive Director,GCPI,investing
10644,10644,Hans-Jorg Gebhard,Chairman of Supervisory Board,SZUG,investing
10645,10645,Paul de Gruchy,Non Executive Director,GCPI,investing
10646,10646,Stefan Streng,Member of Supervisory Board,SZUG,investing
10647,10647,Gunnar B. Hansen,Independent Director,CEVI,investing
10648,10648,Ian Reeves,Chairman,GCPI,investing
10649,10649,Helmut Friedl,Member of Supervisory Board,SZUG,investing
10650,10650,Dawn Crichard,Non-Executive Director,GCPI,investing
10651,10651,Mikael Worning,Independent Chairman of the Board,CEVI,investing
10652,10652,Nadine Seidemann,Employee Representative Member of Supervisory Board,SZUG,investing
10653,10653,Markus Jonasson Kristoffersson,Independent Director,CEVI,investing
10654,10654,Veronika Haslinger,Member of Supervisory Board,SZUG,investing
10655,10655,Stefan Wolf,Independent Director,CEVI,investing
10656,10656,Franz-Josef Mollenberg,First Deputy Chairman of Supervisory Board,SZUG,investing
10657,10657,Pierre Bellon,Founder & Chairman Emeritus,EXHO,investing
10658,10658,Niko Pakalén,Non Independent Director,NELES,investing
10659,10659,Anna Malm Bernsten,Independent Director,CEVI,investing
10660,10660,Ulrich Gruber,Employee Representative Member of Supervisory Board,SZUG,investing
10661,10661,Philippe Besson,Head of Projects for Sponsorship & Director,EXHO,investing
10662,10662,Sophie Bellon,Interim CEO & Chairwoman,EXHO,investing
10663,10663,Nathalie Bellon-Szabo,CEO Sodexo Live! & Worldwide and Director,EXHO,investing
10664,10664,Kuo Cheng Wang,Independent Director,2317q,investing
10665,10665,Jukka Heikki Tiitinen,Non Independent Director,NELES,investing
10666,10666,Sean Haley,"Region Chair of UK & Ireland, CEO of Service Operations and Chairman of Entegra",EXHO,investing
10667,10667,Even Søfteland,Member of Supervisory Board,GJFG,investing
10668,10668,Christer Fahraeus,Founder & Director,CEVI,investing
10669,10669,Françoise Brougher,Independent Director,EXHO,investing
10670,10670,Julia Merkel,Member of Supervisory Board,SZUG,investing
10671,10671,Gunnar Robert Sellæg,Independent Director,GJFG,investing
10672,10672,François-Xavier Bellon,Director,EXHO,investing
10673,10673,Jon Aniksdal,Member of Supervisory Board,GJFG,investing
10674,10674,Emmanuel Babeau,Independent Director,EXHO,investing
10675,10675,Marit Frogner,Member of Supervisory Board,GJFG,investing
10676,10676,Raimo Brand,Personnel Representative Director,NELES,investing
10677,10677,Cathy Martin,Director,EXHO,investing
10678,10678,Jürgen Riedl,Independent Director,CEVI,investing
10679,10679,Erwin Hameseder,Second Deputy Chairman of Supervisory Board,SZUG,investing
10680,10680,Roger Warud,Member of Supervisory Board,GJFG,investing
10681,10681,Sung-Ching Lu,Representative Director,2317q,investing
10682,10682,Johannes Conradi,Independent Supervisory Board Chairman,AOXG,investing
10683,10683,Federico J. Gonzalez Tejera,Independent Director,EXHO,investing
10684,10684,Vibeke Krag,Independent Director,GJFG,investing
10685,10685,Cécile Tandeau de Marsac,Independent Director,EXHO,investing
10686,10686,Mark E. Vernon,Independent Vice Chair of the Board,NELES,investing
10687,10687,Terje Wold,Member of Supervisory Board,GJFG,investing
10688,10688,Asa Hedin,Independent Director,CEVI,investing
10689,10689,Joachim Rukwied,Member of Supervisory Board,SZUG,investing
10690,10690,Sarah Fiona Arkle,Non-Executive Director,JMG,investing
10691,10691,Yee-Ru Liu,Representative Director,2317q,investing
10692,10692,Geir Holtet,Member of Supervisory Board,GJFG,investing
10693,10693,Sophie Stabile,Independent Director,EXHO,investing
10694,10694,Richard Stephen Mully,Independent Vice Chairman of the Supervisory Board,AOXG,investing
10695,10695,Teija Sarajarvi,Independent Director,NELES,investing
10696,10696,Niklas Prager,Independent Director,CEVI,investing
10697,10697,Veronique Laury-Deroubaix,Independent Director,EXHO,investing
10698,10698,Lasse Wold,Member of Supervisory Board,GJFG,investing
10699,10699,Rolf Wiederhold,Employee Representative Member of Supervisory Board,SZUG,investing
10700,10700,Percy S. Mistry,Independent Non-Executive Director,JMG,investing
10701,10701,Yang-Wei Liu,Chairman & President,2317q,investing
10702,10702,Randi Dille,Member of Supervisory Board,GJFG,investing
10703,10703,Luc J. F. Messier,Independent Director,EXHO,investing
10704,10704,Benoît Hérault,Independent Supervisory Board Member,AOXG,investing
10705,10705,Hilde Merete Nafstad,Independent Director,GJFG,investing
10706,10706,Bennetor Magara,Independent Non-Executive Director,WEIR,investing
10707,10707,Anu Hamalainen,Independent Vice Chairman of the Board,NELES,investing
10708,10708,James Patrick Nolan,Independent Non-Executive Director,IDHC,investing
10709,10709,Ulrike Maiweg,Employee Representative Member of Supervisory Board,SZUG,investing
10710,10710,Andrew Page,Non-Executive Director,JMG,investing
10711,10711,Tai-Ming Gou,Director,2317q,investing
10712,10712,Eivind Elnan,Independent Director,GJFG,investing
10713,10713,Jean-Philippe Kohler,Deputy CEO & Representative Director,GFII,investing
10714,10714,Stephan Adler Petersen,Member of Supervisory Board,GJFG,investing
10715,10715,Elisabeth Talma Stheeman,Independent Supervisory Board Member,AOXG,investing
10716,10716,John Ove Ottestad,Member of Supervisory Board,GJFG,investing
10717,10717,Pål Olimb,Member of Supervisory Board,GJFG,investing
10718,10718,Jackie Mutschler,Member of Technology Advisory Board,WEIR,investing
10719,10719,Tore Vågsmyr,Deputy Director,GJFG,investing
10720,10720,Jaakko Eskola,Chair,NELES,investing
10721,10721,Wolfgang Vogl,Employee Representative Member of Supervisory Board,SZUG,investing
10722,10722,Roy Vedvik,Member of Supervisory Board,GJFG,investing
10723,10723,Ta-wei Kuo,Independent Director,2317q,investing
10724,10724,Anatole Kaletsky,Director,JMG,investing
10725,10725,Anthony Tudor St. John,Independent Non-Executive Chairman,IDHC,investing
10726,10726,Kjell Johnny Andersen,Member of Supervisory Board,GJFG,investing
10727,10727,Emmanuel Viellard,CEO & Director,GFII,investing
10728,10728,Frank Pörschke,Independent Supervisory Board Member,AOXG,investing
10729,10729,Engelbert Haan,Non-Executive Independent Director,WEIR,investing
10730,10730,Bjørn Iversen,Chairman of Supervisory Board,GJFG,investing
10731,10731,Georg Koch,Member of Supervisory Board,SZUG,investing
10732,10732,Alan Saunders,Chairman,JMG,investing
10733,10733,Gisele Marchand,Independent Chairman of the Board,GJFG,investing
10734,10734,Kuo-Chuan Kung,Independent Director,2317q,investing
10735,10735,Hend El Sherbini,Group CEO & Executive Director,IDHC,investing
10736,10736,Veronique Saubot,Independent Director,GFII,investing
10737,10737,Terje Seljeseth,Independent Director,GJFG,investing
10738,10738,Marianne Voigt,Independent Supervisory Board Member,AOXG,investing
10739,10739,Clare M. Chapman,Non-Executive Independent Director,WEIR,investing
10740,10740,Tor Magne Lønnum,Independent Director,GJFG,investing
10741,10741,Peter Nigel Kenny,Senior Independent Director,JMG,investing
10742,10742,Ruben Pettersen,Director,GJFG,investing
10743,10743,Fred Adjan,Member of Supervisory Board,SZUG,investing
10744,10744,Jay Lee,Vice chairman of the Board,2317q,investing
10745,10745,Christina Stray,Deputy Chairman of Supervisory Board,GJFG,investing
10746,10746,Ellen Kristin Enger,Employee Representative Director,GJFG,investing
10747,10747,Gro Tønder,Member of Supervisory Board,GJFG,investing
10748,10748,Thierry Peugeot,Representative Director,GFII,investing
10749,10749,Sebastian Buur Gabe Kristiansen,Employee Representative Director,GJFG,investing
10750,10750,Anthony Hooley,Member of Technology Advisory Board,WEIR,investing
10751,10751,Richard Laing,Non-Executive Director,JMG,investing
10752,10752,Richard Henry Phillips,Non-Executive Director,IDHC,investing
10753,10753,Fang-Ming Lu,President of Business Group & Director,2317q,investing
10754,10754,Cyrille Viellard,Representative Director,GFII,investing
10755,10755,John Heasley,CFO & Director,WEIR,investing
10756,10756,Heung Lam Coles,Non-Executive Director,JMG,investing
10757,10757,Shinobu Matsui,Director,6752,investing
10758,10758,Hsing Simon,Supervisor,2317q,investing
10759,10759,Kazuhiro Tsuga,Chairman,6752,investing
10760,10760,Dan Olsson,Independent Non-Executive Director,IDHC,investing
10761,10761,Hirokazu Umeda,"CFO, Senior Managing Executive Officer & Director",6752,investing
10762,10762,Yoshinobu Tsutsui,Independent Outside Director,6752,investing
10763,10763,Toshihide Tominaga,Senior Audit & Supervisory Board Member,6752,investing
10764,10764,Christian Peugeot,Director,GFII,investing
10765,10765,Charles Berry,Independent Chairman,WEIR,investing
10766,10766,Ake Lernmark,Member of Advisory Board,ZELA,investing
10767,10767,Hiroko Ota,Independent Outside Director,6752,investing
10768,10768,Setsuko Yufu,Outside Audit & Supervisory Board Member,6752,investing
