medical_specialty;board_certifications;doc_name;doc_gender;doc_languages;hospital;hospital_affiliations;hospital_telephone;fellowships;education_and_training_medical_school;education_and_training_internship;education_and_training_residency
Trauma Surgery;ABMS Surgery;Robert E. Benjamin, MD;Male;;Grady Memorial Hospital;Grady;(404) 616-1000;University of Miami Leonard M Miller School of Medicine                 University of Miami Leonard M Miller School of Medicine;University of Pittsburgh;William Beaumont Hospital;Temple Univeristy Hospital
Pulmonary Disease;ABMS Internal Medicine;David M. Berkowitz, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;UTHSCSA;Beth Israel Deaconess Medical Center;Beth Israel Deaconess Medical Center
Neonatal-Perinatal Medicine;ABMS Pediatrics;Olubunmi  Bakare, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;RWJ Hospital;Boston Medical Center;Children's Hospital of Orange County;Children's Hospital of Orange County
Pediatric Adolescent Medicine;ABMS Pediatrics;Maria Estefania Barbian, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University;Michigan State University College of Human Medicine;Carolinas Medical Center;Carolinas Medical Center
Pediatric Hematology/Oncology;ABMS Pediatrics;Nitya  Bakshi, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Children's Hospital of Pittsburg;Christian Medical College;;Jackson Memorial Hospital
Internal Medicine;ABMS Internal Medicine;Nicolas  Bakinde, MD, PhD, FACP;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;;;Morehouse School of Medicine
Ophthalmology;ABMS Ophthalmology;Joshua M. Barnett, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Tennessee;Vanderbilt Unversity Hospital;Vanderbilt Eye Institute
Internal Medicine;ABMS Internal Medicine;James L. Bailey, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Jefferson Medical College;Mercy Hospital of Pittsburgh;Mercy Hospital of Pittsburgh
Nuclear Medicine;ABMS Pediatrics;Bruce J. Barron, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;;Miami Children's Hospital;George Washington University Hospital
Surgical Critical Care;ABMS Surgery;Elizabeth R. Benjamin, MD, PhD, FACS;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;UT Southwestern Medical Center, Parkland Hospital;UMDNJ Robert Wood Johnson Medical School;;University of California Los Angeles
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Penny A. Castellano, MD, FACOG;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;;Emory University School of Medicine
Anesthesiology;ABMS Anesthesiology;Caitlin A. Bradley, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Indiana University;Emory University School of Medicine;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Iris A. Castro-Revoredo, MD;Female;Spanish;Grady Memorial Hospital;Emory;(404) 616-1000;;Autonomous University of Santo Domingo;Mount Sinai Medical Center (New York);Mount Sinai Medical Center (New York)
Neonatology;ABMS Pediatrics;Wanda D. Barfield, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Harvard Medical School;Harvard Medical School;Walter Reed Army Med. Ctr.;Walter Reed Army Med. Ctr.
Interventional Radiology;ABMS Radiology;Aron K. Chary, MD, MA, BS;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Virginia;University of Tennessee;University of Tennessee;University of Tennessee Health Science Center
Diagnostic Radiology;ABMS Radiology;Ryan M. Christie, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Medical College of Georgia School of Medicine;University of Tennessee College of Medicine;University of Tennessee/Methodist Healthcare Radiology Prog.
Emergency Medicine;;Erika P. Chowa, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Pittsburgh Medical Center;;Brigham and Women's Hospital
Surgery;ABMS Surgery;Angela  Cheng, MD, FACS;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;UT Southwestern Medical Center;University of Florida;;University of Texas-Houston, University of Virginia
Otolaryngology;ABMS Otolaryngology;Amy Y. Chen, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;MD Anderson Cancer Center;Johns Hopkins University School of Medicine;Baylor College of Medicine;Baylor College of Medicine
Dermatology;ABMS Dermatology;Suephy C. Chen, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Johns Hopkins University School of Medicine;Beth Israel Deaconess Medical Center;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Justin T. Cheeley, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Medical College of Georgia;;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Saurabh  Chawla, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University College of Dilshad Garden;;John H. Stroger Jr Hospital of Cook
Surgery;ABMS Surgery;Matthew S. Clifton, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Georgetown University School of Medicine;;University of California San Francisco Medicial Center
Psychiatry;ABMS Psychiatry/Neurology;Kelly L. Coffman, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Tulane University School of Medicine;;Tulane University School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Michael J. Clery, MD, MPP;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Michigan;;University of Michigan Health System
Internal Medicine;ABMS Internal Medicine;Kellie A. Clearo, MD, RPh;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Washington School of Medicine;State University of New York;Duke University Medical Center
Obstetrics/Gynecology;;Elizabeth A. Clark, MD, MPH;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Washington School of Medicine;;University of New Mexico Hospital
Urology;ABMS Urology;Cara B. Cimmino, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Virginia Health Systems;University of Michigan Medical School;;Lahey Clinic Insurance Company
Dermatology;ABMS Dermatology;Sarah S. Chisolm, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of California San Francisco, School of Medicine;University of North Carolina @ Chapel Hill, School of Medicine;University of North Carolina @ Chapel Hill, School of Medicine;Vidant Medical Center
Internal Medicine;ABMS Internal Medicine;Patricia I. Chimezie, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;SUNY Downstate Medical Center;;SUNY Downstate Medical Center
Internal Medicine;ABMS Internal Medicine;Carter G. Co, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Emory University School of Medicine;St. Luke's College of Medicine;;Wright State University, Boonshoft School of Medicine
Surgery;ABMS Surgery;Ed W. Childs, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;University of California Medical Center(Davis);Texas A&M University System, HSC College of Medicine;University of Kansas Medical Center;University of Kansas Medical Center
Emergency Medicine;ABMS Emergency Medicine;Douglas W. Chesson, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University Hospital;;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Louise L. Chang, MD;Female;;Kirkwood Health Center;Emory;(404) 616-1000;;New York Medical College;St. Vincent's Hospital Medical Center - New York;St. Vincent's Hospital Medical Center - New York
Urology;ABMS Urology;Hark C. Chang, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Korea University College of Medicine;Long Island College Hospital;Long Island College Hospital
Psychiatry;ABMS Psychiatry/Neurology;Aalok  Chandora, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Emory University School of Medicine;Morehouse School of Medicine;;University of Alabama at Birmingham
Pediatric Medicine;ABMS Pediatrics;Archana V. Chander, MD;Female;;Brookhaven Health Center;Grady;(404) 616-1000;;St. George's University School of Medicine;;Maria Fareri Children's Hospital at Westchester Medical Center
;ABMS Internal Medicine;Austin W. Chan, MD;Male;;;Morehouse;(404) 616-1000;Duke University Medical Center;Emory University School of Medicine;;Emory University School of Medicine
Pediatric Surgery;;Assaad Alfred Chahine, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Saint Louis Univeristy School of Medicine;;
Colon & Rectal Surgery;ABMS Surgery;Ayana R. Chase, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Georgia Colon and Rectal;University of Chicago;;NYU School of Medicine
Otolaryngology;ABMS Otolaryngology;Brian  Boyce, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Thomas Jefferson University;Medical College of Georgia;;Ohio State University Hospital
Gynecology/Obstetrics;ABMS Obstetrics/Gynecology;Martina L. Badell, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Rochester School of Medicine & Dentistry;;Emory University School of Medicine
Pediatric Infectious Diseases;ABMS Pediatrics;Ann M. Chahroudi, MD;Female;;Ponce De Leon Center;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;Childrens Hospital of Philadelphia;Childrens Hospital of Philadelphia
Gynecology/Obstetrics;ABMS Obstetrics/Gynecology;Elizabeth B. Chahine, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory Saint Joseph's Hospital;Eastern Virginia Medical School;Vanderbilt University Medical Center;Vanderbilt University Medical Center
Infectious Disease;ABMS Internal Medicine;Poorvi S. Chordia, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Detroit Medical Center;KJ Somaiya;University of Florida College of Medicine;Saint Joseph Hospital Ann Arbor
Breast Imaging;ABMS Radiology;Neeti R. Bagadiya, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Albert Einstein College of Medicine;New York Presbyterian/Queens;New York School of Medicine
Cardiovascular Disease;ABMS Internal Medicine;Dimitri C. Cassimatis, MD, FACC;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Walter Reed Army Med. Ctr.;Harvard Medical School;;Walter Reed Army Med. Ctr.
Rheumatology;;Leslie Anne V. Cassidy, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;Emory university;Emory University School of Medicine
Family Medicine;ABMS Family Medicine;Denise M. Bell-Carter, MD;Female;;East Point Health Center;Morehouse;(404) 616-1000;;Univ of Medicine and;Howard University;Georgetown University
Gastroenterology;ABMS Internal Medicine;Lisa  Cassani, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Vanderbilt University Medical Center;UNC School of Medicine;Vanderbilt University Medical Center;Vanderbilt University Medical Center
Hospice & Palliative Medicine;ABMS Emergency Medicine;Gretchen E. Bell, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University Hospital;Loma Linda University School of Medicine;;Allegheny General Hospital
Pediatric Medicine;ABMS Pediatrics;Christine E. Bell, MD;Female;;Grady Memorial Hospital;Grady;(404) 616-1000;;Emory University;Emory University School of Medicine;
Vascular Neurology;ABMS Psychiatry/Neurology;Samir R. Belagaje, MD, FAAN;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Cincinnati  College of Medicine;Indiana University School of Medicine;The Christ Hospital;University of Cincinnati  College of Medicine
Emergency Medicine;ABMS Emergency Medicine;Michael B. Carter, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Medical College of Georgia;;
Emergency Medicine;ABMS Emergency Medicine;Stephen M. Carroll, DO;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Philadelphia College of Osteopathic Medicine;;San Antonio Uniformed Services Health
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Kimberly S. Carroll, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Michigan State University College of Human Medicine;Howard University Hospital;Howard University Hospital
Anesthesiology;ABMS Anesthesiology;Andrew J. Bowman, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Medical College of Georgia;Mount Sinai St Luke Hospital;Emory University
Critical Care Medicine;ABMS Internal Medicine;David J. Bower, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School Of Medicine;Emory University School Of Medicine;Emory University School of Medicine
Oral & Maxillofacial Surgery;ABMS Oral & Maxillofacial Surgery;Gary F. Bouloux, MD;Male;French;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Family Medicine;ABMS Family Medicine;Kelley W. Carroll, MD;Female;;Grady Memorial Hospital;Grady;(404) 616-1000;;George Washington University Medical Center;;University of Texas Health Science Center at Houston
Neurosurgery;ABMS Neurological Surgery;Nicholas M. Boulis, MD;Male;Spanish;Grady Memorial Hospital;Emory;(404) 616-1000;Cleveland Clinic Foundation;Harvard Medical School;University of Michigan School of Medicine;University of Michigan School of Medicine
Internal Medicine;;Sherri  Bogard, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;;;
Otolaryngology;ABMS Otolaryngology;Harry M. Baddour, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Tennessee Health Science Center;;Emory University School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Anika L. Backster, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Chicago;;SUNY Downstate Medical Center
Nuclear Medicine;ABMS Nuclear Medicine;Dacian V. Bonta, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Johns Hopkins University School of Medicine;Carol Davila School of Medicine;Michael Reese Hospital & Medical Center;Johns Hopkins University School of Medicine
Internal Medicine;ABMS Internal Medicine;Joanna M. Bonsall, MD PhD SFHM;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;;Emory University School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Michael J. Carr, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;ST. George University;;Newark Beth Israel Medical Center
Trauma Surgery;ABMS Surgery;Patricia  Ayoung-Chee, MD, MPH, FACS;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;University of Washington;New York University School of Medicine;;New York University School of Medicine
Family Medicine;ABMS Family Medicine;Dolapo A. Babalola, MD;Female;;East Point Health Center;Morehouse;(404) 616-1000;;University of Guyana;Morehouse School Of Medicine;Morehouse School Of Medicine
Spine Surgery;ABMS Orthopaedic Surgery;Scott D. Boden, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Case Western Reserve University;University of Pennsylvania School of Medicine;George Washington University Hospital;George Washington University Hospital
Family Medicine;ABMS Family Medicine;Francisco M. Averhoff, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of California, Irvine;;Johns Hopkins University School of Medicine
Internal Medicine;ABMS Internal Medicine;Frehiywot K. Ayele, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Addis Ababa University School of Medicine;;Atlanta Medical Center-Wellstar
Pediatric Adolescent Medicine;ABMS Pediatrics;Rashida A. Avery, MD;Female;;Asa G Yancey Health Center;Grady;(404) 616-1000;;Morehouse School of Medicine;Morehouse School of Medicine;Morehouse School of Medicine
Pulmonary Disease;ABMS Internal Medicine;Sara  Auld, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University;Columbia University;Massachusetts General Hospital;Massachusetts General Hospital
Ophthalmology;ABMS Ophthalmology;Soroosh  Behshad, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of California Irvine School of Medicine;University of Arizona Medical School;Harbor UCLA Medical Center;Tulane University School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Joseph E. Carpenter, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University;Stanford University;;Harbor UCLA Medical Center
Urology;ABMS Urology;Kenneth J. Carney, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Roswell Park Cancer Institute;Medical College of Georgia School of Medicine;Eastern Virginia Medical School;Eastern Virginia Medical School
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Xuan  Cao, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Sun Yat -Sen University;;Morehouse School of Medicine
Internal Medicine;ABMS Internal Medicine;Valeria D. Cantos Lucio, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Ponitificia Universidad;;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Paul T. Cantey, MD, MPH;Male;French;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Frederick O. Bright, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Howard University College of Medicine;Howard University;Howard University
Cardiothoracic Vascular Surgery;ABMS Surgery;Tamer S. Attia, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Cairo University;;Cleveland Clinic Foundation
Internal Medicine;ABMS Internal Medicine;Sue A. Brenner, MD;Female;Spanish;Brookhaven Health Center;Grady;(404) 616-1000;Emory University School of Medicine;University of California UCLA School of Medicine;University of Washington School of Medicine;University of Washington School of Medicine
Ophthalmology;;Sara V. Branson, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Wake Forest University;Emory University;Emory University
Nuclear Medicine;ABMS Nuclear Medicine;David C. Brandon, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Texas SW Medical School at Dallas;Baylor College of Medicine;Baylor College of Medicine;University of Texas SW Medical School at Dallas
Pulmonary & Critical Care;ABMS Psychiatry/Neurology;Chantale  Branson, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Boston University School of Medicine;Boston University School of Medicine;University of Pittsburgh Medical Center;Boston University School of Medicine
Neurology;ABMS Psychiatry/Neurology;Brian T. Cabaniss, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of California  San Francisco;Vanderbilt Unversity Hospital;;Barnes-Jewish Hospital
Surgical Critical Care;;Caroline  Butler, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Jackson Memorial Hospital, Ryder Trauma Center, Miami, FL;University of Maryland School of Medicine, Baltimore, MD;New York Presbyterian Weill Cornell, Department of Surgery, New York, NY;Georgetown University Hospital, Department of Surgery, Washington, DC
Rheumatology;ABMS Internal Medicine;Jennifer E. Brandt, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;;Emory University School of Medicine
Neonatology;ABMS Pediatrics;Alfred W. Brann, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Massachusetts General Hospital;Tulane University School of Medicine;Vanderbilt University Medical Center;Memorial Sloan-Kettering Cancer Center
Internal Medicine;ABMS Internal Medicine;William T. Branch, MD, MACP;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Harvard Medical School;University of Alabama at Birmingham;Brigham and Women's Hospital;Brigham and Women's Hospital
Neuroendovascular;ABMS Psychiatry/Neurology;Alhamza  Al-Bayati, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Pittsburgh Medical Center;University of Baghdad College of Medicine;Loma Linda University School of Medicine;Loma Linda University School of Medicine
Diagnostic Radiology;ABMS Radiology;Kiery A. Braithwaite, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Georgetown University;Georgetown University Medical Center;Emory University School of Medicine
Diagnostic Radiology;;Jonathan  Bulzan, DO;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Edward Via College of Osteopathic Medicine;;Geisinger Medical Center
Internal Medicine;ABMS Internal Medicine;Cinnamon D. Bradley, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;University of Illinois College of Medicine;;Massachusetts General Hospital
Internal Medicine;ABMS Internal Medicine;Khaalisha B. Ajala, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;American University of Antigua;Morehouse School of Medicine;Morehouse School of Medicine
Neurology;ABMS Psychiatry/Neurology;Feras  Akbik, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Yale University School of Medicine;Brigham and Women's Hospital;Massachusetts General Hospital
Family Medicine;ABMS Family Medicine;Wallace  Ajakaiye, MD;Male;;Kirkwood Health Center;Grady;(404) 616-1000;;Ross University School of Medicine;;Morehouse School of Medicine
Internal Medicine;ABMS Internal Medicine;Mikhail Y. Akbashev, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Amalia A. Aldredge, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Washington School of Medicine;;Emory University
Medical Oncology;ABMS Internal Medicine;Olatunji B. Alese, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University;University of Ibadan;NYMC Metropolitan Hospital;NYMC Metropolitan Hospital
Diagnostic Radiology;ABMS Pediatrics;Adina L. Alazraki, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Jada C. Bussey-Jones, MD, FACP;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of North Carolina Hospitals;Emory University School of Medicine;University of Maryland School of Medicine;University of Maryland School of Medicine
Emergency Medicine;ABMS Internal Medicine;Daniel S. Budnitz, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Centers for Disease Control & Prevention;Emory University School of Medicine;Hospital of the University of Pennsylvania;Hospital of the University of Pennsylvania
Neonatal-Perinatal Medicine;ABMS Pediatrics;George W. Bugg, MD, MPH;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Meharry Medical College School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Neonatal-Perinatal Medicine;ABMS Pediatrics;Dona S. Buchter, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Texas SW Medical School @ Dallas;Children's Medical Center of Dallas;Children's Medical Center of Dallas
Diagnostic Radiology;ABMS Radiology;Ashley H. Aiken, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;UCSF School of Medicine;Medical College of Georgia School of Medicine;Medical College of Georgia;UCSF School of Medicine
Infectious Disease;ABMS Internal Medicine;Laura N. Broyles, MD;Female;;Ponce De Leon Center;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;Barnes-Jewish Hospital;Barnes-Jewish Hospital
Internal Medicine;ABMS Internal Medicine;Erica D. Brownfield, MD, FACP;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Finch University of Health;Massachusetts General Hospital;Massachusetts General Hospital
Gastroenterology;ABMS Internal Medicine;Jason M. Brown, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;;Emory University School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Eliot H. Blum, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Sackler School of Medicine ECFMG;;University of Massachusetts
Internal Medicine;ABMS Internal Medicine;Hodan H. Ahmed, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Morehouse School of Medicine;;Emory University School of Medicine
Anesthesiology;ABMS Anesthesiology;Brian P. Bobzien, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of North Carolina Hospitals;University of North Carolina @ Chapel Hill, School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Infectious Disease;ABMS Internal Medicine;Henry M. Blumberg, MD;Male;Spanish;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Vanderbilt University College of Medicine;Emory University School of Medicine;Emory University School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Elaine F. Bromberek, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Florida College of Medicine;;Washington Hospital Center
Emergency Medicine;ABMS Emergency Medicine;Ingrid B. Bloom, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Michigan School of Medicine;;Emory University School of Medicine- Emergency Medicine
Family Medicine;ABMS Internal Medicine;Sujata  Bhowmik, MD;Female;;Asa G Yancey Health Center;Grady;(404) 616-1000;;University of Texas Medical School @ Houston;University of Texas Medical School at Houston;University of Texas Medical School
Dermatology;ABMS Dermatology;Travis W. Blalock, MD, FAAD, FACMS;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Scripps Health;Mercer University School of Medicine;University of Tennessee School of Medicine;Medical School of GA
