"Name","Specialties","Affiliations","Years In Practice","Provider Gender","Language","Age Groups Seen","Education","Rating"
"Suzanne Romadan","Internal Medicine","Beaumont Hospital, Troy","22","Female","Arabic English French Russian Ukrainian","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Wassim M Younes","Internal Medicine","Beaumont Hospital, Dearborn","","Male","Arabic English French Spanish","Adults Geriatrics","Wayne State University/DMC",""
"Edward C Bush","Family Medicine","Beaumont Hospital, Dearborn","43","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Grosse Pointe",""
"Sam S Gabbara","Pediatrics","Beaumont Hospital, Dearborn","21","Male","English","Newborns Pediatrics Teenagers","Wayne State University School of Medicine (Michigan)","4.7 out of 5"
"Ellen K Athens","Family Medicine","Beaumont Hospital, Trenton","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Pontiac Osteopathic Hospital","4.6 out of 5"
"Lara El Masri","Family Medicine","Beaumont Hospital, Grosse Pointe","4","Female","Arabic English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy","4.8 out of 5"
"Abdulhadi Sinan","Internal Medicine","Beaumont Hospital, Dearborn","35","Male","English","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Anna G Strumba","Pediatrics","Beaumont Hospital, Royal Oak","26","Female","English Russian","Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Bahae M Ebrahem","Internal Medicine","Beaumont Hospital, Dearborn","32","Male","Arabic English","Adults Geriatrics","Western Reserve Care System/NEOUCOM Program",""
"Mariam A Qureshi","Pediatrics","Beaumont Hospital, Dearborn","","Female","English Urdu","Newborns Pediatrics Teenagers","Children's Hospital of Michigan","4.7 out of 5"
"Vian F Misho","Family Medicine","Beaumont Hospital, Royal Oak","34","Female","Arabic Chaldean English","Pediatrics Teenagers Adults Geriatrics","Bon Secours Hospital",""
"Caroline D Zohoury","Family Medicine","Beaumont Hospital, Troy","34","Female","English","Pediatrics Teenagers Adults Geriatrics","St John Macomb-Oakland Hospital, Oakland Center",""
"Adele P Schweller","Pediatrics","Beaumont Hospital, Wayne","7","Female","English","Newborns Pediatrics Teenagers","Charleston Area Medical Center/West Virginia University","4.7 out of 5"
"Laura L Warner","Pediatrics","Beaumont Hospital, Royal Oak","24","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Melissa L Jennings","Family Medicine","Beaumont Hospital, Dearborn","5","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Wayne","4.6 out of 5"
"Raj A Goswami","Addiction Medicine","Beaumont Hospital, Dearborn","21","Male","English Hindi","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Anthony P Brooks","Family Medicine","Beaumont Hospital, Dearborn","4","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Wayne","4.7 out of 5"
"Jonathan N Lauter","Pediatrics","Beaumont Hospital, Royal Oak","13","Male","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Alyson M Greenwell","Pediatrics","Beaumont Hospital, Farmington Hills","5","Female","English","Newborns Pediatrics Teenagers","Riley Hospital for Children at Indianapolis University Health","4.7 out of 5"
"Meredith A McLaughlin","Family Medicine","Beaumont Hospital, Dearborn","9","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Wayne","4.9 out of 5"
"James A Burtka","Family Medicine","Beaumont Hospital, Troy","27","Male","English","Teenagers Adults Geriatrics","Mount Clemens Regional Medical Center",""
"Shaileshkumar K Desai","Internal Medicine","Beaumont Hospital, Royal Oak","31","Male","English","Adults Geriatrics","Forest Park Hospital",""
"Abraham Slaim","Family Medicine","Beaumont Hospital, Taylor","48","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Farmington Hills","4.8 out of 5"
"Amber Marie Gruber","Family Medicine","Beaumont Hospital, Troy","15","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Farmington Hills","4.9 out of 5"
"Christine A Climie","Family Medicine","Beaumont Hospital, Dearborn","","Female","English","Teenagers Adults Geriatrics","St. Joseph Hospital","4.8 out of 5"
"Britani A Marshall","Family Medicine","Beaumont Hospital, Farmington Hills","7","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Genesys Regional Medical Center (Michigan)","4.8 out of 5"
"Sasi B Boppana","Internal Medicine","Beaumont Hospital, Wayne","","Male","English","Adults Geriatrics","Interfaith Medical Center",""
"Kwan Yee","Internal Medicine","Beaumont Hospital, Royal Oak","32","Male","Chinese - Cantonese English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Brian A Vinton","Family Medicine","Beaumont Hospital, Dearborn","","Male","English","Pediatrics Teenagers Adults Geriatrics","Oakwood Hospital - Wayne","4.8 out of 5"
"Erwin Matthew D Patalinghug","Family Medicine","Beaumont Hospital, Grosse Pointe","7","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy","4.7 out of 5"
"Kevin A Agrest","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Garden City Osteopathic Hospital",""
"Kavitha Ponduri","Internal Medicine","Beaumont Hospital, Dearborn","28","Female","English","Adults Geriatrics","Henry Ford Hospital",""
"James Calvin Mackenzie","Internal Medicine","Beaumont Hospital, Royal Oak","50","Male","English","Teenagers Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Elise E Murray","Internal Medicine","Beaumont Hospital, Farmington Hills","29","Female","English","Adults Geriatrics","Garden City Osteopathic Hospital (Michigan)",""
"Nancy M Mannisto","Pediatrics","Beaumont Hospital, Royal Oak","28","Female","English","Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Annie L Craib","Family Medicine","Beaumont Hospital, Farmington Hills","7","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills","4.8 out of 5"
"Sumitra N Raam","Internal Medicine","Beaumont Hospital, Royal Oak","27","Female","English Hindi Kannada Tamil","Adults Geriatrics","Beaumont Hospital, Royal Oak","4.7 out of 5"
"Amro R Sheta","Family Medicine","Beaumont Hospital, Royal Oak","20","Male","Arabic English German","Pediatrics Teenagers Adults Geriatrics","Wayne State University",""
"Eliisa Bojanic","Family Medicine","Beaumont Hospital, Grosse Pointe","4","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Grosse Pointe",""
"Scott A Yaekle","Family Medicine","Beaumont Hospital, Dearborn","29","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn","4.9 out of 5"
"Chin S Yi","Family Medicine","Beaumont Hospital, Wayne","","Male","English Korean","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn","4.7 out of 5"
"Paul D Jackson","Family Medicine","Beaumont Hospital, Farmington Hills","27","Male","English Spanish","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Sumner L Camisa","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English Spanish","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Adam S Shammami","Family Medicine","Beaumont Hospital, Grosse Pointe","13","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Ascension Providence Hospital","4.8 out of 5"
"Wafaa S Hanna","Internal Medicine","Beaumont Hospital, Grosse Pointe","35","Female","English","Adults Geriatrics","Bon Secours Hospital","4.7 out of 5"
"John A Boyle","Pediatrics","Beaumont Hospital, Royal Oak","21","Male","English","Newborns","Beaumont Hospital, Royal Oak",""
"Shoshan Zolo","Family Medicine","Beaumont Hospital, Grosse Pointe","41","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","St John Hospital & Medical Center","4.8 out of 5"
"Nancy M Mannisto","Pediatrics","Beaumont Hospital, Royal Oak","28","Female","English","Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Elise E Murray","Internal Medicine","Beaumont Hospital, Farmington Hills","29","Female","English","Adults Geriatrics","Garden City Osteopathic Hospital (Michigan)",""
"Mohammed Wageh Saad","Family Medicine","Beaumont Hospital, Wayne","","Male","Arabic English","Newborns Pediatrics Teenagers Adults Geriatrics","Oakwood Hospital - Wayne","4.6 out of 5"
"Kenneth Gallmore","Internal Medicine","Beaumont Hospital, Farmington Hills","24","Male","English","Adults Geriatrics","St John Hospital and Medical Center-Detroit (Michigan)",""
"Robert J Sikorski","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Garden City Osteopathic Hospital (Michigan)",""
"James Calvin Mackenzie","Internal Medicine","Beaumont Hospital, Royal Oak","50","Male","English","Teenagers Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Ala Sabri Shuker","Internal Medicine","Beaumont Hospital, Farmington Hills","30","Male","Arabic Chaldean English","Adults Geriatrics","Sinai Hospital-Detroit (Michigan)",""
"Julie C MacPherson","Pediatrics","Beaumont Hospital, Troy","9","Female","English","Newborns Pediatrics Teenagers","Henry Ford Macomb Hospital",""
"Kevin A Agrest","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Garden City Osteopathic Hospital",""
"Elizabeth A Joslin","Family Medicine","Beaumont Hospital, Troy","13","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Ghazwan A Atto","Internal Medicine","Beaumont Hospital, Dearborn","29","Male","Arabic English","Adults Geriatrics","Providence Hospital and Medical Center",""
"T J Hassan","Internal Medicine","Beaumont Hospital, Dearborn","39","Male","Arabic English Italian","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Alissa N Citron","Family Medicine","Beaumont Hospital, Royal Oak","21","Female","English Hebrew Spanish","Pediatrics Teenagers Adults Geriatrics","St John Macomb-Oakland Hospital, Oakland Center","4.6 out of 5"
"Mark B Wein","Family Medicine","Beaumont Hospital, Trenton","29","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Garden City Hospital",""
"Michael V Kurzawa","Family Medicine","Beaumont Hospital, Grosse Pointe","36","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Bon Secours Cottage Hospital","4.7 out of 5"
"Mark D Hannis","Internal Medicine","Beaumont Hospital, Dearborn","36","Male","English","Geriatrics","University of North Carolina at Chapel Hill","4.7 out of 5"
"Prameela N Patel","Family Medicine","Beaumont Hospital, Troy","20","Female","English Hindi Kannada","Newborns Pediatrics Teenagers Adults Geriatrics","American University of the Caribbean School of Medicine",""
"Isabel Holland-Davis","Pediatrics","Beaumont Hospital, Royal Oak","33","Female","English","Pediatrics","University of Michigan Hospitals and Health Centers",""
"Vicki L Solway","Pediatrics","Beaumont Hospital, Royal Oak","39","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Laura L Warner","Pediatrics","Beaumont Hospital, Royal Oak","24","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Satish Sundar","Pediatrics","Beaumont Hospital, Royal Oak","32","Male","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Vian F Misho","Family Medicine","Beaumont Hospital, Royal Oak","34","Female","Arabic Chaldean English","Pediatrics Teenagers Adults Geriatrics","Bon Secours Hospital",""
"William M. Rudy","Internal Medicine","Beaumont Hospital, Farmington Hills","42","Male","English","Adults Geriatrics","Beaumont Health - Farmington Hills",""
"James P Rosbolt","Family Medicine","Beaumont Hospital, Grosse Pointe","19","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Detroit Medical Center/Wayne State University","4.8 out of 5"
"Brandy A Eberhardt","Family Medicine","Beaumont Hospital, Royal Oak","16","Female","English","Pediatrics Teenagers Adults Geriatrics","Mount Clemens Regional Medical Center",""
"Laura L Warner","Pediatrics","Beaumont Hospital, Royal Oak","24","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Thomas J Bering","Internal Medicine","Beaumont Hospital, Royal Oak","30","Male","English","Adults Geriatrics","Detroit Medical Center",""
"Suzanne Romadan","Internal Medicine","Beaumont Hospital, Troy","22","Female","Arabic English French Russian Ukrainian","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Prameela N Patel","Family Medicine","Beaumont Hospital, Troy","20","Female","English Hindi Kannada","Newborns Pediatrics Teenagers Adults Geriatrics","American University of the Caribbean School of Medicine",""
"Mark D Hannis","Internal Medicine","Beaumont Hospital, Dearborn","36","Male","English","Geriatrics","University of North Carolina at Chapel Hill","4.7 out of 5"
"Charles G Godoshian","Internal Medicine","Beaumont Hospital, Royal Oak","39","Male","English","Teenagers Adults Geriatrics","Detroit Medical Center/Wayne State University",""
"Praveena Sampath","Pediatrics","Beaumont Hospital, Royal Oak","27","Female","English Tamil","Newborns Pediatrics Teenagers","SRI Ramachandra Medical College & Research Institute",""
"Amy M Seger","Family Medicine","Beaumont Hospital, Troy","22","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Demetrios N Mermiges","Internal Medicine","Beaumont Hospital, Grosse Pointe","45","Male","English Greek","Adults Geriatrics","Detroit Receiving Hospital","4.7 out of 5"
"William P. Prechel","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","Arabic English Polish Spanish","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Racha El-Ladki","Family Medicine","Beaumont Hospital, Wayne","5","Female","Arabic English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Wayne","4.7 out of 5"
"Michael J Haroutunian","Geriatric Medicine","Beaumont Hospital, Farmington Hills","38","Male","Armenian English","Adults Geriatrics","Beaumont Hospital, Farmington Hills",""
"Muhammad Wasiullah","Internal Medicine","Beaumont Hospital, Dearborn","31","Male","English Hindi Urdu","Adults Geriatrics","University of Illinois College of Medicine",""
"Durdana T Rehman","Pediatrics","Beaumont Hospital, Royal Oak","29","Female","English Hindi Urdu","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Michael S Schaeffer","Internal Medicine","Beaumont Hospital, Wayne","26","Male","English","Teenagers Adults","Beaumont Hospital, Dearborn","4.8 out of 5"
"Nusrat Z Rahman","Internal Medicine","Beaumont Hospital, Taylor","46","Female","English Urdu","Adults Geriatrics","Ascension St. John Hospital",""
"Christopher R DeAngelis","Internal Medicine","Beaumont Hospital, Trenton","24","Male","English","Adults Geriatrics","Riverside Osteopathic Hospital",""
"Vasilios Gikas","Family Medicine","Beaumont Hospital, Troy","14","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Henry Ford Macomb Hospital",""
"Firas Zouabi","Family Medicine","Beaumont Hospital, Dearborn","38","Male","Arabic English French","Newborns Pediatrics Teenagers Adults Geriatrics","Montgomery Family Practice",""
"Halima S Ali","Family Medicine","Beaumont Hospital, Dearborn","32","Female","English Hindi Urdu","Pediatrics Teenagers Adults Geriatrics","Wayne State University","4.8 out of 5"
"Remana S Hasnath","Family Medicine","Beaumont Hospital, Grosse Pointe","5","Female","Bengali English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Wayne","4.6 out of 5"
"Kathleen M Rollinger","Family Medicine","Beaumont Hospital, Grosse Pointe","35","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Bon Secours Cottage Hospital","4.5 out of 5"
"Matthew C Zimny","Family Medicine","Beaumont Hospital, Royal Oak","18","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Mount Clemens Regional Medical Center",""
"Mark Alrais","Family Medicine","Beaumont Hospital, Grosse Pointe","25","Male","Arabic Chaldean English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Grosse Pointe",""
"Andrew M Oleszkowicz","Family Medicine","Beaumont Hospital, Grosse Pointe","15","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","University of Wisconsin Hospital - Madison","4.9 out of 5"
"Alan A Zakaria","Internal Medicine","Beaumont Hospital, Royal Oak","16","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","University of Michigan Hospitals and Health Centers",""
"Daniel A Schnaar","Pediatrics","Beaumont Hospital, Royal Oak","46","Male","English","Newborns Pediatrics Teenagers","New England Medical Center",""
"Sham M Juratli","Family Medicine","Beaumont Hospital, Dearborn","16","Female","Arabic English","Teenagers Adults Geriatrics","University of Washington Medicine",""
"Karen L Weaver","Family Medicine","Beaumont Hospital, Dearborn","","Female","English French","Pediatrics Teenagers Adults Geriatrics","Duke University Medical Center","4.7 out of 5"
"Anna G Strumba","Pediatrics","Beaumont Hospital, Royal Oak","26","Female","English Russian","Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Mariam A Qureshi","Pediatrics","Beaumont Hospital, Dearborn","","Female","English Urdu","Newborns Pediatrics Teenagers","Children's Hospital of Michigan","4.7 out of 5"
"Nusrat Z Rahman","Internal Medicine","Beaumont Hospital, Taylor","46","Female","English Urdu","Adults Geriatrics","Ascension St. John Hospital",""
"Caroline D Zohoury","Family Medicine","Beaumont Hospital, Troy","34","Female","English","Pediatrics Teenagers Adults Geriatrics","St John Macomb-Oakland Hospital, Oakland Center",""
"Adele P Schweller","Pediatrics","Beaumont Hospital, Wayne","7","Female","English","Newborns Pediatrics Teenagers","Charleston Area Medical Center/West Virginia University","4.7 out of 5"
"Halima S Ali","Family Medicine","Beaumont Hospital, Dearborn","32","Female","English Hindi Urdu","Pediatrics Teenagers Adults Geriatrics","Wayne State University","4.8 out of 5"
"Waseem G Petros","Internal Medicine","Beaumont Hospital, Royal Oak","23","Male","Arabic English","Adults Geriatrics","Detroit Medical Center/Wayne State University",""
"Nancy M Mannisto","Pediatrics","Beaumont Hospital, Royal Oak","28","Female","English","Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Annie L Craib","Family Medicine","Beaumont Hospital, Farmington Hills","7","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills","4.8 out of 5"
"Lalit J Shah","Pediatrics","Beaumont Hospital, Royal Oak","59","Male","English Hindi","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Susan J Laurent","Pediatrics","Beaumont Hospital, Royal Oak","45","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"John A Vollmer","Family Medicine","Beaumont Hospital, Grosse Pointe","39","Male","English","Adults Geriatrics","St John Hospital & Medical Center","4.7 out of 5"
"Angelica M Francu","Family Medicine","Beaumont Hospital, Wayne","29","Female","English Romanian","Teenagers Adults Geriatrics","Wayne State University",""
"Ghassan A Atto","Family Medicine","Beaumont Hospital, Dearborn","21","Male","Arabic Chaldean English","Teenagers Adults Geriatrics","Wayne State University/Crittenton Program",""
"A Anca Froman","Internal Medicine","Beaumont Hospital, Dearborn","19","Female","English","Adults","Lahey Hospital and Medical Center","4.8 out of 5"
"Theodore L Tangalos","Family Medicine","Beaumont Hospital, Troy","27","Male","English Greek","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Kristen A Herman","Pediatrics","Beaumont Hospital, Troy","22","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Natacha Umlauf-Barrera","Pediatrics","Beaumont Hospital, Dearborn","34","Female","English French Portuguese Spanish","Newborns Pediatrics Teenagers","University of Texas-Houston Health Science Center",""
"Jeffrey J Kane","Internal Medicine","Beaumont Hospital, Dearborn","15","Male","English","Adults Geriatrics","Beaumont Hospital, Dearborn","4.8 out of 5"
"Sharon M McManus","Pediatrics","Beaumont Hospital, Royal Oak","27","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Aleksandr A Archiyan","Family Medicine","Beaumont Hospital, Royal Oak","7","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Henry Ford Allegiance Health","4.4 out of 5"
"Roby J Geevarghese","Family Medicine","Beaumont Hospital, Royal Oak","12","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Ascension Providence Hospital",""
"Tara Deryavoush","Internal Medicine","Beaumont Hospital, Grosse Pointe","7","Female","Assyrian Chaldean English","Adults Geriatrics","Henry Ford Macomb Hospital","4.7 out of 5"
"Duraid Ahad-Daman","Family Medicine","Beaumont Hospital, Royal Oak","20","Male","Arabic Chaldean English","Teenagers Adults Geriatrics","Henry Ford Hospital",""
"Indrani Nimmagadda","Internal Medicine","Beaumont Hospital, Dearborn","","Female","English Hindi Telugu","Adults Geriatrics","McLaren Regional Medical Center","4.7 out of 5"
"Thomas James Schnur","Pediatrics","Beaumont Hospital, Troy","44","Male","English","Newborns Pediatrics Teenagers","St John Hospital & Medical Center",""
"Ghadi G Ghorayeb","Internal Medicine","Beaumont Hospital, Dearborn","","Male","Arabic English French","Adults Geriatrics","Henry Ford Hospital",""
"Anna M Hehl-Bisson","Family Medicine","Beaumont Hospital, Dearborn","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Oakwood Hospital - Wayne","4.8 out of 5"
"Massud T Almassudi","Internal Medicine","Beaumont Hospital, Dearborn","9","Male","Arabic English","Adults Geriatrics","St. John Hospital and Medical Center",""
"Nadheer Issa","Internal Medicine","Beaumont Hospital, Troy","28","Male","Arabic Chaldean English","Teenagers Adults Geriatrics","Ascension Providence Hospital",""
"Susan E Sauber","Pediatrics","Beaumont Hospital, Royal Oak","36","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Wathek Sakka","Internal Medicine","Beaumont Hospital, Taylor","34","Male","English","Adults Geriatrics","Wayne State University/DMC",""
"John Slaim","Family Medicine","Beaumont Hospital, Taylor","","Male","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Farmington Hills","4.9 out of 5"
"Marlene M Roth","Pediatrics","Beaumont Hospital, Royal Oak","25","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Waseem G Petros","Internal Medicine","Beaumont Hospital, Royal Oak","23","Male","Arabic English","Adults Geriatrics","Detroit Medical Center/Wayne State University",""
"Susan J Laurent","Pediatrics","Beaumont Hospital, Royal Oak","45","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"David D Lick","Family Medicine","Beaumont Hospital, Troy","21","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Harvard Medical School Affiliated Hospitals & Institutions","4.9 out of 5"
"Farrah F Ahmad","Internal Medicine","Beaumont Hospital, Troy","18","Female","English Punjabi Urdu","Teenagers Adults Geriatrics","Hurley Medical Center",""
"Sami M Baraka","Family Medicine","Beaumont Hospital, Dearborn","37","Male","Arabic English","Pediatrics Teenagers Adults Geriatrics","Wayne State University",""
"Umayr Azimi","Internal Medicine","Beaumont Hospital, Dearborn","8","Male","English Urdu","Adults Geriatrics","Grand Rapids Medical Education Partners/MSU",""
"Pritpal G Sandhu","Internal Medicine","Beaumont Hospital, Trenton","38","Female","English","Adults Geriatrics","Wayne State University/DMC",""
"Jill Patricia Schmitt","Family Medicine","Beaumont Hospital, Troy","","Female","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Kirti A Jain","Family Medicine","Beaumont Hospital, Dearborn","32","Female","English Hindi Marwari","Newborns Pediatrics Teenagers Adults Geriatrics","North Oakland Medical Center",""
"Arpan Bhakta","Internal Medicine","Beaumont Hospital, Dearborn","25","Male","English","Adults","University of Texas Medical Branch",""
"Barbara J Falkell","Internal Medicine","Beaumont Hospital, Royal Oak","25","Female","English","Pediatrics Teenagers Adults Geriatrics","Children's Hospital of Michigan - DMC","4.7 out of 5"
"Kashif H Qureshi","Internal Medicine","Beaumont Hospital, Dearborn","27","Male","English Hindi Punjabi Urdu","Adults Geriatrics","Sinai Grace Hospital/WSU",""
"Margaret A McQuiston","Internal Medicine","Beaumont Hospital, Trenton","27","Female","English","Adults Geriatrics","Bi-County Community Hospital",""
"James A Burtka","Family Medicine","Beaumont Hospital, Troy","27","Male","English","Teenagers Adults Geriatrics","Mount Clemens Regional Medical Center",""
"Alyson M Greenwell","Pediatrics","Beaumont Hospital, Farmington Hills","5","Female","English","Newborns Pediatrics Teenagers","Riley Hospital for Children at Indianapolis University Health","4.7 out of 5"
"Jenny L Folcik-Gerken","Pediatrics","Beaumont Hospital, Royal Oak","18","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Steven T Margolis","Family Medicine","Beaumont Hospital, Troy","34","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Nabil M Metwally","Internal Medicine","Beaumont Hospital, Dearborn","41","Male","Arabic English","Adults Geriatrics","Medical College of Wisconsin School of Medicine",""
"Mary C Ferris","Family Medicine","Beaumont Hospital, Troy","","Female","English","Teenagers Adults Geriatrics","Mount Clemens Regional Medical Center",""
"Michelle A Stone","Family Medicine","Beaumont Hospital, Grosse Pointe","6","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy","4.7 out of 5"
"Bhavana R Vyas","Pediatrics","Beaumont Hospital, Troy","32","Female","English Gujarati Hindi","Newborns Pediatrics Teenagers","Henry Ford Hospital",""
"Alka D Aggarwal","Family Medicine","Beaumont Hospital, Trenton","38","Female","English Hindi","Newborns Pediatrics Teenagers Adults Geriatrics","Henry Ford Hospital",""
"Belal F Abdallah","Internal Medicine","Beaumont Hospital, Dearborn","29","Male","Arabic English","Teenagers Adults Geriatrics","Wayne State University/DMC",""
